dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
LZ,Lanzhou,1,有一回,有一回,,iou i xuei,iou442 i13-11 xuei53,iou442i13-11xuei53,iouixuei
LZ,Lanzhou,2,北风跟太阳在那儿争论谁的本事大,北风连日头在那塔吵着说谁的本事大,,pə fə̃n liɛ̃n ʐʅ tˈou tsɛ lɛ tˈa tʂˈɔ tʂə fə fei ti pə̃n ʂʅ ta,pə13-11 fə̃n31 liɛ̃n53 ʐʅ13-11 tˈou13 tsɛ13-22 lɛ13-11 tˈa53 tʂˈɔ442 tʂə21 fə13-11 fei53 ti13 pə̃n442 ʂʅ21 ta13,pə13-11fə̃n31liɛ̃n53ʐɻ̩13-11tʰou13t͡sɛ13-22lɛ13-11tʰa53tʂʰɔ442tʂə21fə13-11fei53ti13pə̃n442ʂɻ̩21ta13,pəfə̃nliɛ̃nʐɻ̩tʰout͡sɛlɛtʰatʂʰɔtʂəfəfeitipə̃nʂɻ̩ta
LZ,Lanzhou,3,争来争去就是分不出高低来,争来争去就是分不出个高低来,,tʂə̃n lɛ tʂə̃n tɕi tɕiou ʂʅ fə̃n pu pfˈu kə kɔ ti lɛ,tʂə̃n31 lɛ53 tʂə̃n31 tɕi13 tɕiou13-11 ʂʅ13 fə̃n31 pu13-22 pfˈu13-11 kə53 kɔ31-33 ti31 lɛ21,tʂə̃n31lɛ53tʂə̃n31t͡ɕi13t͡ɕiou13-11ʂɻ̩13fə̃n31pu13-22pfʰu13-11kə53kɔ31-33ti31lɛ21,tʂə̃nlɛtʂə̃nt͡ɕit͡ɕiouʂɻ̩fə̃npupfʰukəkɔtilɛ
LZ,Lanzhou,4,这时候路上来了个走道儿的,这时节路上来了个走路的,,tʂʅ ʂʅ tɕiə lu ʂɑ̃ lɛ lɔ i kə tsou lu ti,tʂʅ13-11 ʂʅ53 tɕiə13 lu13-11 ʂɑ̃53 lɛ53 lɔ21 i13-11 kə53 tsou442 lu13-11 ti53,tʂɻ̩13-11ʂɻ̩53t͡ɕiə13lu13-11ʂɑ̃53lɛ53lɔ21i13-11kə53t͡sou442lu13-11ti53,tʂɻ̩ʂɻ̩t͡ɕiəluʂɑ̃lɛlɔikət͡souluti
LZ,Lanzhou,5,他身上穿着件厚大衣,那身上穿了件厚大衣,,la ʂə̃n ʂɑ̃ pfˈɛ̃n lɔ tɕiɛ̃n xou ta i,la53 ʂə̃n31 ʂɑ̃21 pfˈɛ̃n31 lɔ21 tɕiɛ̃n13-22 xou13-22 ta13-11 i31,la53ʂə̃n31ʂɑ̃21pfʰɛ̃n31lɔ21t͡ɕiɛ̃n13-22xou13-22ta13-11i31,laʂə̃nʂɑ̃pfʰɛ̃nlɔt͡ɕiɛ̃nxoutai
LZ,Lanzhou,6,他们俩就说好了,他们两个就说定了,,tˈa mə̃n liɑ̃ kə tɕiou fə tĩn lɔ,tˈa31 mə̃n21 liɑ̃442 kə21 tɕiou13-22 fə13-22 tĩn13-11 lɔ53,tʰa31mə̃n21liɑ̃442kə21t͡ɕiou13-22fə13-22tĩn13-11lɔ53,tʰamə̃nliɑ̃kət͡ɕioufətĩnlɔ
LZ,Lanzhou,7,谁能先叫这个走道儿的脱下他的厚大衣,看谁能先叫这个走路的把他的厚大衣脱掉,,kˈɛ̃n fei lə̃n ɕiɛ̃n tɕiɔ tʂʅ kə tsou lu ti pa tˈa ti xou ta i tˈuə tɔ,kˈɛ̃n13-11 fei53 lə̃n53 ɕiɛ̃n31 tɕiɔ13-22 tʂʅ13-11 kə53 tsou442 lu13-11 ti53 pa442-53 tˈa31 ti21 xou13-22 ta13-11 i31 tˈuə13-11 tɔ13,kʰɛ̃n13-11fei53lə̃n53ɕiɛ̃n31t͡ɕiɔ13-22tʂɻ̩13-11kə53t͡sou442lu13-11ti53pa442-53tʰa31ti21xou13-22ta13-11i31tʰuə13-11tɔ13,kʰɛ̃nfeilə̃nɕiɛ̃nt͡ɕiɔtʂɻ̩kət͡soulutipatʰatixoutaitʰuətɔ
LZ,Lanzhou,8,就算谁的本事大,就算谁的本事大,,tɕiou suɛ̃n fei ti pə̃n ʂʅ ta,tɕiou13-22 suɛ̃n13-11 fei53 ti13 pə̃n442 ʂʅ21 ta13,t͡ɕiou13-22suɛ̃n13-11fei53ti13pə̃n442ʂɻ̩21ta13,t͡ɕiousuɛ̃nfeitipə̃nʂɻ̩ta
LZ,Lanzhou,9,北风就使劲儿地刮起来了,北风就下碴地刮开了,,pə fə̃n tɕiou ɕia tʂˈa ti kua kˈɛ lɔ,pə13-11 fə̃n31 tɕiou13-22 ɕia13-11 tʂˈa53 ti13 kua13-11 kˈɛ31 lɔ21,pə13-11fə̃n31t͡ɕiou13-22ɕia13-11tʂʰa53ti13kua13-11kʰɛ31lɔ21,pəfə̃nt͡ɕiouɕiatʂʰatikuakʰɛlɔ
LZ,Lanzhou,10,不过他越是刮得厉害,可是他刮的越凶,,kˈə ʂʅ tˈa kua ti yə ɕỹn,kˈə442 ʂʅ13 tˈa31 kua13-11 ti53 yə13-11 ɕỹn31,kʰə442ʂɻ̩13tʰa31kua13-11ti53yə13-11ɕỹn31,kʰəʂɻ̩tʰakuatiyəɕỹn
