dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
LZ,Lanzhou,1,太阳,日头,,ʐʅ tˈou,ʐʅ13-11 tˈou13,ʐɻ̩ tʰou,ʐɻ̩13-11 tʰou13
A,,2,月亮,月亮,,yə liɑ̃,yə13-22 liɑ̃13,yə liɑ̃,yə13-22 liɑ̃13
A,,3,星星,星宿,,ɕĩn ɕiou,ɕĩn31 ɕiou21,ɕĩn ɕiou,ɕĩn31 ɕiou21
A,,4,打雷,打雷,,ta luei,ta442 luei53,ta luei,ta442 luei53
A,,5,闪电,打闪,,ta ʂɛ̃n,ta442-53 ʂɛ̃n442,ta ʂɛ̃n,ta442-53 ʂɛ̃n442
A,,6,下雨,下雨,,ɕia y,ɕia13-22 y442,ɕia y,ɕia13-22 y442
A,,7,下雪,下雪,,ɕia ɕyə,ɕia13-22 ɕyə13,ɕia ɕyə,ɕia13-22 ɕyə13
A,,8,冰雹,蛋蛋子,,tɛ̃n tɛ̃n tsɿ,tɛ̃n13-11 tɛ̃n53 tsɿ21,tɛ̃n tɛ̃n t͡sɹ̩,tɛ̃n13-11 tɛ̃n53 t͡sɹ̩21
A,,9,结冰,冻冰,,tũn pɪ̃n,tũn13-11 pɪ̃n31,tũn pɪ̃n,tũn13-11 pɪ̃n31
A,,10,刮风,刮风,,kua fə̃n,kua13-11 fə̃n31,kua fə̃n,kua13-11 fə̃n31
A,,11,虹,杠,,kɑ̃,kɑ̃13,kɑ̃,kɑ̃13
A,,12,端午节,端阳,,tuɛ̃n iɑ̃,tuɛ̃n31 iɑ̃21,tuɛ̃n iɑ̃,tuɛ̃n31 iɑ̃21
A,,13,中秋节,八月十五,,pa yə ʂʅ vu,pa13-22 yə13 ʂʅ13-11 vu442,pa yə ʂɻ̩ vu,pa13-22 yə13 ʂɻ̩13-11 vu442
A,,14,除夕,三十晚夕,,sɛ̃n ʂʅ vɛ̃n ɕi,sɛ̃n31 ʂʅ13-11 vɛ̃n442 ɕi21,sɛ̃n ʂɻ̩ vɛ̃n ɕi,sɛ̃n31 ʂɻ̩13-11 vɛ̃n442 ɕi21
A,,15,今年,今年,,tɕĩn ȵiɛ̃n,tɕĩn31 ȵiɛ̃n21,t͡ɕĩn ɲiɛ̃n,t͡ɕĩn31 ɲiɛ̃n21
A,,16,明年,明年,,mĩn ȵiɛ̃n,mĩn53 ȵiɛ̃n13,mĩn ɲiɛ̃n,mĩn53 ɲiɛ̃n13
A,,17,去年,年时,,ȵiɛ̃n ʂʅ,ȵiɛ̃n53 ʂʅ13,ɲiɛ̃n ʂɻ̩,ɲiɛ̃n53 ʂɻ̩13
A,,18,明天,明个,,mĩn kə,mĩn53 kə13,mĩn kə,mĩn53 kə13
A,,19,昨天,昨个 ,,tsuə kə,tsuə53 kə13,t͡suə kə,t͡suə53 kə13
A,,20,今天,今个,,tɕĩn kə,tɕĩn31 kə21,t͡ɕĩn kə,t͡ɕĩn31 kə21
A,,21,星期天,星期,,ɕĩn tɕˈi,ɕĩn31 tɕˈi21,ɕĩn t͡ɕʰi,ɕĩn31 t͡ɕʰi21
A,,22,麦子,麦子,,mə tsɿ,mə13-11 tsɿ13,mə t͡sɹ̩,mə13-11 t͡sɹ̩13
A,,23,大米,大米,,ta mi,ta13-11 mi442,ta mi,ta13-11 mi442
A,,24,蚕豆,大豆,,ta tou,ta13-11 tou13,ta tou,ta13-11 tou13
A,,25,向日葵,向日葵,,ɕiɑ̃ ʐʅ kˈuei,ɕiɑ̃13-22 ʐʅ13-11 kˈuei53,ɕiɑ̃ ʐɻ̩ kʰuei,ɕiɑ̃13-22 ʐɻ̩13-11 kʰuei53
A,,26,菠菜,绿菠菜,,lu pə tsˈɛ,lu13-11 pə31 tsˈɛ13,lu pə t͡sʰɛ,lu13-11 pə31 t͡sʰɛ13
A,,27,卷心菜,莲花菜,,liɛ̃n xua tsˈɛ,liɛ̃n53 xua31 tsˈɛ13,liɛ̃n xua t͡sʰɛ,liɛ̃n53 xua31 t͡sʰɛ13
A,,28,西红柿,洋柿子,,iɑ̃ ʂʅ tsɿ,iɑ̃53 ʂʅ13-11 tsɿ53,iɑ̃ ʂɻ̩ t͡sɹ̩,iɑ̃53 ʂɻ̩13-11 t͡sɹ̩53
A,,29,茄子,茄子,,tɕˈiə tsɿ,tɕˈiə53 tsɿ13,t͡ɕʰiə t͡sɹ̩,t͡ɕʰiə53 t͡sɹ̩13
A,,30,白薯,红苕,,xũn ʂɔ,xũn53-11 ʂɔ53,xũn ʂɔ,xũn53-11 ʂɔ53
A,,31,马铃薯,洋芋,,iɑ̃ y,iɑ̃53 y13,iɑ̃ y,iɑ̃53 y13
A,,32,南瓜,南瓜,,lɛ̃n kua,lɛ̃n53 kua31,lɛ̃n kua,lɛ̃n53 kua31
A,,33,猪,猪,,pfu,pfu31,pfu,pfu31
A,,34,公猪,牙猪,,ia pfu,ia53 pfu13,ia pfu,ia53 pfu13
A,,35,母猪,母猪,,mu pfu,mu442 pfu21,mu pfu,mu442 pfu21
A,,36,公鸡,公鸡,,kũn tɕi,kũn31 tɕi21,kũn t͡ɕi,kũn31 t͡ɕi21
A,,37,母鸡,母鸡,,mu tɕi,mu442 tɕi21,mu t͡ɕi,mu442 t͡ɕi21
A,,38,麻雀,麻雀儿 ,,ma tɕˈiɔ ɯ,ma53 tɕˈiɔ13 ɯ53,ma t͡ɕʰiɔ ɯ,ma53 t͡ɕʰiɔ13 ɯ53
