dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
MX,Meixian,1,谁啊?我是老三。,□人啊?𠊎係阿三,,man ŋin na ŋai he a sam,man53-55 ŋin11 na ŋai11 he53 a44 sam44,man53-55ŋin11naŋai11he53a44sam44,manŋinnaŋaiheasam
MX,Meixian,2,老四呢?她正跟一个朋友说着话呢。,阿四啊?佢正同一隻朋友□那儿嬲,,a si a ki tsaŋ tˈuŋ it tsak pˈen iu hok ke e liau,a44-35 si53-55 a ki11 tsaŋ53 tˈuŋ11 it1 tsak1 pˈen11 iu44 hok1 ke53-55 e liau53,a44-35si53-55aki11t͡saŋ53tʰuŋ11it1t͡sak1pʰen11iu44hok1ke53-55eliau53,asiakit͡saŋtʰuŋitt͡sakpʰeniuhokkeeliau
MX,Meixian,3,她还没说完吗?,佢唔曾讲撇係唔係,,ki m̩ tˈien koŋ pˈei he m̩ me,ki11 m̩11 tˈien11 koŋ31 pˈei1 he53-55 m̩11 me53,ki11m̩11tʰien11koŋ31pʰei1he53-55m̩11me53,kim̩tʰienkoŋpʰeihem̩me
MX,Meixian,4,还没有。大概再有一会儿就说完了。,还吂曾。等一下添佢就会讲撇了,,han maŋ tˈien ten it ha tˈiam ki tsˈu voi koŋ pˈet le,han11 maŋ11 tˈien11 ten31 it1 ha53 tˈiam44-35 ki11 tsˈu53-55 voi53-55 koŋ31 pˈet11 le,han11maŋ11tʰien11ten31it1ha53tʰiam44-35ki11t͡sʰu53-55voi53-55koŋ31pʰet11le,hanmaŋtʰientenithatʰiamkit͡sʰuvoikoŋpʰetle
MX,Meixian,5,他说马上就走，怎么这半天了还在家里?,佢话□□就走，样□久了还在屋下,,ki va lik lak tsˈiu tseu ŋioŋ an kiu ve han tsˈoi vuk kˈa,ki11 va53 lik5 lak5 tsˈiu53-55 tseu31 ŋioŋ53-55 an31 kiu31 ve han11 tsˈoi44-35 vuk1 kˈa44,ki11va53lik5lak5t͡sʰiu53-55t͡seu31ŋioŋ53-55an31kiu31vehan11t͡sʰoi44-35vuk1kʰa44,kivaliklakt͡sʰiut͡seuŋioŋankiuvehant͡sʰoivukkʰa
MX,Meixian,6,你到哪儿去?我到城里去。,你去哪儿?我去出街,,n̩ hi nai ie ŋai hi tsˈut ke,n̩11 hi53-55 nai53-55 ie ŋai11 hi53-55 tsˈut1 ke44,n̩11hi53-55nai53-55ieŋai11hi53-55t͡sʰut1ke44,n̩hinaiieŋaihit͡sʰutke
MX,Meixian,7,在那儿，不在这儿。,在那儿，唔係这儿,,hoi ke ie m̩ me e ie,hoi44-35 ke53-55 ie m̩11 me53-55 e31 ie,hoi44-35ke53-55iem̩11me53-55e31ie,hoikeiem̩meeie
MX,Meixian,8,不是那么做，要这么做。,唔係那么做，爱这样做,,m̩ me ke an ne tso oi e ŋioŋ ŋe tso,m̩11 me53-55 ke53-55 an31 ne tso53 oi53-55 e31 ŋioŋ53-55 ŋe tso53,m̩11me53-55ke53-55an31net͡so53oi53-55e31ŋioŋ53-55ŋet͡so53,m̩mekeannet͡sooieŋioŋŋet͡so
MX,Meixian,9,太多了，用不着那么多，只要这么多就够了。,忒多了，唔使□多，爱□多儿就够了,,tˈiet to e m̩ sɿ an to oi an to e tsˈiu keu ve,tˈiet1 to44-35 e m̩11 sɿ31 an31 to44 oi53-55 an31 to44-35 e tsˈiu53 keu53 ve,tʰiet1to44-35em̩11sɹ̩31an31to44oi53-55an31to44-35et͡sʰiu53keu53ve,tʰiettoem̩sɹ̩antooiantoet͡sʰiukeuve
MX,Meixian,10,这个大，那个小，这两个哪一个好一点呢?,这隻过大，那隻过细，这两隻哪隻过好,,e tsak kuo tˈai ke tsak kuo se e lioŋ tsak na ŋai tsak kˈo hau,e31 tsak1 kuo53-55 tˈai53 ke53-55 tsak1 kuo53-55 se53 e31 lioŋ31 tsak1 na44 ŋai53-55 tsak1 kˈo53-55 hau31,e31t͡sak1kuo53-55tʰai53ke53-55t͡sak1kuo53-55se53e31lioŋ31t͡sak1na44ŋai53-55t͡sak1kʰo53-55hau31,et͡sakkuotʰaiket͡sakkuoseelioŋt͡saknaŋait͡sakkʰohau
