dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
PY,Pingyao,1,有一回,,,iəu iʌʔ mʌʔ,iəu53 iʌʔ13 mʌʔ53,iəu53iʌʔ13mʌʔ53,iəuiʌʔmʌʔ
PY,Pingyao,2,北风跟太阳在那儿争论谁的本事大,,,pʌʔ xuŋ xu ʐʌʔ təu iE tsæ uæ ʐʌʔ tsəŋ luŋ suei məŋ tiʌʔ pəŋ sɿ tei,pʌʔ13-31 xuŋ13-35 xu53 ʐʌʔ53 təu13-53 iE13-31 tsæ35 uæ35 ʐʌʔ13-53 tsəŋ13-31 luŋ35 suei13 məŋ13 tiʌʔ13-31 pəŋ53 sɿ35 tei35,pʌʔ13-31xuŋ13-35xu53ʐʌʔ53təu13-53iɤ13-31t͡sæ35uæ35ʐʌʔ13-53t͡səŋ13-31luŋ35suei13məŋ13tiʌʔ13-31pəŋ53sɹ̩35tei35,pʌʔxuŋxuʐʌʔtəuiɤt͡sæuæʐʌʔt͡səŋluŋsueiməŋtiʌʔpəŋsɹ̩tei
PY,Pingyao,3,争来争去就是分不出高低来,,,tsəŋ læ tsəŋ tɕˈy tɕiəu sɿ xuŋ pʌʔ tsˈuʌʔ xuæ kɔ ti læ,tsəŋ13-31 læ13 tsəŋ13-31 tɕˈy35 tɕiəu35 sɿ35-31 xuŋ13-31 pʌʔ13 tsˈuʌʔ13 xuæ53 kɔ13-31 ti13-35 læ13,t͡səŋ13-31læ13t͡səŋ13-31t͡ɕʰy35t͡ɕiəu35sɹ̩35-31xuŋ13-31pʌʔ13t͡sʰuʌʔ13xuæ53kɔ13-31ti13-35læ13,t͡səŋlæt͡səŋt͡ɕʰyt͡ɕiəusɹ̩xuŋpʌʔt͡sʰuʌʔxuækɔtilæ
PY,Pingyao,4,这时候路上来了个走道儿的,,,tsʌʔ tʂəŋ ləu ləu xɔ læ lɔ xuæ tsəu tɔ tɔ tiʌʔ,tsʌʔ53 tʂəŋ35-53 ləu35 ləu35-53 xɔ35-53 læ13 lɔ53 xuæ53 tsəu53 tɔ35 tɔ35-53 tiʌʔ13-31,t͡sʌʔ53tʂəŋ35-53ləu35ləu35-53xɔ35-53læ13lɔ53xuæ53t͡səu53tɔ35tɔ35-53tiʌʔ13-31,t͡sʌʔtʂəŋləuləuxɔlælɔxuæt͡səutɔtɔtiʌʔ
PY,Pingyao,5,他身上穿着件厚大衣,,,uʌʔ tɕiɑ ʂəŋ xɔ tsˈuə tiʌʔ tɕiE ɕy ŋɔ ʐʌʔ,uʌʔ13 tɕiɑ13 ʂəŋ13-31 xɔ35 tsˈuə13-31 tiʌʔ13-31 tɕiE35 ɕy35 ŋɔ53 ʐʌʔ13,uʌʔ13t͡ɕiɑ13ʂəŋ13-31xɔ35t͡sʰuə13-31tiʌʔ13-31t͡ɕiɤ35ɕy35ŋɔ53ʐʌʔ13,uʌʔt͡ɕiɑʂəŋxɔt͡sʰuətiʌʔt͡ɕiɤɕyŋɔʐʌʔ
PY,Pingyao,6,他们俩就说好了,,,uʌʔ tɕiɑ liɑŋ xuæ suʌʔ xɔ lɑ,uʌʔ13 tɕiɑ13 liɑŋ53 xuæ53 suʌʔ13-31 xɔ53 lɑ31,uʌʔ13t͡ɕiɑ13liɑŋ53xuæ53suʌʔ13-31xɔ53lɑ31,uʌʔt͡ɕiɑliɑŋxuæsuʌʔxɔlɑ
PY,Pingyao,7,谁能先叫这个走道儿的脱下他的厚大衣,,,suei nəŋ ɕiE tɕiɔ uʌʔ xuæ tsəu tɔ tɔ tiʌʔ ɕy ŋɔ ʐʌʔ læ,suei13-31 nəŋ13 ɕiE13-31 tɕiɔ35 uʌʔ13 xuæ53 tsəu53 tɔ35 tɔ35-53 tiʌʔ13-31 ɕy35 ŋɔ53 ʐʌʔ31 læ13,suei13-31nəŋ13ɕiɤ13-31t͡ɕiɔ35uʌʔ13xuæ53t͡səu53tɔ35tɔ35-53tiʌʔ13-31ɕy35ŋɔ53ʐʌʔ31læ13,sueinəŋɕiɤt͡ɕiɔuʌʔxuæt͡səutɔtɔtiʌʔɕyŋɔʐʌʔlæ
PY,Pingyao,8,就算谁的本事大,,,tɕiəu suɑŋ suei tiʌʔ pəŋ sɿ tei,tɕiəu35 suɑŋ35-53 suei13-31 tiʌʔ13-31 pəŋ53 sɿ35-31 tei35,t͡ɕiəu35suɑŋ35-53suei13-31tiʌʔ13-31pəŋ53sɹ̩35-31tei35,t͡ɕiəusuɑŋsueitiʌʔpəŋsɹ̩tei
PY,Pingyao,9,北风就使劲儿地刮起来了,,,pʌʔ xuŋ tɕiəu sɿ tɕiŋ tɕiŋ ti kuʌʔ,pʌʔ13-31 xuŋ13-35 tɕiəu35 sɿ53 tɕiŋ35 tɕiŋ35-53 ti53 kuʌʔ13,pʌʔ13-31xuŋ13-35t͡ɕiəu35sɹ̩53t͡ɕiŋ35t͡ɕiŋ35-53ti53kuʌʔ13,pʌʔxuŋt͡ɕiəusɹ̩t͡ɕiŋt͡ɕiŋtikuʌʔ
PY,Pingyao,10,不过他越是刮得厉害,,,uʌʔ tɕiɑ yʌʔ sɿ kuʌʔ tiʌʔ li xæ,uʌʔ13 tɕiɑ13 yʌʔ13-31 sɿ35 kuʌʔ13-31 tiʌʔ13-31 li35 xæ35-31,uʌʔ13t͡ɕiɑ13yʌʔ13-31sɹ̩35kuʌʔ13-31tiʌʔ13-31li35xæ35-31,uʌʔt͡ɕiɑyʌʔsɹ̩kuʌʔtiʌʔlixæ
