dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
PY,Pingyao,1,太阳,日头爷 ,,ʐʌʔ təu iE,ʐʌʔ53 təu13-53 iE13-31,ʐʌʔ53təu13-53iɤ13-31,ʐʌʔtəuiɤ
PY,Pingyao,2,月亮,月明爷,,yʌʔ mi iE,yʌʔ53 mi13-53 iE13-31,yʌʔ53mi13-53iɤ13-31,yʌʔmiiɤ
PY,Pingyao,3,星星,星宿 ,,sei ɕiəu,sei13 ɕiəu35-13,sei13ɕiəu35-13,seiɕiəu
PY,Pingyao,4,打雷,响雷 ,,ɕiɑŋ luæ,ɕiɑŋ53 luæ13,ɕiɑŋ53luæ13,ɕiɑŋluæ
PY,Pingyao,5,闪电,打闪,,tɑ ʂɑŋ,tɑ53-35 ʂɑŋ53-423,tɑ53-35ʂɑŋ53-423,tɑʂɑŋ
PY,Pingyao,6,下雨,下雨,,xɑ y,xɑ35 y53-423,xɑ35y53-423,xɑy
PY,Pingyao,7,下雪,下雪 ,,xɑ ɕyʌʔ,xɑ35-13 ɕyʌʔ13,xɑ35-13ɕyʌʔ13,xɑɕyʌʔ
PY,Pingyao,8,冰雹,冷弹子,,ləŋ tɑŋ tsʌʔ,ləŋ53 tɑŋ35-31 tsʌʔ13-35,ləŋ53tɑŋ35-31t͡sʌʔ13-35,ləŋtɑŋt͡sʌʔ
PY,Pingyao,9,结冰,冻下冻凌了,,tuŋ xɑ tuŋ li lɑ,tuŋ35 xɑ53 tuŋ35-31 li35 lɑ53,tuŋ35xɑ53tuŋ35-31li35lɑ53,tuŋxɑtuŋlilɑ
PY,Pingyao,10,刮风,刮风 ,,kuʌʔ xuŋ,kuʌʔ13 xuŋ13,kuʌʔ13xuŋ13,kuʌʔxuŋ
PY,Pingyao,11,虹,虹,,tɕyə,tɕyə35,t͡ɕyə35,t͡ɕyə
PY,Pingyao,12,端午节,五月端午,,u yʊʔ tuɑŋ u,u53 yʊʔ53 tuɑŋ13-31 u53,u53yʊʔ53tuɑŋ13-31u53,uyʊʔtuɑŋu
PY,Pingyao,13,中秋节,八月十五 ,,pʌʔ yʌʔ ʂʌʔ u,pʌʔ13-31 yʌʔ53 ʂʌʔ53-35 u53,pʌʔ13-31yʌʔ53ʂʌʔ53-35u53,pʌʔyʌʔʂʌʔu
PY,Pingyao,14,除夕,年除下 ,,ȵiE tsɥ xɑ,ȵiE13 tsɥ13-31 xɑ35,ɲiɤ13t͡sɥ13-31xɑ35,ɲiɤt͡sɥxɑ
PY,Pingyao,15,今年,今年 ,,tɕiŋ ȵiE,tɕiŋ13-31 ȵiE13,t͡ɕiŋ13-31ɲiɤ13,t͡ɕiŋɲiɤ
PY,Pingyao,16,明年,来年 ,,læ ȵiE,læ13 ȵiE13,læ13ɲiɤ13,læɲiɤ
PY,Pingyao,17,去年,年时 ,,ȵiE sɿ,ȵiE13 sɿ13,ɲiɤ13sɹ̩13,ɲiɤsɹ̩
PY,Pingyao,18,明天,第明 ,,ti mi,ti35 mi13-53,ti35mi13-53,timi
PY,Pingyao,19,昨天,夜来 ,,iE læ,iE35 læ13-53,iɤ35læ13-53,iɤlæ
PY,Pingyao,20,今天,今日,,tɕiŋ ʐʌʔ,tɕiŋ13-31 ʐʌʔ53,t͡ɕiŋ13-31ʐʌʔ53,t͡ɕiŋʐʌʔ
PY,Pingyao,21,星期天,礼拜日,,li pæ ʐʌʔ,li53 pæ35-31 ʐʌʔ53,li53pæ35-31ʐʌʔ53,lipæʐʌʔ
PY,Pingyao,22,麦子,麦子 ,,miʌʔ tsʌʔ,miʌʔ53 tsʌʔ13,miʌʔ53t͡sʌʔ13,miʌʔt͡sʌʔ
PY,Pingyao,23,大米,大米 ,,tɑ mi,tɑ35 mi53,tɑ35mi53,tɑmi
PY,Pingyao,24,蚕豆,大豆,,tɑ təu,tɑ35 təu35-53,tɑ35təu35-53,tɑtəu
PY,Pingyao,25,向日葵,朝阳花 ,,tʂˈɔ iɑŋ xuɑ,tʂˈɔ13 iɑŋ13 xuɑ13,tʂʰɔ13iɑŋ13xuɑ13,tʂʰɔiɑŋxuɑ
PY,Pingyao,26,菠菜,青菜 ,,tsˈei tsˈæ,tsˈei13 tsˈæ35-13,t͡sʰei13t͡sʰæ35-13,t͡sʰeit͡sʰæ
PY,Pingyao,27,卷心菜,茴子白,,xuæ tsʌʔ pæ,xuæ13 tsʌʔ13 pæ13,xuæ13t͡sʌʔ13pæ13,xuæt͡sʌʔpæ
PY,Pingyao,28,西红柿,洋柿子,,iɑŋ sɿ tsʌʔ,iɑŋ13-31 sɿ35 tsʌʔ13-53,iɑŋ13-31sɹ̩35t͡sʌʔ13-53,iɑŋsɹ̩t͡sʌʔ
PY,Pingyao,29,茄子,茄子 ,,tɕiE tsʌʔ,tɕiE13 tsʌʔ13,t͡ɕiɤ13t͡sʌʔ13,t͡ɕiɤt͡sʌʔ
PY,Pingyao,30,白薯,红薯 ,,xuŋ sɥ,xuŋ13-35 sɥ53-423,xuŋ13-35sɥ53-423,xuŋsɥ
PY,Pingyao,31,马铃薯,山药蛋 ,,sɑŋ iʌʔ tɑŋ,sɑŋ13-31 iʌʔ53 tɑŋ35,sɑŋ13-31iʌʔ53tɑŋ35,sɑŋiʌʔtɑŋ
