dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
SH,Shanghai,1,谁啊?我是老三。,啥人?我是阿三,,sa ȵiŋ ŋu zɿ aʔ se,sa35-33 ȵiŋ13-44 ŋu13 zɿ13 aʔ5-3 se53-44,sa ɲiŋ ŋu zɹ̩ aʔ se,sa35-33 ɲiŋ13-44 ŋu13 zɹ̩13 aʔ5-3 se53-44
SH,Shanghai,2,老四呢?她正跟一个朋友说着话呢。,阿四呢?伊正辣海搭一个朋友讲闲话,,sɿ ne i tsəŋ laʔ he taʔ iɪʔ ɦəʔ bɑ̃ ɦiɤ kɑ̃ ɦe ɦo,sɿ35-44 ne13-21 i35 tsəŋ35 laʔ1-1 he35-23 taʔ5 iɪʔ5-3 ɦəʔ1-44 bɑ̃13-22 ɦiɤ13-44 kɑ̃35-44 ɦe13-22 ɦo13-44,sɹ̩ ne i t͡səŋ laʔ he taʔ iɪʔ ɦəʔ bɑ̃ ɦiɤ kɑ̃ ɦe ɦo,sɹ̩35-44 ne13-21 i35 t͡səŋ35 laʔ1-1 he35-23 taʔ5 iɪʔ5-3 ɦəʔ1-44 bɑ̃13-22 ɦiɤ13-44 kɑ̃35-44 ɦe13-22 ɦo13-44
SH,Shanghai,3,她还没说完吗?,伊还既没讲好啊,,ɦi ɦɛ ɦm̩ məʔ kɑ̃ hɔ ɦa,ɦi13 ɦɛ13 ɦm̩13-22 məʔ1-4 kɑ̃35-33 hɔ35-55 ɦa13-21,ɦi ɦɛ ɦm̩ məʔ kɑ̃ hɔ ɦa,ɦi13 ɦɛ13 ɦm̩13-22 məʔ1-4 kɑ̃35-33 hɔ35-55 ɦa13-21
SH,Shanghai,4,还没有。大概再有一会儿就说完了。,还呒没。大概再讲一歇就讲好勒,,ɦɛ ɦm̩ məʔ da ke tse kɑ̃ iɪʔ ɕiɪʔ ʑiɤ kɑ̃ hɔ ləʔ,ɦɛ13 ɦm̩13-22 məʔ1-4 da13-22 ke35-44 tse35 kɑ̃35-33 iɪʔ5-55 ɕiɪʔ5-21 ʑiɤ13 kɑ̃35-33 hɔ35-55 ləʔ1-21,ɦɛ ɦm̩ məʔ da ke t͡se kɑ̃ iɪʔ ɕiɪʔ ʑiɤ kɑ̃ hɔ ləʔ,ɦɛ13 ɦm̩13-22 məʔ1-4 da13-22 ke35-44 t͡se35 kɑ̃35-33 iɪʔ5-55 ɕiɪʔ5-21 ʑiɤ13 kɑ̃35-33 hɔ35-55 ləʔ1-21
SH,Shanghai,5,他说马上就走，怎么这半天了还在家里?,伊讲马上就走，哪能介许多辰光还辣辣屋里向,,ɦi kɑ̃ mo zɑ̃ ʑiɤ tsɤ na nəŋ ka ɕy du zəŋ kuɑ̃ ɦɛ laʔ laʔ o li ɕiã,ɦi13-33 kɑ̃35 mo13-22 zɑ̃13-44 ʑiɤ13 tsɤ13 na13-22 nəŋ13-44 ka35-33 ɕy35-55 du13-21 zəŋ13-22 kuɑ̃53-44 ɦɛ13 laʔ1-1 laʔ1-23 o5-3 li13-55 ɕiã35-21,ɦi kɑ̃ mo zɑ̃ ʑiɤ t͡sɤ na nəŋ ka ɕy du zəŋ kuɑ̃ ɦɛ laʔ laʔ o li ɕiã,ɦi13-33 kɑ̃35 mo13-22 zɑ̃13-44 ʑiɤ13 t͡sɤ13 na13-22 nəŋ13-44 ka35-33 ɕy35-55 du13-21 zəŋ13-22 kuɑ̃53-44 ɦɛ13 laʔ1-1 laʔ1-23 o5-3 li13-55 ɕiã35-21
SH,Shanghai,6,你到哪儿去?我到城里去。,侬到啥地方去?我到上海去,,noŋ tɔ sa di fɑ̃ tɕˈi ŋo tɔ zɑ̃ he tɕˈi,noŋ13-22 tɔ35 sa35-33 di13-55 fɑ̃53-21 tɕˈi35 ŋo13-22 tɔ35 zɑ̃13-22 he35-44 tɕˈi35,noŋ tɔ sa di fɑ̃ t͡ɕʰi ŋo tɔ zɑ̃ he t͡ɕʰi,noŋ13-22 tɔ35 sa35-33 di13-55 fɑ̃53-21 t͡ɕʰi35 ŋo13-22 tɔ35 zɑ̃13-22 he35-44 t͡ɕʰi35
SH,Shanghai,7,在那儿，不在这儿。,辣哀面，勿辣掰搭,,laʔ ɛ mi vəʔ laʔ gəʔ taʔ,laʔ1 ɛ53-55 mi13-21 vəʔ1-2 laʔ1-1 gəʔ1-1 taʔ5-23,laʔ ɛ mi vəʔ laʔ gəʔ taʔ,laʔ1 ɛ53-55 mi13-21 vəʔ1-2 laʔ1-1 gəʔ1-1 taʔ5-23
SH,Shanghai,8,不是那么做，要这么做。,勿要哀能做，是要搿能介做,,vəʔ iɔ ɛ nəŋ tsu zɿ iɔ gəʔ nəŋ ka tsu,vəʔ1-1 iɔ35-23 ɛ53-33 nəŋ13-44 tsu35 zɿ13-22 iɔ35 gəʔ1-1 nəŋ13-22 ka35-23 tsu35,vəʔ iɔ ɛ nəŋ t͡su zɹ̩ iɔ gəʔ nəŋ ka t͡su,vəʔ1-1 iɔ35-23 ɛ53-33 nəŋ13-44 t͡su35 zɹ̩13-22 iɔ35 gəʔ1-1 nəŋ13-22 ka35-23 t͡su35
SH,Shanghai,9,太多了，用不着那么多，只要这么多就够了。,忒多勒，勿要介许多，只要搿点就够勒,,tˈəʔ du ləʔ vəʔ iɔ ka ɕy du tsəʔ iɔ gəʔ ti ʑiɤ kɤ ləʔ,tˈəʔ5-3 du13-55 ləʔ1-21 vəʔ1-1 iɔ35-23 ka35-33 ɕy35-55 du13-21 tsəʔ5-3 iɔ35-44 gəʔ1-1 ti35-23 ʑiɤ13-22 kɤ35-44 ləʔ1-21,tʰəʔ du ləʔ vəʔ iɔ ka ɕy du t͡səʔ iɔ gəʔ ti ʑiɤ kɤ ləʔ,tʰəʔ5-3 du13-55 ləʔ1-21 vəʔ1-1 iɔ35-23 ka35-33 ɕy35-55 du13-21 t͡səʔ5-3 iɔ35-44 gəʔ1-1 ti35-23 ʑiɤ13-22 kɤ35-44 ləʔ1-21
SH,Shanghai,10,这个大，那个小，这两个哪一个好一点呢?,搿只大，哀只小，两只里向鞋里一只好一眼呢,,gəʔ tsaʔ du e tsaʔ ɕiau liã tsaʔ li ɕiã ɦa li iɪʔ tsãʔ hɔ iɪʔ ŋe ne,gəʔ1-1 tsaʔ5-23 du13 e53-55 tsaʔ5-21 ɕiau35 liã13-22 tsaʔ5-44 li13-22 ɕiã35-44 ɦa13-22 li13-55 iɪʔ5-33 tsãʔ5-21 hɔ35-33 iɪʔ5-5 ŋe13-33 ne13-21,gəʔ t͡saʔ du e t͡saʔ ɕiau liã t͡saʔ li ɕiã ɦa li iɪʔ t͡sãʔ hɔ iɪʔ ŋe ne,gəʔ1-1 t͡saʔ5-23 du13 e53-55 t͡saʔ5-21 ɕiau35 liã13-22 t͡saʔ5-44 li13-22 ɕiã35-44 ɦa13-22 li13-55 iɪʔ5-33 t͡sãʔ5-21 hɔ35-33 iɪʔ5-5 ŋe13-33 ne13-21
SH,Shanghai,11,这个比那个好。,迭个比哀个好。,,diɪʔ ɦəʔ pi ɛ ɦəʔ hɔ,diɪʔ1-1 ɦəʔ1-23 pi35 ɛ53-55 ɦəʔ1-21 hɔ53-35,diɪʔ ɦəʔ pi ɛ ɦəʔ hɔ,diɪʔ1-1 ɦəʔ1-23 pi35 ɛ53-55 ɦəʔ1-21 hɔ53-35
SH,Shanghai,12,这些房子不如那些房子好。,迭眼房子比伊面一眼房子推板,,diɪʔ ŋe vɑ̃ tsɿ pi i mi iɪʔ ŋe vã tsɿ tˈe pe,diɪʔ1-1 ŋe13-23 vɑ̃13-22 tsɿ35-44 pi35 i53-55 mi13-21 iɪʔ5-3 ŋe13-4 vã13-22 tsɿ35-44 tˈe53-55 pe35-21,diɪʔ ŋe vɑ̃ t͡sɹ̩ pi i mi iɪʔ ŋe vã t͡sɹ̩ tʰe pe,diɪʔ1-1 ŋe13-23 vɑ̃13-22 t͡sɹ̩35-44 pi35 i53-55 mi13-21 iɪʔ5-3 ŋe13-4 vã13-22 t͡sɹ̩35-44 tʰe53-55 pe35-21
SH,Shanghai,13,这句话用成都话怎么说?,,,,,,
SH,Shanghai,14,有五十斤重呢。,有得五十斤重,,ɦiɤ təʔ ŋ̩ səʔ tɕiŋ zoŋ,ɦiɤ13-33 təʔ5 ŋ̩13-22 səʔ5-55 tɕiŋ53-21 zoŋ13,ɦiɤ təʔ ŋ̩ səʔ t͡ɕiŋ zoŋ,ɦiɤ13-33 təʔ5 ŋ̩13-22 səʔ5-55 t͡ɕiŋ53-21 zoŋ13
SH,Shanghai,15,拿得动吗?,拿得动吪,,ne təʔ doŋ vaʔ,ne53-55 təʔ5-33 doŋ13-33 vaʔ1-21,ne təʔ doŋ vaʔ,ne53-55 təʔ5-33 doŋ13-33 vaʔ1-21
SH,Shanghai,16,我拿得动，他拿不动。,我拿得动，伊拿勿动,,ŋo ne təʔ doŋ ɦi ne vəʔ doŋ,ŋo13 ne53-55 təʔ5-33 doŋ13-21 ɦi13 ne53-55 vəʔ1-33 doŋ13-21,ŋo ne təʔ doŋ ɦi ne vəʔ doŋ,ŋo13 ne53-55 təʔ5-33 doŋ13-21 ɦi13 ne53-55 vəʔ1-33 doŋ13-21
SH,Shanghai,17,真不轻，重得连我也拿不动。,真勿轻，重得来连我也拿勿动,,tsəŋ vəʔ tɕˈiŋ zoŋ təʔ le li ŋo ɦɑ ne vəʔ doŋ,tsəŋ53-44 vəʔ1-1 tɕˈiŋ53-23 zoŋ13-22 təʔ5-55 le13-21 li13-33 ŋo13 ɦɑ13 ne53-55 vəʔ1-33 doŋ13-21,t͡səŋ vəʔ t͡ɕʰiŋ zoŋ təʔ le li ŋo ɦɑ ne vəʔ doŋ,t͡səŋ53-44 vəʔ1-1 t͡ɕʰiŋ53-23 zoŋ13-22 təʔ5-55 le13-21 li13-33 ŋo13 ɦɑ13 ne53-55 vəʔ1-33 doŋ13-21
