dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
SH,Shanghai,1,有一回,,,ɦiɤ tˈɑ̃ tsɿ,ɦiɤ13-22 tˈɑ̃35-55 tsɿ35-21,ɦiɤ13-22tʰɑ̃35-55t͡sɹ̩35-21,ɦiɤtʰɑ̃t͡sɹ̩
SH,Shanghai,2,北风跟太阳在那儿争论谁的本事大,,,poʔ foŋ təʔ tˈa ɦiã tsəŋ hɔ ləʔ leʔ tsã sa ȵiŋ ɦəʔ pəŋ zɿ du,poʔ5-3 foŋ53-44 təʔ5-3 tˈa35-33 ɦiã13-44 tsəŋ35-33 hɔ35-44 ləʔ1-1 leʔ1-23 tsã53 sa35-33 ȵiŋ13-55 ɦəʔ1-21 pəŋ35-33 zɿ13-44 du13,poʔ5-3foŋ53-44təʔ5-3tʰa35-33ɦiã13-44t͡səŋ35-33hɔ35-44ləʔ1-1leʔ1-23t͡sã53sa35-33ɲiŋ13-55ɦəʔ1-21pəŋ35-33zɹ̩13-44du13,poʔfoŋtəʔtʰaɦiãt͡səŋhɔləʔleʔt͡sãsaɲiŋɦəʔpəŋzɹ̩du
SH,Shanghai,3,争来争去就是分不出高低来,,,tsã le tsã tɕˈii tsã vəʔ tɕˈiŋ sɑ̃ ɦəʔ zəŋ kuɑ̃,tsã53-55 le13-21 tsã53-33 tɕˈii35-21 tsã53-55 vəʔ1-3 tɕˈiŋ53-33 sɑ̃35-44 ɦəʔ1-21 zəŋ13-22 kuɑ̃55-44,t͡sã53-55le13-21t͡sã53-33t͡ɕʰii35-21t͡sã53-55vəʔ1-3t͡ɕʰiŋ53-33sɑ̃35-44ɦəʔ1-21zəŋ13-22kuɑ̃55-44,t͡sãlet͡sãt͡ɕʰiit͡sãvəʔt͡ɕʰiŋsɑ̃ɦəʔzəŋkuɑ̃
SH,Shanghai,4,这时候路上来了个走道儿的,,,lu lɑ̃ ɕiã tsɤ ku le iɪʔ ɦəʔ ȵiŋ,lu13-22 lɑ̃13-55 ɕiã53-21 tsɤ35-33 ku35-55 le13-21 iɪʔ5-3 ɦəʔ1-44 ȵiŋ13,lu13-22lɑ̃13-55ɕiã53-21t͡sɤ35-33ku35-55le13-21iɪʔ5-3ɦəʔ1-44ɲiŋ13,lulɑ̃ɕiãt͡sɤkuleiɪʔɦəʔɲiŋ
SH,Shanghai,5,他身上穿着件厚大衣,,,səŋ lɑ̃ tsaʔ ləʔ iɪʔ dʑi ɦɤ da i,səŋ53-55 lɑ̃13-21 tsaʔ5-3 ləʔ1-3 iɪʔ5-44 dʑi13-44 ɦɤ13-22 da13-55 i53-21,səŋ53-55lɑ̃13-21t͡saʔ5-3ləʔ1-3iɪʔ5-44dʑi13-44ɦɤ13-22da13-55i53-21,səŋlɑ̃t͡saʔləʔiɪʔdʑiɦɤdai
SH,Shanghai,6,他们俩就说好了,,,ɦi la liã ka dɤ ʑiɤ ɦuã toŋ dɔ kɑ̃ hɔ,ɦi13-22 la53-44 liã13-22 ka53-55 dɤ13-21 ʑiɤ13 ɦuã13-33 toŋ53-55 dɔ13-21 kɑ̃35-33 hɔ35-44,ɦi13-22la53-44liã13-22ka53-55dɤ13-21ʑiɤ13ɦuã13-33toŋ53-55dɔ13-21kɑ̃35-33hɔ35-44,ɦilaliãkadɤʑiɤɦuãtoŋdɔkɑ̃hɔ
SH,Shanghai,7,谁能先叫这个走道儿的脱下他的厚大衣,,,tɕˈia sɿ sa ȵiŋ nəŋ kɤ ɕi tɕiɔ diɪʔ ɦəʔ tsɤ lu ɦəʔ ȵiŋ tˈəʔ tˈəʔ ɦi ɦəʔ ɦɤ da i,tɕˈia35-33 sɿ35-44 sa35-33 ȵiŋ13-44 nəŋ13-22 kɤ35-44 ɕi53-55 tɕiɔ35-21 diɪʔ1-1 ɦəʔ1-23 tsɤ35-33 lu13-55 ɦəʔ1-21 ȵiŋ13 tˈəʔ5-3 tˈəʔ5-44 ɦi13-22 ɦəʔ1-4 ɦɤ13-22 da13-55 i53-21,t͡ɕʰia35-33sɹ̩35-44sa35-33ɲiŋ13-44nəŋ13-22kɤ35-44ɕi53-55t͡ɕiɔ35-21diɪʔ1-1ɦəʔ1-23t͡sɤ35-33lu13-55ɦəʔ1-21ɲiŋ13tʰəʔ5-3tʰəʔ5-44ɦi13-22ɦəʔ1-4ɦɤ13-22da13-55i53-21,t͡ɕʰiasɹ̩saɲiŋnəŋkɤɕit͡ɕiɔdiɪʔɦəʔt͡sɤluɦəʔɲiŋtʰəʔtʰəʔɦiɦəʔɦɤdai
SH,Shanghai,8,就算谁的本事大,,,ʑiɤ sø sa ȵiŋ ɦəʔ pəŋ zɿ du,ʑiɤ13-22 sø35-44 sa35-33 ȵiŋ13-55 ɦəʔ1-21 pəŋ35-33 zɿ13-44 du13,ʑiɤ13-22sø35-44sa35-33ɲiŋ13-55ɦəʔ1-21pəŋ35-33zɹ̩13-44du13,ʑiɤsøsaɲiŋɦəʔpəŋzɹ̩du
SH,Shanghai,9,北风就使劲儿地刮起来了,,,poʔ foŋ dʑiɤ ɦioŋ tsoʔ tsɿ liɪʔ tɕˈi dʑioŋ tsˈɿ paʔ tsˈɿ ləʔ,poʔ5-3 foŋ53-44 dʑiɤ13 ɦioŋ13-22 tsoʔ5-5 tsɿ35-21 liɪʔ1-1 tɕˈi35-23 dʑioŋ13-22 tsˈɿ53-55 paʔ5-3 tsˈɿ53-33 ləʔ1-21,poʔ5-3foŋ53-44dʑiɤ13ɦioŋ13-22t͡soʔ5-5t͡sɹ̩35-21liɪʔ1-1t͡ɕʰi35-23dʑioŋ13-22t͡sʰɹ̩53-55paʔ5-3t͡sʰɹ̩53-33ləʔ1-21,poʔfoŋdʑiɤɦioŋt͡soʔt͡sɹ̩liɪʔt͡ɕʰidʑioŋt͡sʰɹ̩paʔt͡sʰɹ̩ləʔ
SH,Shanghai,10,不过他越是刮得厉害,,,poʔ ku tɕiɔ sa ɦi ɦyɪʔ tsˈɿ təʔ tɕiɪʔ kuən məʔ,poʔ5-3 ku35-44 tɕiɔ35-44 sa35 ɦi13-33 ɦyɪʔ1 tsˈɿ53-55 təʔ5-21 tɕiɪʔ5-3 kuən35-55 məʔ1-21,poʔ5-3ku35-44t͡ɕiɔ35-44sa35ɦi13-33ɦyɪʔ1t͡sʰɹ̩53-55təʔ5-21t͡ɕiɪʔ5-3kuən35-55məʔ1-21,poʔkut͡ɕiɔsaɦiɦyɪʔt͡sʰɹ̩təʔt͡ɕiɪʔkuənməʔ
