dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
SH,Shanghai,1,太阳,太阳,,tˈa ɦiã,tˈa34-33 ɦiã13-44,tʰa ɦiã,tʰa34-33 ɦiã13-44
SH,Shanghai,2,月亮,月亮,,ɦyɪʔ liã,ɦyɪʔ1-11 liã13-23,ɦyɪʔ liã,ɦyɪʔ1-11 liã13-23
SH,Shanghai,3,星星,星,,ɕiŋ,ɕiŋ53,ɕiŋ,ɕiŋ53
SH,Shanghai,4,打雷,雷响,,le ɕiã,le13-22 ɕiã34-44,le ɕiã,le13-22 ɕiã34-44
SH,Shanghai,5,闪电,霍险,,hoʔ ɕi,hoʔ5-3 ɕi35-44,hoʔ ɕi,hoʔ5-3 ɕi35-44
SH,Shanghai,6,下雨,落雨,,loʔ ɦy,loʔ1-1 ɦy23,loʔ ɦy,loʔ1-1 ɦy23
SH,Shanghai,7,下雪,落雪,,loʔ ɕiɪʔ,loʔ1-1 ɕiɪʔ5-23,loʔ ɕiɪʔ,loʔ1-1 ɕiɪʔ5-23
SH,Shanghai,8,冰雹,冰雹,,piŋ bɔ,piŋ53-55 bɔ3-21,piŋ bɔ,piŋ53-55 bɔ3-21
SH,Shanghai,9,结冰,结冰 ,,tɕiɪʔ piŋ,tɕiɪʔ5-4 piŋ53,t͡ɕiɪʔ piŋ,t͡ɕiɪʔ5-4 piŋ53
SH,Shanghai,10,刮风,起风,,tɕˈi foŋ,tɕˈi35-33 foŋ53-44,t͡ɕʰi foŋ,t͡ɕʰi35-33 foŋ53-44
SH,Shanghai,11,虹,鲎,,hɤ,hɤ35,hɤ,hɤ35
SH,Shanghai,12,端午节,端午 ,,tø ɦŋ̩,tø53-55 ɦŋ̩13-21,tø ɦŋ̩,tø53-55 ɦŋ̩13-21
SH,Shanghai,13,中秋节,中秋,,tsoŋ tɕˈiɤ,tsoŋ53-55 tɕˈiɤ53-21,t͡soŋ t͡ɕʰiɤ,t͡soŋ53-55 t͡ɕʰiɤ53-21
SH,Shanghai,14,除夕,大年夜,,du ȵi ɦia,du13-22 ȵi13-55 ɦia13-21,du ɲi ɦia,du13-22 ɲi13-55 ɦia13-21
SH,Shanghai,15,今年,今年,,tɕiŋ ȵi,tɕiŋ53-55 ȵi13-21,t͡ɕiŋ ɲi,t͡ɕiŋ53-55 ɲi13-21
SH,Shanghai,16,明年,开年,,kˈe ȵi,kˈe53-55 ȵi13-21,kʰe ɲi,kʰe53-55 ɲi13-21
SH,Shanghai,17,去年,旧年,,dʑiɤ ȵi,dʑiɤ13-22 ȵi13-44,dʑiɤ ɲi,dʑiɤ13-22 ɲi13-44
SH,Shanghai,18,明天,明朝,,miŋ tsɔ,miŋ13-22 tsɔ53-44,miŋ t͡sɔ,miŋ13-22 t͡sɔ53-44
SH,Shanghai,19,昨天,昨日,,zoʔ ȵiɪʔ,zoʔ1-1 ȵiɪʔ1-23,zoʔ ɲiɪʔ,zoʔ1-1 ɲiɪʔ1-23
SH,Shanghai,20,今天,今朝 ,,tɕiŋ tsɔ,tɕiŋ53-55 tsɔ53-21,t͡ɕiŋ t͡sɔ,t͡ɕiŋ53-55 t͡sɔ53-21
SH,Shanghai,21,星期天,礼拜天,,li pa tˈi,li13-22 pa35-44 tˈi53-21,li pa tʰi,li13-22 pa35-44 tʰi53-21
SH,Shanghai,22,麦子,麦子,,maʔ tsɿ,maʔ1-1 tsɿ35-23,maʔ t͡sɹ̩,maʔ1-1 t͡sɹ̩35-23
SH,Shanghai,23,大米,大米 ,,du mi,du13-22 mi13-44,du mi,du13-22 mi13-44
SH,Shanghai,24,蚕豆,寒豆,,ɦø dɤ,ɦø13-22 dɤ13-44,ɦø dɤ,ɦø13-22 dɤ13-44
SH,Shanghai,25,向日葵,向日葵 ,,ɕiã zəʔ gue,ɕiã35-33 zəʔ12-55 gue13-21,ɕiã zəʔ gue,ɕiã35-33 zəʔ12-55 gue13-21
SH,Shanghai,26,菠菜,菠菜 ,,pu tsˈe,pu53-55 tsˈe35-21,pu t͡sʰe,pu53-55 t͡sʰe35-21
SH,Shanghai,27,卷心菜,卷心菜 ,,tɕyø ɕiŋ tsˈe,tɕyø35-33 ɕiŋ53-55 tsˈe35-21,t͡ɕyø ɕiŋ t͡sʰe,t͡ɕyø35-33 ɕiŋ53-55 t͡sʰe35-21
SH,Shanghai,28,西红柿,番茄 ,,fe ga,fe53-55 ga13-21,fe ga,fe53-55 ga13-21
SH,Shanghai,29,茄子,落苏,,loʔ su,loʔ1-1 su53-23,loʔ su,loʔ1-1 su53-23
SH,Shanghai,30,白薯,山芋 ,,se ɦy,se53-55 ɦy13-21,se ɦy,se53-55 ɦy13-21
SH,Shanghai,31,马铃薯,洋山芋,,ɦiã se ɦy,ɦiã13-22 se53-55 ɦy13-21,ɦiã se ɦy,ɦiã13-22 se53-55 ɦy13-21
SH,Shanghai,32,南瓜,饭瓜 ,,ve ko,ve13-22 ko53-44,ve ko,ve13-22 ko53-44
SH,Shanghai,33,猪,猪猡 ,,tsɿ lu,tsɿ53-55 lu13-21,t͡sɹ̩ lu,t͡sɹ̩53-55 lu13-21
SH,Shanghai,34,公猪,猪郎,,tsɿ lɑ̃,tsɿ53-55 lɑ̃13-21,t͡sɹ̩ lɑ̃,t͡sɹ̩53-55 lɑ̃13-21
SH,Shanghai,35,母猪,老母猪,,lɔ m̩ tsɿ,lɔ13-22 m̩55 tsɿ53-21,lɔ m̩ t͡sɹ̩,lɔ13-22 m̩55 t͡sɹ̩53-21
SH,Shanghai,36,公鸡,雄鸡,,ɦioŋ tɕi,ɦioŋ13-22 tɕi53-44,ɦioŋ t͡ɕi,ɦioŋ13-22 t͡ɕi53-44
SH,Shanghai,37,母鸡,雌鸡 ,,tsˈɿ tɕi,tsˈɿ53-55 tɕi53-21,t͡sʰɹ̩ t͡ɕi,t͡sʰɹ̩53-55 t͡ɕi53-21
SH,Shanghai,38,麻雀,麻雀,,mo tɕˈiaʔ,mo13-22 tɕˈiaʔ5-4,mo t͡ɕʰiaʔ,mo13-22 t͡ɕʰiaʔ5-4
SH,Shanghai,39,老鼠,老虫,,lɔ zoŋ,lɔ13-22 zoŋ23-44,lɔ zoŋ,lɔ13-22 zoŋ23-44
