dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
A,,1.0,有一回,有一口,,u tsek tsua,u35-31 tsek5-2 tsua31,u35-31 t͡sek5-2 t͡sua31,u t͡sek t͡sua
,,2.0,北风跟太阳在那儿争论谁的本事大,,,pak huaŋ kaʔ a zik tˈau to hɯ ko lo a tã ti tiaŋ kai kˈaŋ kˈue ŋẽ,pak2-5 huaŋ33 kaʔ2 a33 zik5-2 tˈau55 to35-31 hɯ53-24 ko213 lo53-24 a213-55 tã213-55 ti31 tiaŋ55-31 kai55-31 kˈaŋ33 kˈue213 ŋẽ35,pak2-5 huaŋ33 kaʔ2 a33 zik5-2 tʰau55 to35-31 hɯ53-24 ko213 lo53-24 a213-55 tã213-55 ti31 tiaŋ55-31 kai55-31 kʰaŋ33 kʰue213 ŋẽ35,pak huaŋ kaʔ a zik tʰau to hɯ ko lo a tã ti tiaŋ kai kʰaŋ kʰue ŋẽ
,,,争来争去就是分不出高低来,,,a lai a kˈɯ tsiu si si a m tsˈuk su iã,a213-55 lai55-31 a213-55 kˈɯ213 tsiu35-31 si35-31 si35-31 a213-55 m35-31 tsˈuk2-5 su33 iã55,a213-55 lai55-31 a213-55 kʰɯ213 t͡siu35-31 si35-31 si35-31 a213-55 m35-31 t͡sʰuk2-5 su33 iã55,a lai a kʰɯ t͡siu si si a m t͡sʰuk su iã
,,,这时候路上来了个走道儿的,,,tsi e muẽʔ lou ko lai liau kai kue lou naŋ,tsi53-24 e35-31 muẽʔ5 lou31 ko31 lai55-31 liau53-24 kai55-31 kue213-55 lou31 naŋ55,t͡si53-24 e35-31 muẽʔ5 lou31 ko31 lai55-31 liau53-24 kai55-31 kue213-55 lou31 naŋ55,t͡si e muẽʔ lou ko lai liau kai kue lou naŋ
,,,他身上穿着件厚大衣,,,i siŋ teŋ tsˈeŋ kai kau kau kai tua lau,i33 siŋ33 teŋ53 tsˈeŋ31 kai55-31 kau35-31 kau35 kai55-31 tua31 lau33,i33 siŋ33 teŋ53 t͡sʰeŋ31 kai55-31 kau35-31 kau35 kai55-31 tua31 lau33,i siŋ teŋ t͡sʰeŋ kai kau kau kai tua lau
,,,他们俩就说好了,,,i naŋ nõ naŋ tsiu tsˈo tsˈiaŋ ho tã,i33 naŋ55-31 nõ35-31 naŋ55 tsiu35-31 tsˈo53-24 tsˈiaŋ213-55 ho53-24 tã213-55,i33 naŋ55-31 nõ35-31 naŋ55 t͡siu35-31 t͡sʰo53-24 t͡sʰiaŋ213-55 ho53-24 tã213-55,i naŋ nõ naŋ t͡siu t͡sʰo t͡sʰiaŋ ho tã
,,,谁能先叫这个走道儿的脱下他的厚大衣,,,ti tiaŋ u piaŋ sõi kio tsi kai kue lou naŋ tˈɯŋ tiau hɯ kai tua lau,ti31 tiaŋ55-31 u35-31 piaŋ213-55 sõi33 kio213-55 tsi53-24 kai55-31 kue213-55 lou31 naŋ55 tˈɯŋ213-55 tiau31 hɯ53-24 kai55-31 tua31 lau33,ti31 tiaŋ55-31 u35-31 piaŋ213-55 sõi33 kio213-55 t͡si53-24 kai55-31 kue213-55 lou31 naŋ55 tʰɯŋ213-55 tiau31 hɯ53-24 kai55-31 tua31 lau33,ti tiaŋ u piaŋ sõi kio t͡si kai kue lou naŋ tʰɯŋ tiau hɯ kai tua lau
,,,就算谁的本事大,,,tsiu sɯŋ tso ti tiaŋ kai kˈaŋ kˈue ŋẽ,tsiu53-31 sɯŋ213-55 tso213-55 ti31 tiaŋ55-31 kai55-31 kˈaŋ33 kˈue213 ŋẽ35,t͡siu53-31 sɯŋ213-55 t͡so213-55 ti31 tiaŋ55-31 kai55-31 kʰaŋ33 kʰue213 ŋẽ35,t͡siu sɯŋ t͡so ti tiaŋ kai kʰaŋ kʰue ŋẽ
,,,北风就使劲儿地刮起来了,,,tã tik pak huaŋ tsiu tsˈuk lak tsˈẽ tˈau,tã213-55 tik5 pak2-5 huaŋ33 tsiu53-31 tsˈuk2-5 lak5 tsˈẽ33 tˈau213,tã213-55 tik5 pak2-5 huaŋ33 t͡siu53-31 t͡sʰuk2-5 lak5 t͡sʰẽ33 tʰau213,tã tik pak huaŋ t͡siu t͡sʰuk lak t͡sʰẽ tʰau
,,,不过他越是刮得厉害,,,tso tsai i tˈau zu tua lak,tso213-55 tsai33 i33 tˈau213-55 zu53-24 tua31 lak5,t͡so213-55 t͡sai33 i33 tʰau213-55 zu53-24 tua31 lak5,t͡so t͡sai i tʰau zu tua lak
,,,那个走道儿的把大衣裹得越紧,,,hɯ kai kue lou naŋ tsu zu keŋ tui kai tua lau kaʔ i mãu bo piaŋ ou,hɯ53-24 kai55-31 kue213-55 lou31 naŋ55 tsu53-31 zu53-24 keŋ213-55 tui213-55 kai55-31 tua31 lau33 kaʔ2-5 i33 mãu33 bo55-31 piaŋ213 ou53-213,hɯ53-24 kai55-31 kue213-55 lou31 naŋ55 t͡su53-31 zu53-24 keŋ213-55 tui213-55 kai55-31 tua31 lau33 kaʔ2-5 i33 mãu33 bo55-31 piaŋ213 ou53-213,hɯ kai kue lou naŋ t͡su zu keŋ tui kai tua lau kaʔ i mãu bo piaŋ ou
,,,后来北风没法儿了,,,maŋ au pak huaŋ bo piaŋ ou,maŋ31 au35 pak2-5 huaŋ33 bo55-31 piaŋ213 ou53-213,maŋ31 au35 pak2-5 huaŋ33 bo55-31 piaŋ213 ou53-213,maŋ au pak huaŋ bo piaŋ ou
,,,只好就算了,,,tsi ho suaŋ ou,tsi53-24 ho53-24 suaŋ213 ou53-213,t͡si53-24 ho53-24 suaŋ213 ou53-213,t͡si ho suaŋ ou
,,,过了一会儿,,,keʔ tsek kˈuŋ kiã,keʔ2-5 tsek5-2 kˈuŋ213-55 kiã53,keʔ2-5 t͡sek5-2 kʰuŋ213-55 kiã53,keʔ t͡sek kʰuŋ kiã
