dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
ST,Shantou,1,太阳,日头 ,,zik tˈau,zik5-2 tˈau55,zik tʰau,zik5-2 tʰau55
ST,Shantou,2,月亮,月 ,,gueʔ,gueʔ5,gueʔ,gueʔ5
ST,Shantou,3,星星,星 ,,tsˈẽ,tsˈẽ33,t͡sʰẽ,t͡sʰẽ33
ST,Shantou,4,打雷,响雷 ,,hiaŋ lui,hiaŋ53-24 lui55,hiaŋ lui,hiaŋ53-24 lui55
ST,Shantou,5,闪电,阿公□目 ,,a koŋ nĩʔ mak,a33 koŋ33 nĩʔ2-5 mak5,a koŋ nĩʔ mak,a33 koŋ33 nĩʔ2-5 mak5
ST,Shantou,6,下雨,落雨 ,,loʔ hou,loʔ5-2 hou35,loʔ hou,loʔ5-2 hou35
ST,Shantou,7,下雪,落雪 ,,loʔ soʔ,loʔ5-2 soʔ2,loʔ soʔ,loʔ5-2 soʔ2
ST,Shantou,8,冰雹,雹,,pˈak,pˈak5,pʰak,pʰak5
ST,Shantou,9,结冰,结冰 ,,kak piã,kak2-5 piã33,kak piã,kak2-5 piã33
ST,Shantou,10,刮风,透风 ,,tˈau huaŋ,tˈau213-55 huaŋ33,tʰau huaŋ,tʰau213-55 huaŋ33
ST,Shantou,11,虹,虹 ,,kˈeŋ,kˈeŋ35,kʰeŋ,kʰeŋ35
ST,Shantou,12,端午节,五月节 ,,ŋõu gueʔ tsoiʔ,ŋõu35-31 gueʔ5-2 tsoiʔ2,ŋõu gueʔ t͡soiʔ,ŋõu35-31 gueʔ5-2 t͡soiʔ2
ST,Shantou,13,中秋节,中秋 ,,toŋ tsˈiu,toŋ33 tsˈiu33,toŋ t͡sʰiu,toŋ33 t͡sʰiu33
ST,Shantou,14,除夕,廿九暝 ,,ziʔ kau mẽ,ziʔ5-2 kau53-24 mẽ55,ziʔ kau mẽ,ziʔ5-2 kau53-24 mẽ55
ST,Shantou,15,今年,今年 ,,kim nĩ,kim33 nĩ55,kim nĩ,kim33 nĩ55
ST,Shantou,16,明年,明年,,mẽ nĩ,mẽ55-31 nĩ55,mẽ nĩ,mẽ55-31 nĩ55
ST,Shantou,17,去年,旧年 ,,ku nĩ,ku31 nĩ55,ku nĩ,ku31 nĩ55
ST,Shantou,18,明天,□日,,mã zik,mã213-55 zik5,mã zik,mã213-55 zik5
ST,Shantou,19,昨天,□日,,tsa zik,tsa33 zik5,t͡sa zik,t͡sa33 zik5
ST,Shantou,20,今天,今日,,kim zik,kim33 zik5,kim zik,kim33 zik5
ST,Shantou,21,星期天,星期日,,tsˈẽ kˈi zik,tsˈẽ33 kˈi55-31 zik5,t͡sʰẽ kʰi zik,t͡sʰẽ33 kʰi55-31 zik5
ST,Shantou,22,麦子,麦,,beʔ,beʔ5,beʔ,beʔ5
ST,Shantou,23,大米,粙,,tiu,tiu35,tiu,tiu35
ST,Shantou,24,蚕豆,扁豆 ,,piaŋ tau,piaŋ53-24 tau31,piaŋ tau,piaŋ53-24 tau31
ST,Shantou,25,向日葵,向日葵 ,,hiaŋ zik kˈui,hiaŋ213-55 zik5-2 kˈui55,hiaŋ zik kʰui,hiaŋ213-55 zik5-2 kʰui55
ST,Shantou,26,菠菜,菠薐 ,,pue leŋ,pue33 leŋ55,pue leŋ,pue33 leŋ55
ST,Shantou,27,卷心菜,䔅苈,,ko le,ko33 le35,ko le,ko33 le35
ST,Shantou,28,西红柿,番茄,,huaŋ kio,huaŋ33 kio55,huaŋ kio,huaŋ33 kio55
ST,Shantou,29,茄子,茄,,kio,kio55,kio,kio55
ST,Shantou,30,白薯,番薯 ,,huaŋ tsɯ,huaŋ33 tsɯ55,huaŋ t͡sɯ,huaŋ33 t͡sɯ55
ST,Shantou,31,马铃薯,荷兰薯 ,,ho laŋ tsɯ,ho55-31 laŋ33 tsɯ55,ho laŋ t͡sɯ,ho55-31 laŋ33 t͡sɯ55
ST,Shantou,32,南瓜,番瓜 ,,huŋ kue,huŋ33 kue33,huŋ kue,huŋ33 kue33
ST,Shantou,33,猪,猪 ,,tɯ,tɯ33,tɯ,tɯ33
ST,Shantou,34,公猪,猪哥 ,,tɯ ko,tɯ33 ko33,tɯ ko,tɯ33 ko33
ST,Shantou,35,母猪,猪母 ,,tɯ bo,tɯ33 bo53,tɯ bo,tɯ33 bo53
ST,Shantou,36,公鸡,鸡翁 ,,koi aŋ,koi33 aŋ33,koi aŋ,koi33 aŋ33
ST,Shantou,37,母鸡,鸡母 ,,koi bo,koi33 bo33,koi bo,koi33 bo33
