dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TY,Taiyuan,1,太阳,太阳,,tai iɒ̃,tai45 iɒ̃1153,taiiɒ̃,tai45iɒ̃1153
TY,Taiyuan,2,月亮,月亮,,yəʔ liɒ̃,yəʔ2 liɒ̃45,yəʔliɒ̃,yəʔ2liɒ̃45
TY,Taiyuan,3,星星, 星宿,,ɕi ɕiəu,ɕi11 ɕiəu45,ɕiɕiəu,ɕi11ɕiəu45
TY,Taiyuan,4,打雷,响忽雷,,xiɒ̃ xuəʔ luei,xiɒ̃53 xuəʔ254 luei11,xiɒ̃xuəʔluei,xiɒ̃53xuəʔ254luei11
TY,Taiyuan,5,闪电,打闪,,ta sæ̃,ta5311 sæ̃53,tasæ̃,ta5311sæ̃53
TY,Taiyuan,6,下雨,下雨,,xa y,xa45 y53,xay,xa45y53
TY,Taiyuan,7,下雪,下雪,,xa ɕyəʔ,xa45 ɕyəʔ2,xaɕyəʔ,xa45ɕyəʔ2
TY,Taiyuan,8,冰雹,冷弹子 ,,ləŋ tæ̃ tsəʔ,ləŋ53 tæ̃45 tsəʔ,ləŋtæ̃t͡səʔ,ləŋ53tæ̃45t͡səʔ
TY,Taiyuan,9,结冰,冻冰 ,,tuəŋ piəŋ,tuəŋ45 piəŋ11,tuəŋpiəŋ,tuəŋ45piəŋ11
TY,Taiyuan,10,刮风,刮风,,kuaʔ fəŋ,kuaʔ245 fəŋ11,kuaʔfəŋ,kuaʔ245fəŋ11
TY,Taiyuan,11,虹,虹 ,,tɕiɒ̃,tɕiɒ̃45,t͡ɕiɒ̃,t͡ɕiɒ̃45
TY,Taiyuan,12,端午节,五月端午 ,,vu yəʔ tuæ̃ vu,vu53 yəʔ2 tuæ̃11 vu53,vuyəʔtuæ̃vu,vu53yəʔ2tuæ̃11vu53
TY,Taiyuan,13,中秋节,八月十五,,paʔ yəʔ səʔ vu,paʔ253 yəʔ2 səʔ542 vu53,paʔyəʔsəʔvu,paʔ253yəʔ2səʔ542vu53
TY,Taiyuan,14,除夕,年三十 ,,nie sæ̃ səʔ,nie11 sæ̃11 səʔ54,niesæ̃səʔ,nie11sæ̃11səʔ54
TY,Taiyuan,15,今年,今年 ,,tɕiəŋ nie,tɕiəŋ11 nie11,t͡ɕiəŋnie,t͡ɕiəŋ11nie11
TY,Taiyuan,16,明年,明年 ,,miəŋ nie,miəŋ11 nie11,miəŋnie,miəŋ11nie11
TY,Taiyuan,17,去年,年时 ,,nie sɿ,nie11 sɿ11,niesɹ̩,nie11sɹ̩11
TY,Taiyuan,18,明天,早起,,tsau tɕˈi,tsau5311 tɕˈi53,t͡saut͡ɕʰi,t͡sau5311t͡ɕʰi53
TY,Taiyuan,19,昨天,夜天,,ie tˈie,ie45 tˈie11,ietʰie,ie45tʰie11
TY,Taiyuan,20,今天,今日,,tɕiəŋ zəɿ,tɕiəŋ11 zəɿ2,t͡ɕiəŋzəɹ̩,t͡ɕiəŋ11zəɹ̩2
TY,Taiyuan,21,星期天,礼拜,,li pai,li53 pai45,lipai,li53pai45
TY,Taiyuan,22,麦子,麦子,,mieʔ tsəʔ,mieʔ2 tsəʔ,mieʔt͡səʔ,mieʔ2t͡səʔ
TY,Taiyuan,23,大米,稻子,,tˈau tsəʔ,tˈau45 tsəʔ,tʰaut͡səʔ,tʰau45t͡səʔ
TY,Taiyuan,24,蚕豆,大豆,,ta təu,ta45 təu45,tatəu,ta45təu45
TY,Taiyuan,25,向日葵,葵花,,kˈuei xua,kˈuei11 xua11,kʰueixua,kʰuei11xua11
