dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
TJ,Tianjin,1,谁啊?我是老三。,谁呀?我是老三,,sei iɑ uo sɿ lɑu san,sei45 iɑ3 uo13 sɿ53 lɑu13 san21,sei45iɑ3uo13sɹ̩53lɑu13san21,seiiɑuosɹ̩lɑusan
TJ,Tianjin,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正跟一个朋友说着话呢,,lɑu sɿ nə tˈɑ tʂəŋ kən i kə pˈəŋ iou ʂuo tʂə xuɑ nə,lɑu13 sɿ53 nə1 tˈɑ21 tʂəŋ53 kən21 i45 kə3 pˈəŋ45 iou3 ʂuo21 tʂə1 xuɑ53 nə1,lɑu13sɹ̩53nə1tʰɑ21tʂəŋ53kən21i45kə3pʰəŋ45iou3ʂuo21tʂə1xuɑ53nə1,lɑusɹ̩nətʰɑtʂəŋkənikəpʰəŋiouʂuotʂəxuɑnə
TJ,Tianjin,3,她还没说完吗?,她还没说完吗?,,tˈɑ xai mei ʂuo van mɑ,tˈɑ21 xai45 mei53 ʂuo21 van45 mɑ3,tʰɑ21xai45mei53ʂuo21van45mɑ3,tʰɑxaimeiʂuovanmɑ
TJ,Tianjin,4,还没有。大概再有一会儿就说完了。,还没有，大概再待会儿就说完了,,xai mei iou tɑ kai tsai tai xuər tɕiou ʂuo van lə,xai45 mei45 iou13 tɑ53-21 kai53 tsai53-45 tai21 xuər13 tɕiou53-45 ʂuo21 van45 lə3,xai45mei45iou13tɑ53-21kai53t͡sai53-45tai21xuər13t͡ɕiou53-45ʂuo21van45lə3,xaimeiioutɑkait͡saitaixuərt͡ɕiouʂuovanlə
TJ,Tianjin,5,他说马上就走，怎么这半天了还在家里?,他说马上就走，怎么那么半天了还在家里,,tˈɑ suo mɑ sɑŋ tɕiou tsou nən mə nən mə pan tˈian lə xai tai tɕiɑ li,tˈɑ21-13 suo21 mɑ13 sɑŋ53 tɕiou53 tsou13 nən13 mə3 nən53 mə1 pan53-45 tˈian21 lə1 xai45 tai53-45 tɕiɑ21 li13,tʰɑ21-13suo21mɑ13sɑŋ53t͡ɕiou53t͡sou13nən13mə3nən53mə1pan53-45tʰian21lə1xai45tai53-45t͡ɕiɑ21li13,tʰɑsuomɑsɑŋt͡ɕiout͡sounənmənənməpantʰianləxaitait͡ɕiɑli
TJ,Tianjin,6,你到哪儿去?我到城里去。,你上哪合儿去?我上城里去,,ni ʂɑŋ nɑ xər tɕˈy uo ʂaŋ tʂˈəŋ li tɕˈy,ni13 ʂɑŋ53 nɑ13 xər3 tɕˈy53 uo13 ʂaŋ53 tʂˈəŋ45 li13 tɕˈy53,ni13ʂɑŋ53nɑ13xər3t͡ɕʰy53uo13ʂaŋ53tʂʰəŋ45li13t͡ɕʰy53,niʂɑŋnɑxərt͡ɕʰyuoʂaŋtʂʰəŋlit͡ɕʰy
TJ,Tianjin,7,在那儿，不在这儿。,在那合儿，不在这合儿,,tai nɑ xər pu tai tɕie xər,tai53 nɑ53 xər1 pu53-45 tai53 tɕie53 xər1,tai53nɑ53xər1pu53-45tai53t͡ɕie53xər1,tainɑxərputait͡ɕiexər
TJ,Tianjin,8,不是那么做，要这么做。,不是那么做，是这么做,,pu sɿ nɑ mə tsuo sɿ tsən mə tsuo,pu45 sɿ53 nɑ53 mə tsuo53 sɿ53 tsən53 mə1 tsuo53,pu45sɹ̩53nɑ53mət͡suo53sɹ̩53t͡sən53mə1t͡suo53,pusɹ̩nɑmət͡suosɹ̩t͡sənmət͡suo
TJ,Tianjin,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不了那么多，就要这么多就够了,,tˈai tuo lə ʐuŋ pu liɑu nɑ mə tuo tɕiou iɑu tsən mə tuo tɕiou hou lə,tˈai53 tuo21 lə1 ʐuŋ53 pu1 liɑu13 nɑ53 mə3 tuo21 tɕiou53 iɑu53 tsən53 mə3 tuo21 tɕiou53 hou53 lə1,tʰai53tuo21lə1ʐuŋ53pu1liɑu13nɑ53mə3tuo21t͡ɕiou53iɑu53t͡sən53mə3tuo21t͡ɕiou53hou53lə1,tʰaituoləʐuŋpuliɑunɑmətuot͡ɕiouiɑut͡sənmətuot͡ɕiouhoulə
TJ,Tianjin,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这俩哪个好一点儿呢,,tsei kə tɑ nei kə ɕiɑu tsei liɑ nei kə xɑu i tiar nə,tsei53 kə1 tɑ53 nei53 kə1 ɕiɑu13 tsei53 liɑ13 nei13 kə3 xɑu13 i3 tiar13 nə3,t͡sei53kə1tɑ53nei53kə1ɕiɑu13t͡sei53liɑ13nei13kə3xɑu13i3tiar13nə3,t͡seikətɑneikəɕiɑut͡seiliɑneikəxɑuitiarnə
TJ,Tianjin,11,这个比那个好。,这个比那个好,,tsei kə pi nei kə xɑu,tsei53 kə1 pi13 nei53 kə1 xɑu13,t͡sei53kə1pi13nei53kə1xɑu13,t͡seikəpineikəxɑu
TJ,Tianjin,12,这些房子不如那些房子好。,这些房子不□那些房子好,,tɕie ɕie fɑŋ tsɿ pu y nei ɕie fɑŋ tsɿ xɑu,tɕie53 ɕie1 fɑŋ45 tsɿ3 pu45 y53 nei53 ɕie1 fɑŋ45 tsɿ3 xɑu13,t͡ɕie53ɕie1fɑŋ45t͡sɹ̩3pu45y53nei53ɕie1fɑŋ45t͡sɹ̩3xɑu13,t͡ɕieɕiefɑŋt͡sɹ̩puyneiɕiefɑŋt͡sɹ̩xɑu
TJ,Tianjin,13,他今年多大岁数了?,他今年多大了,,tˈɑ tɕin nian tuo tɑ lə,tˈɑ21-13 tɕin21 nian45 tuo45 tɑ53 lə1,tʰɑ21-13t͡ɕin21nian45tuo45tɑ53lə1,tʰɑt͡ɕinniantuotɑlə
TJ,Tianjin,14,大概三十来岁吧。,大概其三十来岁儿吧,,tɑ kai tɕˈi san ʂʅ lai suər pɑ,tɑ53 kai53 tɕˈi45 san21 ʂʅ1 lai45 suər53 pɑ1,tɑ53kai53t͡ɕʰi45san21ʂɻ̩1lai45suər53pɑ1,tɑkait͡ɕʰisanʂɻ̩laisuərpɑ
