dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
TJ,Tianjin,1,太阳,太阳 ,,tˈai iɑŋ,tˈai53 iɑŋ45,tʰai53iɑŋ45,tʰaiiɑŋ
TJ,Tianjin,2,月亮,月亮 ,,ye liɑŋ,ye53 liɑŋ1,ye53liɑŋ1,yeliɑŋ
TJ,Tianjin,3,星星,星星 ,,ɕiŋ ɕiŋ,ɕiŋ21 ɕiŋ1,ɕiŋ21ɕiŋ1,ɕiŋɕiŋ
TJ,Tianjin,4,打雷,打雷 ,,tɑ lei,tɑ13 lei45,tɑ13lei45,tɑlei
TJ,Tianjin,5,闪电,打闪 ,,tɑ san,tɑ13-45 san13,tɑ13-45san13,tɑsan
TJ,Tianjin,6,下雨,下雨 ,,ɕiɑ y,ɕiɑ53 y13,ɕiɑ53y13,ɕiɑy
TJ,Tianjin,7,下雪,下雪 ,,ɕiɑ ɕye,ɕiɑ53 ɕye21,ɕiɑ53ɕye21,ɕiɑɕye
TJ,Tianjin,8,冰雹,雹子 ,,pɑu tsə,pɑu45 tsə3,pɑu45t͡sə3,pɑut͡sə
TJ,Tianjin,9,结冰,上冻 ,,ʂɑŋ tuŋ,ʂɑŋ53-21 tuŋ53,ʂɑŋ53-21tuŋ53,ʂɑŋtuŋ
TJ,Tianjin,10,刮风,刮风 ,,kuɑ fəŋ,kuɑ13 fəŋ21,kuɑ13fəŋ21,kuɑfəŋ
TJ,Tianjin,11,虹,虹 ,,tɕiɑŋ,tɕiɑŋ53,t͡ɕiɑŋ53,t͡ɕiɑŋ
TJ,Tianjin,12,端午节,五月节 ,,u ye tɕie,u13 ye3 tɕie45,u13ye3t͡ɕie45,uyet͡ɕie
TJ,Tianjin,13,中秋节,八月节 ,,pɑ ye tɕie,pɑ45 ye3 tɕie45,pɑ45ye3t͡ɕie45,pɑyet͡ɕie
TJ,Tianjin,14,除夕,三十儿晚上 ,,san ʃər van ʂɑŋ,san21 ʃər45 van13 ʂɑŋ3,san21ʃər45van13ʂɑŋ3,sanʃərvanʂɑŋ
TJ,Tianjin,15,今年,今年 ,,tɕin nian,tɕin21 nian3,t͡ɕin21nian3,t͡ɕinnian
TJ,Tianjin,16,明年,来年 ,,lai nian,lai45 nian3,lai45nian3,lainian
TJ,Tianjin,17,去年,去年 ,,tɕˈy nian,tɕˈy53 nian1,t͡ɕʰy53nian1,t͡ɕʰynian
TJ,Tianjin,18,明天,明儿个 ,,mier kə,mier45 kə3,mier45kə3,mierkə
