dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WZ,Wenzhou,1,谁啊?我是老三。,何样侬啊?我是老三,,a ȵi naŋ a ŋ̩ zɿ lɜ sa,a33-21 ȵi42-31 naŋ31-21 a21 ŋ̩35 zɿ35-45 lɜ34-21 sa33,a33-21 ɲi42-31 naŋ31-21 a21 ŋ̩35 zɹ̩35-45 lɜ34-21 sa33,a ɲi naŋ a ŋ̩ zɹ̩ lɜ sa
WZ,Wenzhou,2,老四呢?她正跟一个朋友说着话呢。,老四呢?渠正著埯伉一个朋友讲说话,,lɜ sɿ nei gi tseŋ zɿ ta tˈuɔ ji kai boŋ jau kuɔ ɕy ɦo,lɜ35-21 sɿ42 nei21 gi31 tseŋ42 zɿ35-21 ta213-21 tˈuɔ42 ji213-21 kai42-21 boŋ31-42 jau35 kuɔ35-21 ɕy213-42 ɦo22,lɜ35-21 sɹ̩42 nei21 gi31 t͡seŋ42 zɹ̩35-21 ta213-21 tʰuɔ42 ji213-21 kai42-21 boŋ31-42 jau35 kuɔ35-21 ɕy213-42 ɦo22,lɜ sɹ̩ nei gi t͡seŋ zɹ̩ ta tʰuɔ ji kai boŋ jau kuɔ ɕy ɦo
WZ,Wenzhou,3,她还没说完吗?,渠还未讲完啊,,gi va mei kuɔ jy a,gi31-21 va31-21 mei22-21 kuɔ35-21 jy31 a21,gi31-21 va31-21 mei22-21 kuɔ35-21 jy31 a21,gi va mei kuɔ jy a
WZ,Wenzhou,4,还没有。大概再有一会儿就说完了。,还未，大概再过一下儿就讲好罢,,va mei da ke tse ku ji o ŋ̩ jɤu kuɔ hɜ ba,va31-21 mei22 da22-42 ke42-21 tse42 ku42-21 ji213-21 o35 ŋ̩31-45 jɤu22-21 kuɔ35-21 hɜ35 ba35-45,va31-21 mei22 da22-42 ke42-21 t͡se42 ku42-21 ji213-21 o35 ŋ̩31-45 jɤu22-21 kuɔ35-21 hɜ35 ba35-45,va mei da ke t͡se ku ji o ŋ̩ jɤu kuɔ hɜ ba
WZ,Wenzhou,5,他说马上就走，怎么这半天了还在家里?,渠讲就走道吤，訾那半日罢还著屋里啊,,gi kuɔ jɤu tsau dɜ ke tsɿ na pø ne ba va zɿ vu lei a,gi31 kuɔ35-21 jɤu22-21 tsau35 dɜ35 ke42-45 tsɿ33-22 na31-12 pø42-35 ne213-13 ba35-12 va31-21 zɿ35-21 vu213 lei35-12 a12,gi31 kuɔ35-21 jɤu22-21 t͡sau35 dɜ35 ke42-45 t͡sɹ̩33-22 na31-12 pø42-35 ne213-13 ba35-12 va31-21 zɹ̩35-21 vu213 lei35-12 a12,gi kuɔ jɤu t͡sau dɜ ke t͡sɹ̩ na pø ne ba va zɹ̩ vu lei a
WZ,Wenzhou,6,你到哪儿去?我到城里去。,你走若屋宕去啊?我走城底去,,ȵi tsau ȵau duɔ kˈei a ŋ̩ tsau zeŋ tei kˈei,ȵi35 tsau35 ȵau213-21 duɔ35 kˈei42 a21 ŋ̩35 tsau35 zeŋ31-42 tei35 kˈei42,ɲi35 t͡sau35 ɲau213-21 duɔ35 kʰei42 a21 ŋ̩35 t͡sau35 zeŋ31-42 tei35 kʰei42,ɲi t͡sau ɲau duɔ kʰei a ŋ̩ t͡sau zeŋ tei kʰei
WZ,Wenzhou,7,在那儿，不在这儿。,著许屋宕，不著居屋,,zɿ hau duɔ fu zɿ kau duɔ,zɿ35-21 hau35 duɔ35-45 fu35 zɿ35-45 kau213-21 duɔ35,zɹ̩35-21 hau35 duɔ35-45 fu35 zɹ̩35-45 kau213-21 duɔ35,zɹ̩ hau duɔ fu zɹ̩ kau duɔ
WZ,Wenzhou,8,不是那么做，要这么做。,不是许能妆，着吤能妆,,fu zɿ he naŋ tɕyɔ dʑa ke naŋ tɕyɔ,fu35 zɿ35-45 he35 naŋ213-45 tɕyɔ33 dʑa213-21 ke213-21 naŋ213-13 tɕyɔ33,fu35 zɹ̩35-45 he35 naŋ213-45 t͡ɕyɔ33 dʑa213-21 ke213-21 naŋ213-13 t͡ɕyɔ33,fu zɹ̩ he naŋ t͡ɕyɔ dʑa ke naŋ t͡ɕyɔ
WZ,Wenzhou,9,太多了，用不着那么多，只要这么多就够了。,忒多罢，不用许能多，只用能多就了得罢,,tˈɤu tɤu ba fu jyɔ he naŋ tɤu tsɿ jyɔ naŋ tɤu jɤu liɛ tei ba,tˈɤu213-21 tɤu33 ba35-3 fu35 jyɔ22 he35 naŋ213-45 tɤu33 tsɿ213 jyɔ22 naŋ213 tɤu33 jɤu22-21 liɛ35 tei213-45 ba35-45,tʰɤu213-21 tɤu33 ba35-3 fu35 jyɔ22 he35 naŋ213-45 tɤu33 t͡sɹ̩213 jyɔ22 naŋ213 tɤu33 jɤu22-21 liɛ35 tei213-45 ba35-45,tʰɤu tɤu ba fu jyɔ he naŋ tɤu t͡sɹ̩ jyɔ naŋ tɤu jɤu liɛ tei ba
WZ,Wenzhou,10,这个大，那个小，这两个哪一个好一点呢?,居个大，许个细，居两个若屋个好来呢?,,ki kai dɤu he kai sai ki liɛ kai ȵau kai hɜ le nei ,ki213-22 kai42-12 dɤu22 he35 kai42-45 sai35 ki213-21 liɛ35 kai42-21 ȵau213-22 kai42-12 hɜ35 le31-45 nei45 ,ki213-22 kai42-12 dɤu22 he35 kai42-45 sai35 ki213-21 liɛ35 kai42-21 ɲau213-22 kai42-12 hɜ35 le31-45 nei45 ,ki kai dɤu he kai sai ki liɛ kai ɲau kai hɜ le nei 
WZ,Wenzhou,11,这个比那个好。,居个比许个好,,ki kai pei he kai hɜ,ki213-22 kai42-12 pei35-21 he35 kai42-45 hɜ35,ki213-22 kai42-12 pei35-21 he35 kai42-45 hɜ35,ki kai pei he kai hɜ
WZ,Wenzhou,12,这些房子不如那些房子好。,居俫屋宕有许俫屋宕能好,,ki le vu duɔ nau he le vu duɔ naŋ hɜ,ki213-22 le31-12 vu213-21 duɔ35 nau35 he35 le31-45 vu213-21 duɔ35 naŋ213-45 hɜ35,ki213-22 le31-12 vu213-21 duɔ35 nau35 he35 le31-45 vu213-21 duɔ35 naŋ213-45 hɜ35,ki le vu duɔ nau he le vu duɔ naŋ hɜ
WZ,Wenzhou,13,这句话用成都话怎么说?,,,,,,
WZ,Wenzhou,14,拿得动吗?,掇动啊不,,tø doŋ a fu,tø213 doŋ35 a45 fu35-21,tø213 doŋ35 a45 fu35-21,tø doŋ a fu
WZ,Wenzhou,15,我拿得动，他拿不动。,我掇动，渠掇不动,,ŋ̩ tø doŋ gi tø fu doŋ,ŋ̩35 tø213-21 doŋ35 gi31 tø213 fu35-12 doŋ35,ŋ̩35 tø213-21 doŋ35 gi31 tø213 fu35-12 doŋ35,ŋ̩ tø doŋ gi tø fu doŋ
WZ,Wenzhou,16,真不轻，重得连我也拿不动。,重甚嗳，连我也掇不动,,dʑyɔ zaŋ e li ŋ̩ ɦa tø fu doŋ,dʑyɔ35 zaŋ35 e45 li31-21 ŋ̩35 ɦa213-45 tø213 fu35-12 doŋ35,dʑyɔ35 zaŋ35 e45 li31-21 ŋ̩35 ɦa213-45 tø213 fu35-12 doŋ35,dʑyɔ zaŋ e li ŋ̩ ɦa tø fu doŋ
WZ,Wenzhou,17,你说得很好，你还会说点什么呢?,你讲好险哪，你还会讲俫样𠵉,,ȵi kuɔ hɜ ɕi na ȵi va vai kuɔ le ȵi ɦɔ,ȵi35 kuɔ35-21 hɜ35-21 ɕi35 na45 ȵi35 va31 vai22-21 kuɔ35 le31-45 ȵi42-31 ɦɔ21,ɲi35 kuɔ35-21 hɜ35-21 ɕi35 na45 ɲi35 va31 vai22-21 kuɔ35 le31-45 ɲi42-31 ɦɔ21,ɲi kuɔ hɜ ɕi na ɲi va vai kuɔ le ɲi ɦɔ
