dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WM,Wulumuqi,1,有一回,有一回,,iɤu i xuei,iɤu51 i213 xuei51,iɤu51 i213 xuei51,iɤu i xuei
WM,Wulumuqi,2,北风跟太阳在那儿争论谁的本事大,北风跟太阳在那达争谁底本事大,,pei fɤŋ kɤŋ tˈai iaŋ tsai nei ta tsɤŋ sei ti pɤŋ sɿ ta,pei213 fɤŋ44 kɤŋ44 tˈai213-13 iaŋ tsai213 nei44 ta tsɤŋ44 sei51-44 ti pɤŋ51-13 sɿ ta213,pei213 fɤŋ44 kɤŋ44 tʰai213-13 iaŋ t͡sai213 nei44 ta t͡sɤŋ44 sei51-44 ti pɤŋ51-13 sɹ̩ ta213,pei fɤŋ kɤŋ tʰai iaŋ t͡sai nei ta t͡sɤŋ sei ti pɤŋ sɹ̩ ta
WM,Wulumuqi,3,争来争去就是分不出高低来,争过来争过去底硬是分不出个高低上下,,tsɤŋ kuɤ lai tsɤŋ kuɤ tɕˈi ti ȵiŋ sɿ fɤŋ pu tʂˈu kɤ kɔ ti ʂɑŋ ɕia,tsɤŋ44 kuɤ213 lai51 tsɤŋ44 kuɤ213-13 tɕˈi ti ȵiŋ213-13 sɿ213 fɤŋ44 pu tʂˈu213-13 kɤ kɔ44 ti44 ʂɑŋ213-13 ɕia213,t͡sɤŋ44 kuɤ213 lai51 t͡sɤŋ44 kuɤ213-13 t͡ɕʰi ti ɲiŋ213-13 sɹ̩213 fɤŋ44 pu tʂʰu213-13 kɤ kɔ44 ti44 ʂɑŋ213-13 ɕia213,t͡sɤŋ kuɤ lai t͡sɤŋ kuɤ t͡ɕʰi ti ɲiŋ sɹ̩ fɤŋ pu tʂʰu kɤ kɔ ti ʂɑŋ ɕia
WM,Wulumuqi,4,这时候路上来了个走道儿的,这个时节搁路上过来咧个赶路底,,tsei kɤ sɿ tɕiɤ kɤ lu sɑŋ kuɤ lai liɤ kɤ kan lu ti,tsei44 kɤ sɿ51-44 tɕiɤ kɤ213 lu213-13 sɑŋ kuɤ213 lai51-44 liɤ kɤ kan51 lu213-13 ti,t͡sei44 kɤ sɹ̩51-44 t͡ɕiɤ kɤ213 lu213-13 sɑŋ kuɤ213 lai51-44 liɤ kɤ kan51 lu213-13 ti,t͡sei kɤ sɹ̩ t͡ɕiɤ kɤ lu sɑŋ kuɤ lai liɤ kɤ kan lu ti
WM,Wulumuqi,5,他身上穿着件厚大衣,身上穿底一件子厚大衣,,ʂɤŋ xɑŋ tʂˈuan ti i tɕian tsɿ xɤu ta i,ʂɤŋ44 xɑŋ tʂˈuan44 ti i213 tɕian213-13 tsɿ xɤu213 ta213 i44,ʂɤŋ44 xɑŋ tʂʰuan44 ti i213 t͡ɕian213-13 t͡sɹ̩ xɤu213 ta213 i44,ʂɤŋ xɑŋ tʂʰuan ti i t͡ɕian t͡sɹ̩ xɤu ta i
WM,Wulumuqi,6,他们俩就说好了,㑚们两个说妥了,,ȵia mɤŋ liɑŋ kɤ fɤ tˈuɤ liɤ,ȵia51-13 mɤŋ liɑŋ213-13 kɤ fɤ213 tˈuɤ51-13 liɤ,ɲia51-13 mɤŋ liɑŋ213-13 kɤ fɤ213 tʰuɤ51-13 liɤ,ɲia mɤŋ liɑŋ kɤ fɤ tʰuɤ liɤ
WM,Wulumuqi,7,谁能先叫这个走道儿的脱下他的厚大衣,哪个人但先叫这个赶路底脱掉他底厚大衣,,na kɤ ʐɤŋ tan ɕian tɕiɔ tsei kɤ kan lu ti tˈuɤ tiɔ tˈa ti xɤu ta i,na51-13 kɤ ʐɤŋ51 tan213 ɕian44 tɕiɔ213 tsei44 kɤ kan51 lu213-13 ti tˈuɤ213-13 tiɔ tˈa44 ti xɤu213 ta213 i44,na51-13 kɤ ʐɤŋ51 tan213 ɕian44 t͡ɕiɔ213 t͡sei44 kɤ kan51 lu213-13 ti tʰuɤ213-13 tiɔ tʰa44 ti xɤu213 ta213 i44,na kɤ ʐɤŋ tan ɕian t͡ɕiɔ t͡sei kɤ kan lu ti tʰuɤ tiɔ tʰa ti xɤu ta i
WM,Wulumuqi,8,就算谁的本事大,就算哪个人底章程大,,tɕiɤu suan na kɤ ʐɤŋ ti tʂɑŋ tʂˈɤŋ ta,tɕiɤu213 suan213 na51-13 kɤ ʐɤŋ51-44 ti tʂɑŋ44 tʂˈɤŋ ta213,t͡ɕiɤu213 suan213 na51-13 kɤ ʐɤŋ51-44 ti tʂɑŋ44 tʂʰɤŋ ta213,t͡ɕiɤu suan na kɤ ʐɤŋ ti tʂɑŋ tʂʰɤŋ ta
WM,Wulumuqi,9,北风就使劲儿地刮起来了,北风就放展咧使劲刮脱咧,,pei fɤŋ tɕiɤu fɑŋ tʂan liɤ sɿ tɕiŋ kua tˈuɤ liɤ,pei213 fɤŋ44 tɕiɤu213 fɑŋ213 tʂan51-13 liɤ sɿ51 tɕiŋ213 kua213 tˈuɤ213-13 liɤ,pei213 fɤŋ44 t͡ɕiɤu213 fɑŋ213 tʂan51-13 liɤ sɹ̩51 t͡ɕiŋ213 kua213 tʰuɤ213-13 liɤ,pei fɤŋ t͡ɕiɤu fɑŋ tʂan liɤ sɹ̩ t͡ɕiŋ kua tʰuɤ liɤ
WM,Wulumuqi,10,不过他越是刮得厉害,但他刮底越是劲大,,tan tˈa kua ti yɤ sɿ tɕiŋ ta,tan213 tˈa44 kua213-13 ti yɤ213 sɿ213 tɕiŋ213 ta213,tan213 tʰa44 kua213-13 ti yɤ213 sɹ̩213 t͡ɕiŋ213 ta213,tan tʰa kua ti yɤ sɹ̩ t͡ɕiŋ ta
