dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WM,Wulumuqi,1,太阳,太阳,,tˈai iɑŋ,tˈai213-13 iɑŋ,tʰai213-13iɑŋ,tʰaiiɑŋ
WM,Wulumuqi,2,月亮,月亮,,yɤ liɑŋ,yɤ213-13 liɑŋ,yɤ213-13liɑŋ,yɤliɑŋ
WM,Wulumuqi,3,星星,星宿,,ɕiŋ ɕiɤu,ɕiŋ44 ɕiɤu,ɕiŋ44ɕiɤu,ɕiŋɕiɤu
WM,Wulumuqi,4,打雷,打雷,,ta luei,ta51-53 luei51,ta51-53luei51,taluei
WM,Wulumuqi,5,闪电,闪电,,ʂan tian,ʂan51 tian213,ʂan51tian213,ʂantian
WM,Wulumuqi,6,下雨,下雨,,xa y,xa213-13 y51,xa213-13y51,xay
WM,Wulumuqi,7,下雪,下雪,,xa ɕyɤ,xa213-13 ɕyɤ213,xa213-13ɕyɤ213,xaɕyɤ
WM,Wulumuqi,8,冰雹,冰雹,,piŋ pɔ,piŋ44 pɔ213,piŋ44pɔ213,piŋpɔ
WM,Wulumuqi,9,结冰,结冰,,tɕiɤ piŋ,tɕiɤ213 piŋ44,t͡ɕiɤ213piŋ44,t͡ɕiɤpiŋ
WM,Wulumuqi,10,刮风,刮风,,kua fɤŋ,kua213 fɤŋ44,kua213fɤŋ44,kuafɤŋ
WM,Wulumuqi,11,虹,虹,,kɑŋ,kɑŋ213,kɑŋ213,kɑŋ
WM,Wulumuqi,12,端午节,端午,,tuan vu,tuan44 vu,tuan44vu,tuanvu
WM,Wulumuqi,13,中秋节,中秋,,tʂuŋ tɕˈiɤu,tʂuŋ44 tɕˈiɤu44,tʂuŋ44t͡ɕʰiɤu44,tʂuŋt͡ɕʰiɤu
WM,Wulumuqi,14,除夕,年三十 ,,ȵian san ʂʅ,ȵian51 san44 ʂʅ,ɲian51san44ʂɻ̩,ɲiansanʂɻ̩
WM,Wulumuqi,15,今年,今年,,tɕiŋ ȵian,tɕiŋ44 ȵian51,t͡ɕiŋ44ɲian51,t͡ɕiŋɲian
WM,Wulumuqi,16,明年,明年 ,,miŋ ȵian,miŋ51-44 ȵian,miŋ51-44ɲian,miŋɲian
WM,Wulumuqi,17,去年,年事个 ,,ȵian sɿ kɤ,ȵian51-44 sɿ kɤ,ɲian51-44sɹ̩kɤ,ɲiansɹ̩kɤ
WM,Wulumuqi,18,明天,明天,,miŋ tˈian,miŋ51-44 tˈian,miŋ51-44tʰian,miŋtʰian
WM,Wulumuqi,19,昨天,昨天,,tsuɤ tˈian,tsuɤ51-44 tˈian,t͡suɤ51-44tʰian,t͡suɤtʰian
WM,Wulumuqi,20,今天,今天,,tɕiŋ tˈian,tɕiŋ44 tˈian,t͡ɕiŋ44tʰian,t͡ɕiŋtʰian
WM,Wulumuqi,21,星期天,星期天 ,,ɕiŋ tɕˈi tˈian,ɕiŋ44 tɕˈi tˈian44,ɕiŋ44t͡ɕʰitʰian44,ɕiŋt͡ɕʰitʰian
WM,Wulumuqi,22,麦子,麦子 ,,mei tsɿ,mei44 tsɿ,mei44t͡sɹ̩,meit͡sɹ̩
WM,Wulumuqi,23,大米,大米 ,,ta mi,ta213-13 mi51,ta213-13mi51,tami
WM,Wulumuqi,24,蚕豆,大豆,,ta tɤu,ta213-13 tɤu,ta213-13tɤu,tatɤu
WM,Wulumuqi,25,向日葵,葵花 ,,kˈuei xua,kˈuei51-44 xua,kʰuei51-44xua,kʰueixua
WM,Wulumuqi,26,菠菜,菠菜 ,,pɤ tsˈai,pɤ44 tsˈai,pɤ44t͡sʰai,pɤt͡sʰai
WM,Wulumuqi,27,卷心菜,莲花白 ,,lian xua pei,lian51-44 xua pei51,lian51-44xuapei51,lianxuapei
WM,Wulumuqi,28,西红柿,洋柿子 ,,iɑŋ sɿ tsɿ,iɑŋ51 sɿ213-13 tsɿ,iɑŋ51sɹ̩213-13t͡sɹ̩,iɑŋsɹ̩t͡sɹ̩
WM,Wulumuqi,29,茄子,茄子,,tɕˈiɤ tsɿ,tɕˈiɤ51-44 tsɿ,t͡ɕʰiɤ51-44t͡sɹ̩,t͡ɕʰiɤt͡sɹ̩
WM,Wulumuqi,30,白薯,红薯 ,,xuŋ fu,xuŋ51-53 fu51,xuŋ51-53fu51,xuŋfu
WM,Wulumuqi,31,马铃薯,洋芋,,iɑŋ y,iɑŋ51-53 y213,iɑŋ51-53y213,iɑŋy
WM,Wulumuqi,32,南瓜,葫芦,,xu lu,xu51-44 lu,xu51-44lu,xulu
WM,Wulumuqi,33,猪,猪 ,,tʂu,tʂu44,tʂu44,tʂu
WM,Wulumuqi,34,公猪,公猪 ,,kuŋ tʂu,kuŋ44 tʂu44,kuŋ44tʂu44,kuŋtʂu
WM,Wulumuqi,35,母猪,母猪 ,,mu tʂu,mu51-13 tʂu,mu51-13tʂu,mutʂu
WM,Wulumuqi,36,公鸡,公鸡,,kuŋ tɕi,kuŋ44 tɕi44,kuŋ44t͡ɕi44,kuŋt͡ɕi
WM,Wulumuqi,37,母鸡,母鸡,,mu tɕi,mu51-13 tɕi,mu51-13t͡ɕi,mut͡ɕi
WM,Wulumuqi,38,麻雀,麻雀子,,ma tɕˈyɤ tsɿ,ma51-44 tɕˈyɤ tsɿ,ma51-44t͡ɕʰyɤt͡sɹ̩,mat͡ɕʰyɤt͡sɹ̩
WM,Wulumuqi,39,老鼠,老鼠 ,,lɔ tʂˈu,lɔ51-13 tʂˈu,lɔ51-13tʂʰu,lɔtʂʰu
WM,Wulumuqi,40,臭虫,臭虱,,tʂˈɤu sei,tʂˈɤu213-13 sei,tʂʰɤu213-13sei,tʂʰɤusei
WM,Wulumuqi,41,房子(整),房子 ,,fɑŋ tsɿ,fɑŋ51-44 tsɿ,fɑŋ51-44t͡sɹ̩,fɑŋt͡sɹ̩
WM,Wulumuqi,42,房子(单),房子 ,,fɑŋ tsɿ,fɑŋ51-44 tsɿ,fɑŋ51-44t͡sɹ̩,fɑŋt͡sɹ̩
WM,Wulumuqi,43,窗户,窗户,,tʂˈuɑŋ xu,tʂˈuɑŋ44 xu,tʂʰuɑŋ44xu,tʂʰuɑŋxu
WM,Wulumuqi,44,门坎,门坎,,mɤŋ kˈan,mɤŋ51-44 kˈan,mɤŋ51-44kʰan,mɤŋkʰan
WM,Wulumuqi,45,厕所,茅房 ,,mɔ fɑŋ,mɔ51-44 fɑŋ,mɔ51-44fɑŋ,mɔfɑŋ
WM,Wulumuqi,46,厨房,厨房 ,,tʂˈu fɑŋ,tʂˈu51-53 fɑŋ51,tʂʰu51-53fɑŋ51,tʂʰufɑŋ
WM,Wulumuqi,47,烟囱,烟筒 ,,ian tˈuŋ,ian44 tˈuŋ51,ian44tʰuŋ51,iantʰuŋ
WM,Wulumuqi,48,桌子,桌子 ,,tʂuɤ tsɿ,tʂuɤ213-13 tsɿ,tʂuɤ213-13t͡sɹ̩,tʂuɤt͡sɹ̩
WM,Wulumuqi,49,楼梯,楼梯,,lɤu tˈi,lɤu51-44 tˈi,lɤu51-44tʰi,lɤutʰi
WM,Wulumuqi,50,头,头 ,,tˈɤu,tˈɤu51,tʰɤu51,tʰɤu
WM,Wulumuqi,51,额头,崩楼 ,,pɤŋ lɤu,pɤŋ44 lɤu51,pɤŋ44lɤu51,pɤŋlɤu
WM,Wulumuqi,52,脸,脸,,lian,lian51,lian51,lian
WM,Wulumuqi,53,鼻子,鼻子 ,,pi tsɿ,pi51-44 tsɿ,pi51-44t͡sɹ̩,pit͡sɹ̩
WM,Wulumuqi,54,脖子,脖子 ,,pɤ tsɿ,pɤ51-44 tsɿ,pɤ51-44t͡sɹ̩,pɤt͡sɹ̩
WM,Wulumuqi,55,左手,左手 ,,tsuɤ ʂɤu,tsuɤ51-44 ʂɤu,t͡suɤ51-44ʂɤu,t͡suɤʂɤu
WM,Wulumuqi,56,右手,右手 ,,iɤu ʂɤu,iɤu213-13 ʂɤu51,iɤu213-13ʂɤu51,iɤuʂɤu
WM,Wulumuqi,57,拳头,捶头,,tʂˈuei tˈɤu,tʂˈuei51-44 tˈɤu,tʂʰuei51-44tʰɤu,tʂʰueitʰɤu
WM,Wulumuqi,58,手指头,手指头 ,,ʂɤu tsɿ tˈɤu,ʂɤu51 tsɿ213-13 tˈɤu,ʂɤu51t͡sɹ̩213-13tʰɤu,ʂɤut͡sɹ̩tʰɤu
WM,Wulumuqi,59,指甲,指甲,,tsɿ tɕia,tsɿ213-13 tɕia,t͡sɹ̩213-13t͡ɕia,t͡sɹ̩t͡ɕia
WM,Wulumuqi,60,膝盖,菠膝盖儿 ,,pɤ ɕi kɛr,pɤ44 ɕi kɛr213,pɤ44ɕikɛr213,pɤɕikɛr
WM,Wulumuqi,61,腿,腿,,tˈuei,tˈuei51,tʰuei51,tʰuei
WM,Wulumuqi,62,父亲,爸爸,,pa pa,pa51-44 pa,pa51-44pa,papa
WM,Wulumuqi,63,母亲,妈,,ma,ma44,ma44,ma
WM,Wulumuqi,64,祖父,爷爷 ,,iɤ iɤ,iɤ51-44 iɤ,iɤ51-44iɤ,iɤiɤ
WM,Wulumuqi,65,祖母,奶奶 ,,nai nai,nai51-13 nai,nai51-13nai,nainai
WM,Wulumuqi,66,伯父,伯伯 ,,pei pei,pei51-44 pei,pei51-44pei,peipei
WM,Wulumuqi,67,伯母,大妈 ,,ta ma,ta21-13 ma,ta21-13ma,tama
