dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,1,谁啊?我是老三。,谁?我是老三,,sei ŋɤ sɿ lau sã,sei24 ŋɤ53 sɿ44 lau53 sã21,sei24 ŋɤ53 sɹ̩44 lau53 sã21,sei ŋɤ sɹ̩ lau sã,Xian,XA
XA,Xian,2,老四呢?她正跟一个朋友说着话呢。,老四呢?兀正跟她一个伙计□呢,,lau sɿ ni uo tʂəŋ kẽ tˈa i kɤ xuo tɕˈi pˈiã ni,lau53 sɿ44 ni uo53 tʂəŋ44 kẽ21 tˈa21 i21 kɤ44 xuo53 tɕˈi pˈiã53 ni,lau53 sɹ̩44 ni uo53 tʂəŋ44 kẽ21 tʰa21 i21 kɤ44 xuo53 t͡ɕʰi pʰiã53 ni,lau sɹ̩ ni uo tʂəŋ kẽ tʰa i kɤ xuo t͡ɕʰi pʰiã ni,Xian,XA
XA,Xian,3,她还没说完吗?,她得是还没说完,,tˈa tei sɿ xai mo ʂɤ uã,tˈa21 tei21 sɿ44 xai24 mo21 ʂɤ21 uã24,tʰa21 tei21 sɹ̩44 xai24 mo21 ʂɤ21 uã24,tʰa tei sɹ̩ xai mo ʂɤ uã,Xian,XA
XA,Xian,4,还没有。大概再有一会儿就说完了。,还没有。大猛儿还得一会儿,,xai mo iou ta mər xai tei i xuər,xai24 mo21 iou53 ta44 mər53 xai24 tei21 i21 xuər4453,xai24 mo21 iou53 ta44 mər53 xai24 tei21 i21 xuər4453,xai mo iou ta mər xai tei i xuər,Xian,XA
XA,Xian,5,他说马上就走，怎么这半天了还在家里?,他说马上就走，咋到致儿还在屋里,,tˈa ʂɤ ma ʂaŋ tsou tsou tsa tau tʂər xai tsai u ni,tˈa21 ʂɤ21 ma53 ʂaŋ tsou44 tsou53 tsa53 tau44 tʂər4453 xai24 tsai44 u21 ni,tʰa21 ʂɤ21 ma53 ʂaŋ t͡sou44 t͡sou53 t͡sa53 tau44 tʂər4453 xai24 t͡sai44 u21 ni,tʰa ʂɤ ma ʂaŋ t͡sou t͡sou t͡sa tau tʂər xai t͡sai u ni,Xian,XA
XA,Xian,6,你到哪儿去?我到城里去。,你到啊搭去呀?我进城呀,,ni tau a ta tɕˈi ia ŋɤ tɕiẽ tʂˈəŋ ia,ni53 tau44 a53 ta tɕˈi44 ia ŋɤ53 tɕiẽ44 tʂˈəŋ24 ia,ni53 tau44 a53 ta t͡ɕʰi44 ia ŋɤ53 t͡ɕiẽ44 tʂʰəŋ24 ia,ni tau a ta t͡ɕʰi ia ŋɤ t͡ɕiẽ tʂʰəŋ ia,Xian,XA
XA,Xian,7,在那儿，不在这儿。,在兀儿，不在这儿,,tsai uor pu tsai tʂɤr,tsai44 uor53 pu21 tsai44 tʂɤr53,t͡sai44 uor53 pu21 t͡sai44 tʂɤr53,t͡sai uor pu t͡sai tʂɤr,Xian,XA
XA,Xian,8,不是那么做，要这么做。,不是兀样儿做，是这样儿做,,pu sɿ u iaŋr tsou sɿ tʂʅ iaŋr tsou,pu21 sɿ44 u44 iaŋr tsou44 sɿ44 tʂʅ44 iaŋr tsou44,pu21 sɹ̩44 u44 iaŋr t͡sou44 sɹ̩44 tʂɻ̩44 iaŋr t͡sou44,pu sɹ̩ u iaŋr t͡sou sɹ̩ tʂɻ̩ iaŋr t͡sou,Xian,XA
XA,Xian,9,太多了，用不着那么多，只要这么多就够了。,太多咧，只要这一点儿就够咧,,tˈai tuo liɛ tsɿ iau tʂei i tiãr tsou kou liɛ,tˈai44 tuo21 liɛ tsɿ21 iau44 tʂei53 i21 tiãr53 tsou44 kou44 liɛ,tʰai44 tuo21 liɛ t͡sɹ̩21 iau44 tʂei53 i21 tiãr53 t͡sou44 kou44 liɛ,tʰai tuo liɛ t͡sɹ̩ iau tʂei i tiãr t͡sou kou liɛ,Xian,XA
XA,Xian,10,这个大，那个小，这两个哪一个好一点呢?,这个大，兀个小，这俩啊一个好,,tʂʅ kɤ ta u kɤ ɕiau tʂʅ lia a i kɤ xau,tʂʅ44 kɤ ta44 u44 kɤ ɕiau53 tʂʅ44 lia21 a53 i21 kɤ xau53,tʂɻ̩44 kɤ ta44 u44 kɤ ɕiau53 tʂɻ̩44 lia21 a53 i21 kɤ xau53,tʂɻ̩ kɤ ta u kɤ ɕiau tʂɻ̩ lia a i kɤ xau,Xian,XA
XA,Xian,11,这个比那个好。,这个比兀个好,,tʂʅ kɤ pi u kɤ xau,tʂʅ44 kɤ pi53 u44 kɤ xau53,tʂɻ̩44 kɤ pi53 u44 kɤ xau53,tʂɻ̩ kɤ pi u kɤ xau,Xian,XA
XA,Xian,12,这些房子不如那些房子好。,这些房子不胜兀些房子,,tʂʅ ɕiɛ faŋ tsɿ pu ʂəŋ u ɕiɛ faŋ tsɿ,tʂʅ44 ɕiɛ faŋ24 tsɿ pu21 ʂəŋ44 u44 ɕiɛ faŋ24 tsɿ,tʂɻ̩44 ɕiɛ faŋ24 t͡sɹ̩ pu21 ʂəŋ44 u44 ɕiɛ faŋ24 t͡sɹ̩,tʂɻ̩ ɕiɛ faŋ t͡sɹ̩ pu ʂəŋ u ɕiɛ faŋ t͡sɹ̩,Xian,XA
XA,Xian,13,这句话用成都话怎么说?,,,,,,,Xian,XA
XA,Xian,14,有五十斤重呢。,有五十斤重,,iou u ʂʅ tɕiẽ pfəŋ,iou53 u53 ʂʅ tɕiẽ21 pfəŋ44,iou53 u53 ʂɻ̩ t͡ɕiẽ21 pfəŋ44,iou u ʂɻ̩ t͡ɕiẽ pfəŋ,Xian,XA
XA,Xian,15,拿得动吗?,拿得动,,na tei tuŋ,na24 tei21 tuŋ44,na24 tei21 tuŋ44,na tei tuŋ,Xian,XA
XA,Xian,16,我拿得动，他拿不动。,我能拿动，他拿不动,,ŋɤ nəŋ na tuŋ tˈa na pu tuŋ,ŋɤ53 nəŋ24 na24 tuŋ tˈa21 na24 pu21 tuŋ44,ŋɤ53 nəŋ24 na24 tuŋ tʰa21 na24 pu21 tuŋ44,ŋɤ nəŋ na tuŋ tʰa na pu tuŋ,Xian,XA
XA,Xian,17,真不轻，重得连我也拿不动。,真重，重得连我都拿不动,,tʂẽ pfəŋ pfəŋ ti liã ŋɤ tou na pu tuŋ,tʂẽ24 pfəŋ44 pfəŋ44 ti liã24 ŋɤ53 tou24 na24 pu21 tuŋ44,tʂẽ24 pfəŋ44 pfəŋ44 ti liã24 ŋɤ53 tou24 na24 pu21 tuŋ44,tʂẽ pfəŋ pfəŋ ti liã ŋɤ tou na pu tuŋ,Xian,XA
XA,Xian,18,你说得很好，你还会说点什么呢?,你说得嫽得很，你还能说点儿啥,,ni ʂɤ ti liau ti xẽ ni xai nəŋ ʂɤ tiar sa,ni53 ʂɤ21 ti liau24 ti xẽ53 ni53 xai24 nəŋ24 ʂɤ21 tiar sa44,ni53 ʂɤ21 ti liau24 ti xẽ53 ni53 xai24 nəŋ24 ʂɤ21 tiar sa44,ni ʂɤ ti liau ti xẽ ni xai nəŋ ʂɤ tiar sa,Xian,XA
XA,Xian,19,我嘴笨，我说不过他。,我嘴笨，我说不过兀,,ŋɤ tsuei pẽ ŋɤ ʂɤ pu kuo uo,ŋɤ53 tsuei53 pẽ44 ŋɤ53 ʂɤ21 pu21 kuo44 uo53,ŋɤ53 t͡suei53 pẽ44 ŋɤ53 ʂɤ21 pu21 kuo44 uo53,ŋɤ t͡suei pẽ ŋɤ ʂɤ pu kuo uo,Xian,XA
XA,Xian,20,说了一遍，又说一遍。,说咧一遍，可说咧一遍,,ʂɤ liɛ i piã kˈɤ ʂɤ liɛ i piã,ʂɤ21 liɛ i21 piã44 kˈɤ21 ʂɤ21 liɛ i21 piã44,ʂɤ21 liɛ i21 piã44 kʰɤ21 ʂɤ21 liɛ i21 piã44,ʂɤ liɛ i piã kʰɤ ʂɤ liɛ i piã,Xian,XA
XA,Xian,21,请你再说一遍。,请你再说一遍,,tɕˈiŋ ni tsai ʂɤ i piã,tɕˈiŋ53 ni53 tsai44 ʂɤ21 i21 piã44,t͡ɕʰiŋ53 ni53 t͡sai44 ʂɤ21 i21 piã44,t͡ɕʰiŋ ni t͡sai ʂɤ i piã,Xian,XA
XA,Xian,22,不早了，快去吧。,不早咧，赶紧去,,pu tsau liɛ kã tɕiẽ tɕˈi,pu21 tsau53 liɛ kã5321 tɕiẽ53 tɕˈi44,pu21 t͡sau53 liɛ kã5321 t͡ɕiẽ53 t͡ɕʰi44,pu t͡sau liɛ kã t͡ɕiẽ t͡ɕʰi,Xian,XA
XA,Xian,23,现在还早着呢，等一会儿再去吧。,致儿还早着呢，等一会儿再去,,tʂər xai tsau tʂɤ ni təŋ i xuər tsai tɕˈi,tʂər4453 xai24 tsau53 tʂɤ ni təŋ53 i21 xuər4453 tsai44 tɕˈi44,tʂər4453 xai24 t͡sau53 tʂɤ ni təŋ53 i21 xuər4453 t͡sai44 t͡ɕʰi44,tʂər xai t͡sau tʂɤ ni təŋ i xuər t͡sai t͡ɕʰi,Xian,XA
XA,Xian,24,吃了饭再去好吗?,吃咧饭再去得成,,tʂˈʅ liɛ fã tsai tɕˈi tei tʂˈəŋ,tʂˈʅ21 liɛ fã44 tsai44 tɕˈi44 tei221 tʂˈəŋ24,tʂʰɻ̩21 liɛ fã44 t͡sai44 t͡ɕʰi44 tei221 tʂʰəŋ24,tʂʰɻ̩ liɛ fã t͡sai t͡ɕʰi tei tʂʰəŋ,Xian,XA
XA,Xian,25,慢慢儿吃啊，不要着急。,慢慢儿吃，虿着急,,mã mar tʂˈʅ pau tʂau tɕi,mã44 mar4453 tʂˈʅ21 pau21 tʂau21 tɕi24,mã44 mar4453 tʂʰɻ̩21 pau21 tʂau21 t͡ɕi24,mã mar tʂʰɻ̩ pau tʂau t͡ɕi,Xian,XA
XA,Xian,26,坐着吃比站着吃好些。,坐下吃比立下吃舒服,,tsuo xa tʂˈʅ pi li xa tʂˈʅ su fu,tsuo44 xa tʂˈʅ21 pi53 li21 xa tʂˈʅ21 su21 fu,t͡suo44 xa tʂʰɻ̩21 pi53 li21 xa tʂʰɻ̩21 su21 fu,t͡suo xa tʂʰɻ̩ pi li xa tʂʰɻ̩ su fu,Xian,XA
