dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,1.0,有一回,有一回,,iou i xuei,iou53 i21 xuei24,iou53 i21 xuei24,iou i xuei,Xian,XA
XA,Xian,2.0,北风跟太阳在那儿争论谁的本事大,北风跟日头在兀儿争谁的本事大,,pei fəŋ kẽ ər tˈou tsai uor tsəŋ sei ti pẽ sɿ ta,pei2124 fəŋ21 kẽ21 ər21 tˈou tsai21 uor53 tsəŋ21 sei24 ti pẽ53 sɿ ta44,pei2124 fəŋ21 kẽ21 ər21 tʰou t͡sai21 uor53 t͡səŋ21 sei24 ti pẽ53 sɹ̩ ta44,pei fəŋ kẽ ər tʰou t͡sai uor t͡səŋ sei ti pẽ sɹ̩ ta,Xian,XA
XA,Xian,3.0,争来争去就是分不出高低来,争过来争过去就是分不出个高低,,tsəŋ kuo lai tsəŋ kuo tɕˈi tsou sɿ fẽ pu pfˈu kɤ kau ti,tsəŋ21 kuo44 lai tsəŋ21 kuo44 tɕˈi tsou44 sɿ fẽ21 pu2124 pfˈu21 kɤ kau2124 ti21,t͡səŋ21 kuo44 lai t͡səŋ21 kuo44 t͡ɕʰi t͡sou44 sɹ̩ fẽ21 pu2124 pfʰu21 kɤ kau2124 ti21,t͡səŋ kuo lai t͡səŋ kuo t͡ɕʰi t͡sou sɹ̩ fẽ pu pfʰu kɤ kau ti,Xian,XA
XA,Xian,4.0,这时候路上来了个走道儿的,这个时候路下过来咧一个人,,tʂɤ kɤ sɿ xou lu xa kuo lai liɛ i kɤ ʐẽ,tʂɤ53 kɤ sɿ24 xou lu44 xa kuo44 lai liɛ i21 kɤ44 ʐẽ24,tʂɤ53 kɤ sɹ̩24 xou lu44 xa kuo44 lai liɛ i21 kɤ44 ʐẽ24,tʂɤ kɤ sɹ̩ xou lu xa kuo lai liɛ i kɤ ʐẽ,Xian,XA
XA,Xian,5.0,他身上穿着件厚大衣,身下穿咧件厚大氅,,ʂẽ xa pfˈã liɛ tɕiar xou ta tʂˈaŋ,ʂẽ21 xa pfˈã21 liɛ tɕiar4453 xou44 ta44 tʂˈaŋ53,ʂẽ21 xa pfʰã21 liɛ t͡ɕiar4453 xou44 ta44 tʂʰaŋ53,ʂẽ xa pfʰã liɛ t͡ɕiar xou ta tʂʰaŋ,Xian,XA
XA,Xian,6.0,他们俩就说好了,,,,,,,Xian,XA
XA,Xian,7.0,谁能先叫这个走道儿的脱下他的厚大衣,,,,,,,Xian,XA
XA,Xian,8.0,就算谁的本事大,就算谁的本事大,,tsou suã sei ti pẽ sɿ ta,tsou44 suã44 sei24 ti pẽ53 sɿ ta44,t͡sou44 suã44 sei24 ti pẽ53 sɹ̩ ta44,t͡sou suã sei ti pẽ sɹ̩ ta,Xian,XA
XA,Xian,9.0,北风就使劲儿地刮起来了,北风就鼓劲儿地刮开咧,,pei fəŋ tsou ku tɕiər ti kua kˈai liɛ,pei2124 fəŋ21 tsou44 ku53 tɕiər4453 ti kua21 kˈai liɛ,pei2124 fəŋ21 t͡sou44 ku53 t͡ɕiər4453 ti kua21 kʰai liɛ,pei fəŋ t͡sou ku t͡ɕiər ti kua kʰai liɛ,Xian,XA
XA,Xian,10.0,不过他越是刮得厉害,他越刮越大,,tˈa yɛ kua yɛ ta,tˈa21 yɛ2124 kua21 yɛ21 ta44,tʰa21 yɛ2124 kua21 yɛ21 ta44,tʰa yɛ kua yɛ ta,Xian,XA
XA,Xian,11.0,那个走道儿的把大衣裹得越紧,兀个走路的把大氅越裹越紧,,u kɤ tsou lu ti pa ta tʂˈaŋ yɛ kuo yɛ tɕiẽ,u44 kɤ tsou53 lu44 ti pa21 ta44 tʂˈaŋ53 yɛ21 kuo53 yɛ21 tɕiẽ53,u44 kɤ t͡sou53 lu44 ti pa21 ta44 tʂʰaŋ53 yɛ21 kuo53 yɛ21 t͡ɕiẽ53,u kɤ t͡sou lu ti pa ta tʂʰaŋ yɛ kuo yɛ t͡ɕiẽ,Xian,XA
XA,Xian,12.0,后来北风没法儿了,北风没法咧,,pei fəŋ mo far liɛ,pei2124 fəŋ21 mo2124 far21 liɛ,pei2124 fəŋ21 mo2124 far21 liɛ,pei fəŋ mo far liɛ,Xian,XA
XA,Xian,13.0,只好就算了,只得算咧,,tsɿ tei suã liɛ,tsɿ2124 tei21 suã44 liɛ,t͡sɹ̩2124 tei21 suã44 liɛ,t͡sɹ̩ tei suã liɛ,Xian,XA
XA,Xian,14.0,过了一会儿,过咧一下,,kuo liɛ i xa,kuo44 liɛ i21 xa,kuo44 liɛ i21 xa,kuo liɛ i xa,Xian,XA
XA,Xian,15.0,太阳出来了,日头出来咧,,ər tˈou pfˈu lai liɛ,ər21 tˈou pfˈu21 lai liɛ,ər21 tʰou pfʰu21 lai liɛ,ər tʰou pfʰu lai liɛ,Xian,XA
XA,Xian,16.0,他火辣辣地一晒,他冷跟儿地晒,,tˈa ləŋ kər ti sai,tˈa21 ləŋ53 kər21 ti sai44,tʰa21 ləŋ53 kər21 ti sai44,tʰa ləŋ kər ti sai,Xian,XA
XA,Xian,17.0,那个走道儿的马上就把那件厚大衣脱下来了,兀个走路的晒得受不了,,u kɤ tsou lu ti sai ti ʂou pu liau,u44 kɤ tsou53 lu44 ti sai44 ti ʂou44 pu liau53,u44 kɤ t͡sou53 lu44 ti sai44 ti ʂou44 pu liau53,u kɤ t͡sou lu ti sai ti ʂou pu liau,Xian,XA
XA,Xian,18.0,这下北风只好承认,马上就把厚大氅脱下来咧,,ma ʂaŋ tsou pa xou ta tʂˈaŋ tˈuo xa lai liɛ,ma53 ʂaŋ tsou44 pa21 xou44 ta44 tʂˈaŋ53 tˈuo21 xa44 lai liɛ,ma53 ʂaŋ t͡sou44 pa21 xou44 ta44 tʂʰaŋ53 tʰuo21 xa44 lai liɛ,ma ʂaŋ t͡sou pa xou ta tʂʰaŋ tʰuo xa lai liɛ,Xian,XA
XA,Xian,19.0,他们俩当中还是太阳的本事大,这一下北风只得人咧,,tʂei i xa pei fəŋ tsɿ tei ʐẽ liɛ,tʂei53 i21 xa pei2124 fəŋ21 tsɿ2124 tei21 ʐẽ44 liɛ,tʂei53 i21 xa pei2124 fəŋ21 t͡sɹ̩2124 tei21 ʐẽ44 liɛ,tʂei i xa pei fəŋ t͡sɹ̩ tei ʐẽ liɛ,Xian,XA
XA,Xian,,,他俩当中里还是日头的本事大,,tˈa lia taŋ pfəŋ ni xai sɿ ər tˈou ti pẽ sɿ ta,tˈa21 lia21 taŋ2124 pfəŋ21 ni xai24 sɿ44 ər21 tˈou ti pẽ53 sɿ ta44,tʰa21 lia21 taŋ2124 pfəŋ21 ni xai24 sɹ̩44 ər21 tʰou ti pẽ53 sɹ̩ ta44,tʰa lia taŋ pfəŋ ni xai sɹ̩ ər tʰou ti pẽ sɹ̩ ta,Xian,XA
