dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,1,太阳,日头,,ər tˈou,ər21 tˈou,ər21 tʰou,ər tʰou,Xian,XA
XA,Xian,2,月亮,月亮 ,,yɛ liaŋ,yɛ21 liaŋ,yɛ21 liaŋ,yɛ liaŋ,Xian,XA
XA,Xian,3,星星,星星 ,,ɕiŋ ɕiŋ,ɕiŋ21 ɕiŋ,ɕiŋ21 ɕiŋ,ɕiŋ ɕiŋ,Xian,XA
XA,Xian,4,打雷,响雷 ,,ɕiaŋ luei,ɕiaŋ53 luei24,ɕiaŋ53 luei24,ɕiaŋ luei,Xian,XA
XA,Xian,5,闪电,闪电 ,,ʂã tiã,ʂã53 tiã44,ʂã53 tiã44,ʂã tiã,Xian,XA
XA,Xian,6,下雨,下雨 ,,ɕia y,ɕia44 y53,ɕia44 y53,ɕia y,Xian,XA
XA,Xian,7,下雪,下雪 ,,ɕia ɕyɛ,ɕia44 ɕyɛ21,ɕia44 ɕyɛ21,ɕia ɕyɛ,Xian,XA
XA,Xian,8,冰雹,冷子 ,,ləŋ tsɿ,ləŋ53 tsɿ,ləŋ53 t͡sɹ̩,ləŋ t͡sɹ̩,Xian,XA
XA,Xian,9,结冰,冻冰 ,,tuŋ piŋ,tuŋ44 piŋ21,tuŋ44 piŋ21,tuŋ piŋ,Xian,XA
XA,Xian,10,刮风,刮风 ,,kua fəŋ,kua2124 fəŋ21,kua2124 fəŋ21,kua fəŋ,Xian,XA
XA,Xian,11,虹,虹,,tɕiaŋ,tɕiaŋ44,t͡ɕiaŋ44,t͡ɕiaŋ,Xian,XA
XA,Xian,12,端午节,五月节 ,,u yɛ tɕiɛ,u53 yɛ2124 tɕiɛ21,u53 yɛ2124 t͡ɕiɛ21,u yɛ t͡ɕiɛ,Xian,XA
XA,Xian,13,中秋节,八月节 ,,pa yɛ tɕiɛ,pa21 yɛ2124 tɕiɛ21,pa21 yɛ2124 t͡ɕiɛ21,pa yɛ t͡ɕiɛ,Xian,XA
