dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XT,Xiangtan,1,太阳,太阳 ,,tˈai ian,tˈai55 ian12,tʰai ian,tʰai55 ian12
XT,Xiangtan,2,月亮,月亮 ,,yæ nian,yæ24 nian55,yæ nian,yæ24 nian55
XT,Xiangtan,3,星星,星子 ,,sian tsɿ,sian33 tsɿ33,sian t͡sɹ̩,sian33 t͡sɹ̩33
XT,Xiangtan,4,打雷,打雷 ,,tɒ nəi,tɒ42 nəi12,tɒ nəi,tɒ42 nəi12
XT,Xiangtan,5,闪电,扯发闪 ,,tʂˈɒ ɸɒ ɕyẽ,tʂˈɒ42 ɸɒ24 ɕyẽ42,tʂʰɒ ɸɒ ɕyẽ,tʂʰɒ42 ɸɒ24 ɕyẽ42
XT,Xiangtan,6,下雨,落雨 ,,no y,no24 y42,no y,no24 y42
XT,Xiangtan,7,下雪,落雪 ,,no sie,no24 sie24,no sie,no24 sie24
XT,Xiangtan,8,冰雹,雪籽子 ,,sie tsɿ tsɿ,sie24 tsɿ42 tsɿ33,sie t͡sɹ̩ t͡sɹ̩,sie24 t͡sɹ̩42 t͡sɹ̩33
XT,Xiangtan,9,结冰,结构 ,,tɕie kəɯ,tɕie24 kəɯ55,t͡ɕie kəɯ,t͡ɕie24 kəɯ55
XT,Xiangtan,10,刮风,起风 ,,tɕˈi ɸən,tɕˈi42 ɸən33,t͡ɕʰi ɸən,t͡ɕʰi42 ɸən33
XT,Xiangtan,11,虹,虹,,kɔn,kɔn55,kɔn,kɔn55
XT,Xiangtan,12,端午节,端午日 ,,tɔn u i,tɔn33 u42 i24,tɔn u i,tɔn33 u42 i24
XT,Xiangtan,13,中秋节,中秋日,,tʂən tsˈiəɯ i,tʂən33 tsˈiəɯ33 i24,tʂən t͡sʰiəɯ i,tʂən33 t͡sʰiəɯ33 i24
XT,Xiangtan,14,除夕,大年三十,,dai ȵiẽ san ʂʅ,dai21 ȵiẽ12 san33 ʂʅ55,dai ɲiẽ san ʂɻ̩,dai21 ɲiẽ12 san33 ʂɻ̩55
XT,Xiangtan,15,今年,今年子 ,,tɕin ȵiẽ tsɿ,tɕin33 ȵiẽ12 tsɿ33,t͡ɕin ɲiẽ t͡sɹ̩,t͡ɕin33 ɲiẽ12 t͡sɹ̩33
XT,Xiangtan,16,明年,明年子 ,,min ȵiẽ tsɿ,min12 ȵiẽ12 tsɿ33,min ɲiẽ t͡sɹ̩,min12 ɲiẽ12 t͡sɹ̩33
XT,Xiangtan,17,去年,去年子 ,,tɕˈy ȵiẽ tsɿ,tɕˈy55 ȵiẽ12 tsɿ33,t͡ɕʰy ɲiẽ t͡sɹ̩,t͡ɕʰy55 ɲiẽ12 t͡sɹ̩33
XT,Xiangtan,18,明天,明日子 ,,mai i tsɿ,mai12 i24 tsɿ33,mai i t͡sɹ̩,mai12 i24 t͡sɹ̩33
XT,Xiangtan,19,昨天,昨日子 ,,dzo i tsɿ,dzo12 i24 tsɿ33,dzo i t͡sɹ̩,dzo12 i24 t͡sɹ̩33
XT,Xiangtan,20,今天,今日子 ,,tɕin i tsɿ,tɕin33 i24 tsɿ33,t͡ɕin i t͡sɹ̩,t͡ɕin33 i24 t͡sɹ̩33
XT,Xiangtan,21,星期天,星期日 ,,sin dʑi i,sin33 dʑi12 i24,sin dʑi i,sin33 dʑi12 i24
XT,Xiangtan,22,麦子,麦子,,mai tsɿ,mai24 tsɿ33,mai t͡sɹ̩,mai24 t͡sɹ̩33
XT,Xiangtan,23,大米,大米 ,,dai mi,dai21 mi42,dai mi,dai21 mi42
XT,Xiangtan,24,蚕豆,豌豆 ,,uan dəɯ,uan33 dəɯ21,uan dəɯ,uan33 dəɯ21
XT,Xiangtan,25,向日葵,转日莲 ,,tɕyẽ i niẽ,tɕyẽ42 i24 niẽ12,t͡ɕyẽ i niẽ,t͡ɕyẽ42 i24 niẽ12
XT,Xiangtan,26,菠菜,菠菜 ,,po tsˈai,po33 tsˈai55,po t͡sʰai,po33 t͡sʰai55
XT,Xiangtan,27,卷心菜,包菜 ,,paɯ tsˈai,paɯ33 tsˈai55,paɯ t͡sʰai,paɯ33 t͡sʰai55
XT,Xiangtan,28,西红柿,西红柿 ,,si ɦən sɿ,si33 ɦən12 sɿ21,si ɦən sɹ̩,si33 ɦən12 sɹ̩21
XT,Xiangtan,29,茄子,茄子 ,,dʑyɒ tsɿ,dʑyɒ12 tsɿ33,dʑyɒ t͡sɹ̩,dʑyɒ12 t͡sɹ̩33
XT,Xiangtan,30,白薯,脚板薯 ,,tɕio pan ɕy,tɕio24 pan42 ɕy12,t͡ɕio pan ɕy,t͡ɕio24 pan42 ɕy12
XT,Xiangtan,31,马铃薯,洋芋头 ,,ian y dəɯ,ian12 y21 dəɯ12,ian y dəɯ,ian12 y21 dəɯ12
XT,Xiangtan,32,南瓜,南瓜 ,,nan kuɒ,nan12 kuɒ33,nan kuɒ,nan12 kuɒ33
XT,Xiangtan,33,猪,猪 ,,tɕy,tɕy33,t͡ɕy,t͡ɕy33
XT,Xiangtan,34,公猪,脚猪子,,tɕio tɕy tsɿ,tɕio24 tɕy33 tsɿ33,t͡ɕio t͡ɕy t͡sɹ̩,t͡ɕio24 t͡ɕy33 t͡sɹ̩33
XT,Xiangtan,35,母猪,猪婆子,,tɕy bo tsɿ,tɕy33 bo12 tsɿ33,t͡ɕy bo t͡sɹ̩,t͡ɕy33 bo12 t͡sɹ̩33
XT,Xiangtan,36,公鸡,叫鸡 ,,tɕiaɯ tɕi,tɕiaɯ55 tɕi33,t͡ɕiaɯ t͡ɕi,t͡ɕiaɯ55 t͡ɕi33
XT,Xiangtan,37,母鸡,鸡婆 ,,tɕi bo,tɕi33 bo12,t͡ɕi bo,t͡ɕi33 bo12
XT,Xiangtan,38,麻雀,麻雀子 ,,mɒ tsˈio tsɿ,mɒ12 tsˈio24 tsɿ33,mɒ t͡sʰio t͡sɹ̩,mɒ12 t͡sʰio24 t͡sɹ̩33
XT,Xiangtan,39,老鼠,老鼠子 ,,naɯ ɕy tsɿ,naɯ42 ɕy55 tsɿ33,naɯ ɕy t͡sɹ̩,naɯ42 ɕy55 t͡sɹ̩33
