dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,dialect_id,ipa_converted_no_tone,ipa_converted_with_tone
Xining,1,有一回,有 一 回煞,,iɯ j xuɨ sa,iɯ53 j xuɨ2421 sa53,XN,iɯ j xuɨ sa,iɯ53 j xuɨ2421 sa53
Xining,2,北风跟太阳在那儿争论谁的本事大,北风带热头儿俩带一处争讲谁的本事大,,pɨ fə̃ tɛ ʐɛ tˈɯ ɛ lia tɛ j tʂˈv̩ ɛ tsə̃ tɕə̃ tɕiɔ̃ fɨ tsɿ pə̃ sɿ ta,pɨ44 fə̃44 tɛ213 ʐɛ4421 tˈɯ2421 ɛ2453 lia tɛ213 j4421 tʂˈv̩53 ɛ tsə̃44 tɕə̃44 tɕiɔ̃53 fɨ2421 tsɿ4453 pə̃53 sɿ ta213,XN,pɨ fə̃ tɛ ʐɛ tʰɯ ɛ lia tɛ j tʂʰv̩ ɛ t͡sə̃ t͡ɕə̃ t͡ɕiɔ̃ fɨ t͡sɹ̩ pə̃ sɹ̩ ta,pɨ44 fə̃44 tɛ213 ʐɛ4421 tʰɯ2421 ɛ2453 lia tɛ213 j4421 tʂʰv̩53 ɛ t͡sə̃44 t͡ɕə̃44 t͡ɕiɔ̃53 fɨ2421 t͡sɹ̩4453 pə̃53 sɹ̩ ta213
Xining,3,争来争去就是分不出高低来,争来争去就是分不出高低来,,tɕə̃ lɛ tɕə̃ tɕˈj tɕiɯ sɿ fə̃ pv̩ tʂˈv̩ kɔ tsɿ lɛ,tɕə̃44 lɛ24 tɕə̃44 tɕˈj213 tɕiɯ213 sɿ213 fə̃44 pv̩ tʂˈv̩44 kɔ44 tsɿ44 lɛ,XN,t͡ɕə̃ lɛ t͡ɕə̃ t͡ɕʰj t͡ɕiɯ sɹ̩ fə̃ pv̩ tʂʰv̩ kɔ t͡sɹ̩ lɛ,t͡ɕə̃44 lɛ24 t͡ɕə̃44 t͡ɕʰj213 t͡ɕiɯ213 sɹ̩213 fə̃44 pv̩ tʂʰv̩44 kɔ44 t͡sɹ̩44 lɛ
Xining,4,这时候路上来了个走道儿的,致个时候路上来了个走路的,,tʂʅ kɔ sɿ xɯ lv̩ʂɔ̃ lɛ liɔ j kɔ tsɯ lv̩ tsɿ,tʂʅ21321 kɔ213 sɿ2421 xɯ2453 lv̩21321ʂɔ̃21353 lɛ2421 liɔ53 j4421 kɔ213 tsɯ53 lv̩21321 tsɿ53,XN,tʂɻ̩ kɔ sɹ̩ xɯ lv̩ʂɔ̃ lɛ liɔ j kɔ t͡sɯ lv̩ t͡sɹ̩,tʂɻ̩21321 kɔ213 sɹ̩2421 xɯ2453 lv̩21321ʂɔ̃21353 lɛ2421 liɔ53 j4421 kɔ213 t͡sɯ53 lv̩21321 t͡sɹ̩53
Xining,5,他身上穿着件厚大衣,家身上穿了一件厚大衣,,tɕia ʂə̃ ʂɔ̃ tʂˈuã liɔ j tɕiã xɯ ta j,tɕia24 ʂə̃44 ʂɔ̃ tʂˈuã44 liɔ j4421 tɕiã213 xɯ213 ta21321 j4453,XN,t͡ɕia ʂə̃ ʂɔ̃ tʂʰuã liɔ j t͡ɕiã xɯ ta j,t͡ɕia24 ʂə̃44 ʂɔ̃ tʂʰuã44 liɔ j4421 t͡ɕiã213 xɯ213 ta21321 j4453
Xining,6,他们俩就说好了,家们俩就说好了,,tɕia mə̃ lia tɕiɯ fɔ xɔ liɔ,tɕia2421 mə̃ lia tɕiɯ213 fɔ4421 xɔ53 liɔ,XN,t͡ɕia mə̃ lia t͡ɕiɯ fɔ xɔ liɔ,t͡ɕia2421 mə̃ lia t͡ɕiɯ213 fɔ4421 xɔ53 liɔ
Xining,7,谁能先叫这个走道儿的脱下他的厚大衣,谁能先叫致个走路的把厚大衣脱啊下来,,fɨ nə̃ ɕiã tɕiɔ tʂʅ kɔ tsɯ lv̩ tsɿ pa xɯ ta j tˈu ɔ̃ xa lɛ,fɨ24 nə̃24 ɕiã44 tɕiɔ213 tʂʅ21321 kɔ213 tsɯ53 lv̩ tsɿ4453 pa213 xɯ213 ta21321 j4453 tˈu44 ɔ̃ xa213 lɛ,XN,fɨ nə̃ ɕiã t͡ɕiɔ tʂɻ̩ kɔ t͡sɯ lv̩ t͡sɹ̩ pa xɯ ta j tʰu ɔ̃ xa lɛ,fɨ24 nə̃24 ɕiã44 t͡ɕiɔ213 tʂɻ̩21321 kɔ213 t͡sɯ53 lv̩ t͡sɹ̩4453 pa213 xɯ213 ta21321 j4453 tʰu44 ɔ̃ xa213 lɛ
Xining,8,就算谁的本事大,就算谁的本事大,,tɕiɯ suã fɨ tsɿ pə̃ sɿ ta,tɕiɯ213 suã213 fɨ2421 tsɿ4453 pə̃53 sɿ ta213,XN,t͡ɕiɯ suã fɨ t͡sɹ̩ pə̃ sɹ̩ ta,t͡ɕiɯ213 suã213 fɨ2421 t͡sɹ̩4453 pə̃53 sɹ̩ ta213
Xining,9,北风就使劲儿地刮起来了,北风就豁上老命着吹脱了,,pɨ fə̃ tɕiɯ xu ʂɔ̃ lɔ miə̃ tʂu tʂˈuɨ tˈu liɔ,pɨ44 fə̃44 tɕiɯ213 xu44 ʂɔ̃ lɔ53 miə̃213 tʂu tʂˈuɨ44 tˈu liɔ,XN,pɨ fə̃ t͡ɕiɯ xu ʂɔ̃ lɔ miə̃ tʂu tʂʰuɨ tʰu liɔ,pɨ44 fə̃44 t͡ɕiɯ213 xu44 ʂɔ̃ lɔ53 miə̃213 tʂu tʂʰuɨ44 tʰu liɔ
Xining,10,不过他越是刮得厉害,谁知道家越吹着厉害,,fɨ tʂʅ tɔ tɕia yu tʂˈuɨ tʂu l̩ xɛ,fɨ2421 tʂʅ44 tɔ tɕia24 yu4421 tʂˈuɨ44 tʂu l̩21321 xɛ21353,XN,fɨ tʂɻ̩ tɔ t͡ɕia yu tʂʰuɨ tʂu l̩ xɛ,fɨ2421 tʂɻ̩44 tɔ t͡ɕia24 yu4421 tʂʰuɨ44 tʂu l̩21321 xɛ21353
Xining,11,那个走道儿的把大衣裹得越紧,奈个走路的把大衣裹着越紧哪,,nɛ kɔ tsɯ lv̩ tsɿ pa ta j ku tʂu yu tɕiə̃ na,nɛ21321 kɔ213 tsɯ53 lv̩ tsɿ4453 pa213 ta21321 j44 ku53 tʂu yu4421 tɕiə̃ na,XN,nɛ kɔ t͡sɯ lv̩ t͡sɹ̩ pa ta j ku tʂu yu t͡ɕiə̃ na,nɛ21321 kɔ213 t͡sɯ53 lv̩ t͡sɹ̩4453 pa213 ta21321 j44 ku53 tʂu yu4421 t͡ɕiə̃ na
Xining,12,后来北风没法儿了,后来北风没办法了,,xɯ lɛ pɨ fə̃ mɔ pã fa liɔ,xɯ21321 lɛ2453 pɨ44 fə̃44 mɔ2421 pã21321 fa4453 liɔ,XN,xɯ lɛ pɨ fə̃ mɔ pã fa liɔ,xɯ21321 lɛ2453 pɨ44 fə̃44 mɔ2421 pã21321 fa4453 liɔ
Xining,13,只好就算了,只好算了,,tsɿ xɔ suã liɔ,tsɿ4421 xɔ53 suã21321 liɔ53,XN,t͡sɹ̩ xɔ suã liɔ,t͡sɹ̩4421 xɔ53 suã21321 liɔ53
Xining,14,过了一会儿,过了一挂挂儿,,ku liɔ j kua kua ɛ,ku21321 liɔ53 j4421 kua213 kua ɛ,XN,ku liɔ j kua kua ɛ,ku21321 liɔ53 j4421 kua213 kua ɛ
Xining,15,太阳出来了,热头儿出来了,,ʐɛ tˈɯ ɛ tʂˈv̩ lɛ liɔ,ʐɛ4421 tˈɯ24 ɛ tʂˈv̩44 lɛ2444 liɔ,XN,ʐɛ tʰɯ ɛ tʂʰv̩ lɛ liɔ,ʐɛ4421 tʰɯ24 ɛ tʂʰv̩44 lɛ2444 liɔ
Xining,16,他火辣辣地一晒,家烧烘斯辣地一晒,,tɕia ʂɔ xuə̃ sɿ la tsɿ j sɛ,tɕia24 ʂɔ44 xuə̃44 sɿ44 la44 tsɿ j4421 sɛ213,XN,t͡ɕia ʂɔ xuə̃ sɹ̩ la t͡sɹ̩ j sɛ,t͡ɕia24 ʂɔ44 xuə̃44 sɹ̩44 la44 t͡sɹ̩ j4421 sɛ213
Xining,17,那个走道儿的马上就把那件厚大衣脱下来了,奈个走路的紧着就把奈个厚大衣脱着下来了,,nɛ kɔ tsɯ lv̩ tsɿ tɕiə̃ tʂɔ tɕiɯ pa nɛ kɔ xɯ ta j tˈu tʂu xa lɛ liɔ,nɛ21321 kɔ213 tsɯ53 lv̩ tsɿ4453 tɕiə̃53 tʂɔ tɕiɯ213 pa21321 nɛ213 kɔ213 xɯ213 ta213 j44 tˈu44 tʂu xa213 lɛ liɔ,XN,nɛ kɔ t͡sɯ lv̩ t͡sɹ̩ t͡ɕiə̃ tʂɔ t͡ɕiɯ pa nɛ kɔ xɯ ta j tʰu tʂu xa lɛ liɔ,nɛ21321 kɔ213 t͡sɯ53 lv̩ t͡sɹ̩4453 t͡ɕiə̃53 tʂɔ t͡ɕiɯ213 pa21321 nɛ213 kɔ213 xɯ213 ta213 j44 tʰu44 tʂu xa213 lɛ liɔ
Xining,18,这下北风只好承认,致一挂北风只好承认,,tʂʅ j kua pi fə̃ tsɿ xɔ tʂˈə̃ ʐə̃,tʂʅ21321 j kua213 pi44 fə̃44 tsɿ4421 xɔ53 tʂˈə̃2421 ʐə̃213,XN,tʂɻ̩ j kua pi fə̃ t͡sɹ̩ xɔ tʂʰə̃ ʐə̃,tʂɻ̩21321 j kua213 pi44 fə̃44 t͡sɹ̩4421 xɔ53 tʂʰə̃2421 ʐə̃213
