dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XN,Xining,1,太阳,热头儿,,ʐɛ tˈɯ ɛ,ʐɛ4421 tˈɯ2421 ɛ2453,ʐɛ tʰɯ ɛ,ʐɛ4421 tʰɯ2421 ɛ2453
XN,Xining,2,月亮,月亮 ,,yu liɔ̃,yu44 liɔ̃53,yu liɔ̃,yu44 liɔ̃53
XN,Xining,3,星星,星星 ,,ɕiə̃ ɕiə̃,ɕiə̃44 ɕiə̃44,ɕiə̃ ɕiə̃,ɕiə̃44 ɕiə̃44
XN,Xining,4,打雷,雷响者 ,,luɨ ɕiɔ̃ tʂɛ,luɨ2421 ɕiɔ̃53 tʂɛ,luɨ ɕiɔ̃ tʂɛ,luɨ2421 ɕiɔ̃53 tʂɛ
XN,Xining,5,闪电,闪电者 ,,ʂã tiã tʂɛ,ʂã53 tiã21321 tʂɛ53,ʂã tiã tʂɛ,ʂã53 tiã21321 tʂɛ53
XN,Xining,6,下雨,下雨 ,,ɕia y,ɕia213 y53,ɕia y,ɕia213 y53
XN,Xining,7,下雪,下雪 ,,ɕia ɕyu,ɕia213 ɕyu44,ɕia ɕyu,ɕia213 ɕyu44
XN,Xining,8,冰雹,雹子 ,,pɔ tsɿ,pɔ44 tsɿ,pɔ t͡sɹ̩,pɔ44 t͡sɹ̩
XN,Xining,9,结冰,冰冻下了,,piə̃ tuə̃ xa liɔ,piə̃44 tuə̃21321 xa21353 liɔ,piə̃ tuə̃ xa liɔ,piə̃44 tuə̃21321 xa21353 liɔ
XN,Xining,10,刮风,刮风 ,,kua fə̃,kua44 fə̃44,kua fə̃,kua44 fə̃44
XN,Xining,11,虹,虹 ,,kɔ̃,kɔ̃213,kɔ̃,kɔ̃213
XN,Xining,12,端午节,端午 ,,tɔ̃ v̩,tɔ̃44 v̩53,tɔ̃ v̩,tɔ̃44 v̩53
XN,Xining,13,中秋节,八月十五 ,,pa yu ʂʅ v̩,pa44 yu44 ʂʅ2421 v̩53,pa yu ʂɻ̩ v̩,pa44 yu44 ʂɻ̩2421 v̩53
XN,Xining,14,除夕,三十晚夕 ,,sã ʂʅ uã ɕj,sã4421 ʂʅ24 uã5321 ɕj,sã ʂɻ̩ uã ɕj,sã4421 ʂɻ̩24 uã5321 ɕj
XN,Xining,15,今年,今年,,tɕiə̃ ȵiã,tɕiə̃44 ȵiã2444,t͡ɕiə̃ ɲiã,t͡ɕiə̃44 ɲiã2444
XN,Xining,16,明年,明年 ,,miə̃ ȵiã,miə̃2421 ȵiã2453,miə̃ ɲiã,miə̃2421 ɲiã2453
XN,Xining,17,去年,年时 ,,ȵiã sɿ,ȵiã2421 sɿ2453,ɲiã sɹ̩,ɲiã2421 sɹ̩2453
XN,Xining,18,明天,明天,,miə̃ tˈiã,miə̃2421 tˈiã4453,miə̃ tʰiã,miə̃2421 tʰiã4453
XN,Xining,19,昨天,夜来 ,,iɛ lɛ,iɛ21321 lɛ2453,iɛ lɛ,iɛ21321 lɛ2453
XN,Xining,20,今天,今儿 ,,tɕiə̃ ɛ,tɕiə̃44 ɛ,t͡ɕiə̃ ɛ,t͡ɕiə̃44 ɛ
XN,Xining,21,星期天,星期日 ,,ɕiə̃ tɕˈj ʐʅ,ɕiə̃44 tɕˈj44 ʐʅ,ɕiə̃ t͡ɕʰj ʐɻ̩,ɕiə̃44 t͡ɕʰj44 ʐɻ̩
XN,Xining,22,麦子,麦子 ,,mɨ tsɿ,mɨ44 tsɿ53,mɨ t͡sɹ̩,mɨ44 t͡sɹ̩53
XN,Xining,23,大米,大米 ,,ta mj,ta21321 mj53,ta mj,ta21321 mj53
XN,Xining,24,蚕豆,大豆 ,,ta tɯ,ta21321 tɯ21353,ta tɯ,ta21321 tɯ21353
XN,Xining,25,向日葵,向日葵,,ɕiɔ̃ ʐʅ kˈuɨ,ɕiɔ̃213 ʐʅ kˈuɨ25,ɕiɔ̃ ʐɻ̩ kʰuɨ,ɕiɔ̃213 ʐɻ̩ kʰuɨ25
XN,Xining,26,菠菜,菠菜 ,,pɔ tsˈɛ,pɔ44 tsˈɛ21353,pɔ t͡sʰɛ,pɔ44 t͡sʰɛ21353
XN,Xining,27,卷心菜,卷心白菜 ,,tɕyã ɕiə pɨ tsˈɛ,tɕyã53 ɕiə44 pɨ2421 tsˈɛ21353,t͡ɕyã ɕiə pɨ t͡sʰɛ,t͡ɕyã53 ɕiə44 pɨ2421 t͡sʰɛ21353
XN,Xining,28,西红柿,洋柿子 ,,iɔ̃ sɿ tsɿ,iɔ̃24 sɿ21321 tsɿ53,iɔ̃ sɹ̩ t͡sɹ̩,iɔ̃24 sɹ̩21321 t͡sɹ̩53
XN,Xining,29,茄子,茄子 ,,tɕˈi tsɿ,tɕˈi2421 tsɿ53,t͡ɕʰi t͡sɹ̩,t͡ɕʰi2421 t͡sɹ̩53
XN,Xining,30,白薯,红薯 ,,xuə̃ fv̩,xuə̃2421 fv̩53,xuə̃ fv̩,xuə̃2421 fv̩53
XN,Xining,31,马铃薯,洋芋,,iɔ̃ y,iɔ̃2421 y213,iɔ̃ y,iɔ̃2421 y213
XN,Xining,32,南瓜,南瓜 ,,nã kua,nã2421 kua4453,nã kua,nã2421 kua4453
XN,Xining,33,猪,猪,,tʂv̩,tʂv̩44,tʂv̩,tʂv̩44
XN,Xining,34,公猪,牙猪 ,,ia tʂv̩,ia2421 tʂv̩44,ia tʂv̩,ia2421 tʂv̩44
XN,Xining,35,母猪,母猪 ,,mv̩ tʂv̩,mv̩53 tʂv̩,mv̩ tʂv̩,mv̩53 tʂv̩
XN,Xining,36,公鸡,公鸡,,kuə̃ tɕj,kuə̃44 tɕj44,kuə̃ t͡ɕj,kuə̃44 t͡ɕj44
XN,Xining,37,母鸡,母鸡,,mv̩ tɕj,mv̩53 tɕj,mv̩ t͡ɕj,mv̩53 t͡ɕj
XN,Xining,38,麻雀,雀儿 ,,tɕˈiɔ ɛ,tɕˈiɔ53 ɛ,t͡ɕʰiɔ ɛ,t͡ɕʰiɔ53 ɛ
XN,Xining,39,老鼠,老鼠 ,,lɔ fv̩,lɔ5321 fv̩53,lɔ fv̩,lɔ5321 fv̩53
XN,Xining,40,臭虫,臭虱 ,,tʂˈɯ sɨ,tʂˈɯ21321 sɨ4453,tʂʰɯ sɨ,tʂʰɯ21321 sɨ4453
XN,Xining,41,房子(整),房子 ,,fɔ̃ tsɿ,fɔ̃2421 tsɿ53,fɔ̃ t͡sɹ̩,fɔ̃2421 t͡sɹ̩53
XN,Xining,42,房子(单),套间 ,,tˈɔ tɕiã,tˈɔ21321 tɕiã4453,tʰɔ t͡ɕiã,tʰɔ21321 t͡ɕiã4453
XN,Xining,43,窗户,窗子 ,,tʂˈuɔ̃ tsɿ,tʂˈuɔ̃44 tsɿ53,tʂʰuɔ̃ t͡sɹ̩,tʂʰuɔ̃44 t͡sɹ̩53
XN,Xining,44,门坎,门坎,,mə̃ kˈã,mə̃2421 kˈã4453,mə̃ kʰã,mə̃2421 kʰã4453
XN,Xining,45,厕所,茅厕 ,,mɔ sɿ,mɔ2421 sɿ53,mɔ sɹ̩,mɔ2421 sɹ̩53
XN,Xining,46,厨房,厨房 ,,tʂˈv̩ fɔ̃,tʂˈv̩2421 fɔ̃2453,tʂʰv̩ fɔ̃,tʂʰv̩2421 fɔ̃2453
XN,Xining,47,烟囱,烟洞 ,,iã tuə̃,iã44 tuə̃21353,iã tuə̃,iã44 tuə̃21353
XN,Xining,48,桌子,桌子 ,,tʂu tsɿ,tʂu44 tsɿ53,tʂu t͡sɹ̩,tʂu44 t͡sɹ̩53
XN,Xining,49,楼梯,楼梯 ,,lv̩tsˈɿ,lv̩2421tsˈɿ4453,lv̩t͡sʰɹ̩,lv̩2421t͡sʰɹ̩4453
XN,Xining,50,头,头 ,,tˈɯ,tˈɯ24,tʰɯ,tʰɯ24
XN,Xining,51,额头,额目头 ,,nə̃ mv̩ tˈɯ,nə̃44 mv̩44 tˈɯ24,nə̃ mv̩ tʰɯ,nə̃44 mv̩44 tʰɯ24
XN,Xining,52,脸,脸 ,,liã,liã53,liã,liã53
XN,Xining,53,鼻子,鼻子 ,,pj tsɿ,pj2421 tsɿ53,pj t͡sɹ̩,pj2421 t͡sɹ̩53
XN,Xining,54,脖子,脖板 ,,pɔ pã,pɔ2421 pã53,pɔ pã,pɔ2421 pã53
