beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tʰai iɑŋ,t‘ai iaŋ,tʰai iaŋ,tʰɤ ɦiɑŋ,tʰai iaŋ,tʰɤ iɑ̃,tʰæ iÃ,ʐɻ̩ tʰou,ŋit tʰeu,tʰai iɔŋ,ʐʌʔ təu iɤ,tʰa ɦiã,zik tʰau,tʰai iɔŋ,tai iɒ̃,tʰai iɑŋ,tʰa ji,tʰai iaŋ,tʰai iɑŋ,ər tʰou,jɐt tʰɐu,tʰai ian,ʐɛ tʰɯ ɛ
yɛ liɑŋ,ye niaŋ,iɛ liaŋ,ɦyəʔ liɑŋ,yɛ liaŋ,yɐʔ liɑ̃,iɛ liÃ,yə liɑ̃,ŋiat kuoŋ,ɲyɵʔ kuɔŋ,yʌʔ mi iɤ,ɦyɪʔ liã,gueʔ,geʔ liũ,yəʔ liɒ̃,ye liɑŋ,ɲy kuɔ,ye niaŋ,yɤ liɑŋ,yɛ liaŋ,jyt lœŋ,yæ nian,yu liɔ̃
ɕiŋ ɕiŋ,ɕin ɕiər,ɕin ɕiəu,ɕin,ɕiŋ ɕiŋ,ɕin,ɕĩ ɕiəu,ɕĩn ɕiou,sen ne,siɑŋ t͡sɹ̩,sei ɕiəu,ɕiŋ,t͡sʰẽ,tʰĩ t͡sʰĩ,ɕi ɕiəu,ɕiŋ ɕiŋ,seŋ,ɕin,ɕiŋ ɕiɤu,ɕiŋ ɕiŋ,siŋ,sian t͡sɹ̩,ɕiə̃ ɕiə̃
ta lei,ta nuei,ta luei,tɑ lei,ta lei,ta le,ʂə̃ luei,ta luei,hioŋ lui kuŋ,tɑ lui,ɕiɑŋ luæ,le ɕiã,hiaŋ lui,tan lui,xiɒ̃ xuəʔ luei,tɑ lei,tiɛ lai,ta nei,ta luei,ɕiaŋ luei,haŋ løy,tɒ nəi,luɨ ɕiɔ̃ tʂɛ
ʂan tian,xo san,xo san,huoʔ sɥõ,ta ʂan,ta ʂən,tʂʰə ʂÃ,ta ʂɛ̃n,ŋiap fo sa,tɑ fɔʔ sɛn,tɑ ʂɑŋ,hoʔ ɕi,a koŋ nĩʔ mak,siam tian,ta sæ̃,tɑ san,ɕa di,t͡sʰɤ xuo,ʂan tian,ʂã tiã,sim tin,tʂʰɒ ɸɒ ɕyẽ,ʂã tiã tʂɛ
ɕia y,no y,ɕia i,loʔ ʔɥ,ɕia y,ɕia zɥ,ɕiA i,ɕia y,lok i,lɔʔ y,xɑ y,loʔ ɦy,loʔ hou,lɔʔ hɔ,xa y,ɕiɑ y,lo vu,ɕia y,xa y,ɕia y,lɔk jy,no y,ɕia y
ɕia ɕyɛ,no ɕye,ɕia ɕiɛ,loʔ çiəʔ,ɕia ɕyɛ,ɕia ɕyɐʔ,ɕiA ɕiɛ,ɕia ɕyə,lok siet,lɔʔ ɕyɵʔ,xɑ ɕyʌʔ,loʔ ɕiɪʔ,loʔ soʔ,lɔʔ seʔ,xa ɕyəʔ,ɕiɑ ɕye,lo ɕy,ɕia ɕie,xa ɕyɤ,ɕia ɕyɛ,lɔk syt,no sie,ɕia ɕyu
pɑu t͡sɹ̩,pin pau t͡sɹ̩,pin pao,pin bɔ,pau t͡sɹ̩,iɪ̃ tɯ t͡sə,pĩ pɔ,tɛ̃n tɛ̃n t͡sɹ̩,pʰok,pʰɔʔ t͡sɹ̩,ləŋ tɑŋ t͡sʌʔ,piŋ bɔ,pʰak,piŋ pʰauʔ,ləŋ tæ̃ t͡səʔ,pɑu t͡sə,liɛ bu,pin pau,piŋ pɔ,ləŋ t͡sɹ̩,pɔk,sie t͡sɹ̩ t͡sɹ̩,pɔ t͡sɹ̩
t͡ɕiɛ piŋ,t͡ɕie pin,t͡ɕiɛ pin,t͡ɕiəʔ pin,tuŋ piŋ,t͡ɕiɐʔ pin,t͡ɕiɛ pĩ,tũn pɪ̃n,kiat pen,t͡ɕiɛʔ pin,tuŋ xɑ tuŋ li lɑ,t͡ɕiɪʔ piŋ,kak piã,kiet piŋ,tuəŋ piəŋ,ʂɑŋ tuŋ,t͡ɕi peŋ,t͡ɕie pin,t͡ɕiɤ piŋ,tuŋ piŋ,kit piŋ,t͡ɕie kəɯ,piə̃ tuə̃ xa liɔ
kua fəŋ,kua foŋ,t͡sʰuei foŋ,t͡ɕʰi foŋ,kua fəŋ,t͡sʰɹ̩ fəŋ,kuA foŋ,kua fə̃n,hi fuŋ,t͡ɕʰi fuŋ,kuʌʔ xuŋ,t͡ɕʰi foŋ,tʰau huaŋ,ki hɔŋ,kuaʔ fəŋ,kuɑ fəŋ,tiɛ hoŋ,kua foŋ,kua fɤŋ,kua fəŋ,fan fuŋ,t͡ɕʰi ɸən,kua fə̃
xuŋ,xoŋ,kaŋ,hei,kaŋ,t͡ɕiɑ,kÃ,kɑ̃,tʰien kiuŋ,kɔŋ,t͡ɕyə,hɤ,kʰeŋ,hɔŋ,t͡ɕiɒ̃,t͡ɕiɑŋ,hau,kaŋ,kɑŋ,t͡ɕiaŋ,t͡sʰɔi huŋ,kɔn,kɔ̃
u yɛ t͡ɕiɛ,tuan iaŋ,tuan u,tuõ ʔu,u yɛ t͡ɕiɛ,tʊ̃ u t͡ɕiɐʔ,u iɛ tuÃ u,tuɛ̃n iɑ̃,n̩ ŋiat t͡siet,tɵn u,u yʊʔ tuɑŋ u,tø ɦŋ̩,ŋõu gueʔ t͡soiʔ,gɔ lit t͡sieʔ,vu yəʔ tuæ̃ vu,u ye t͡ɕie,dʑyɔ ŋ̩,tan u,tuan vu,u yɛ t͡ɕiɛ,tyn ŋ,tɔn u i,tɔ̃ v̩
pa yɛ t͡ɕiɛ,t͡soŋ t͡ɕʰieu t͡ɕie,pa iɛ sɹ̩ u,pɑʔ ɦyəʔ puõ,pa yɛ t͡ɕiɛ,tʂəŋ t͡ɕʰiɯ t͡ɕiɐʔ,tʂoŋ t͡ɕʰiəu t͡ɕiɛ,pa yə ʂɻ̩ vu,t͡suŋ t͡sʰiu t͡siet,t͡suŋ t͡ɕʰiu,pʌʔ yʌʔ ʂʌʔ u,t͡soŋ t͡ɕʰiɤ,toŋ t͡sʰiu,tiɔŋ t͡sʰiu t͡sieʔ,paʔ yəʔ səʔ vu,pɑ ye t͡ɕie,po ɲy zai ŋ,t͡soŋ t͡ɕʰiəu,tʂuŋ t͡ɕʰiɤu,pa yɛ t͡ɕiɛ,t͡suŋ t͡sʰɐu,tʂən t͡sʰiəɯ i,pa yu ʂɻ̩ v̩
san ʂər,san sɹ̩ uan saŋ,san sɹ̩ iɛ,ɲiɤ̃ sɤ̃ zəʔ vɤ̃ zɑŋ,san ʂər uan ʂaŋ,liɪ̃ sæ̃ ʂəʔ,sÃ ʂɻ̩ uÃ ʂə̃,sɛ̃n ʂɻ̩ vɛ̃n ɕi,ŋian sam səp ŋit,san sɨʔ iɑ uan,ɲiɤ t͡sɥ xɑ,du ɲi ɦia,ziʔ kau mẽ,li kau am,nie sæ̃ səʔ,san ʃər van ʂɑŋ,sa zai ɲai ɦa ɕy,t͡ɕʰy ɕi,ɲian san ʂɻ̩,sã ʂər xei liɛ,ɲin sa man,dai ɲiẽ san ʂɻ̩,sã ʂɻ̩ uã ɕj
t͡ɕin nian,t͡ɕin ɲian,t͡ɕin lian,ken ɲiɤ̃,t͡ɕin nian,t͡ɕin liɪ̃,t͡ɕĩ niɛ̃,t͡ɕĩn ɲiɛ̃n,kin ŋian,t͡ɕin ɲiɛn,t͡ɕiŋ ɲiɤ,t͡ɕiŋ ɲi,kim nĩ,kin lĩ,t͡ɕiəŋ nie,t͡ɕin nian,ke ɲi,t͡ɕin niɛn,t͡ɕiŋ ɲian,t͡ɕiẽ niã,kɐm ɲin,t͡ɕin ɲiẽ t͡sɹ̩,t͡ɕiə̃ ɲiã
miŋ nian,min ɲian,min lian,men ɲiɤ̃,lai nian,min liɪ̃,mĩ ə niɛ̃,mĩn ɲiɛ̃n,kuo e ŋian,miɑŋ ɲiɛn,læ ɲiɤ,kʰe ɲi,mẽ nĩ,buã lĩ,miəŋ nie,lai nian,maŋ ɲi,min niɛn,miŋ ɲian,miŋ niã,t͡sʰøt ɲin,min ɲiẽ t͡sɹ̩,miə̃ ɲiã
t͡ɕʰy nian,t͡ɕʰy ɲian,t͡ɕʰi lian,dʑiø ɲiɤ̃ t͡sɹ̩,t͡ɕʰy nian,t͡sʰɥ liɪ̃,t͡ɕʰi niɛ̃,ɲiɛ̃n ʂɻ̩,kʰiu ŋian ne,t͡ɕʰiu ɲiɛn,ɲiɤ sɹ̩,dʑiɤ ɲi,ku nĩ,ku lĩ,nie sɹ̩,t͡ɕʰy nian,dʑau ɲi,t͡ɕʰy niɛn,ɲian sɹ̩ kɤ,niã sɹ̩ kɤ,kɐu ɲin,t͡ɕʰy ɲiẽ t͡sɹ̩,ɲiã sɹ̩
miə̃r,min tʰian,min tʰian,men t͡sɔ,miŋ tʰian,ma kə,mĩ ə ʐɻ̩,mĩn kə,sən t͡sau ŋit,miɑŋ ɲiʔ,ti mi,miŋ t͡sɔ,mã zik,bĩ a t͡sai,t͡sau t͡ɕʰi,mier kə,maŋ t͡ɕiɛ,min tʰiɛn,miŋ tʰian,miər,tʰiŋ jɐt,mai i t͡sɹ̩,miə̃ tʰiã
t͡suor,t͡so tʰian,t͡so tʰian,zɑŋ ŋɑʔ t͡sɹ̩,t͡suo tʰian,t͡sʊ kə,t͡so ʐɻ̩,t͡suə kə,t͡sʰiu pu ŋit,t͡sʰɔʔ ɲiʔ,iɤ læ,zoʔ ɲiɪʔ,t͡sa zik,t͡sa hŋ,ie tʰie,t͡suor kə,zo ji,t͡suo ɯ,t͡suɤ tʰian,iɛ kɤ,kʰɐm jɐt,dzo i t͡sɹ̩,iɛ lɛ
t͡ɕiər,t͡ɕin tʰian,t͡ɕin tʰian,ken t͡sɔ,t͡ɕin tʰian,t͡ɕiɤ kə,t͡ɕĩ ə ʐɻ̩,t͡ɕĩn kə,kim ŋit,t͡ɕin ɲiʔ,t͡ɕiŋ ʐʌʔ,t͡ɕiŋ t͡sɔ,kim zik,kin lã lit,t͡ɕiəŋ zəɹ̩,t͡ɕiər kə,ke ne,t͡ɕin ɯ,t͡ɕiŋ tʰian,t͡ɕiər,kɐm jɐt,t͡ɕin i t͡sɹ̩,t͡ɕiə̃ ɛ
li pai tʰian,ɕin t͡ɕʰi tʰian,ɕin t͡ɕʰi tʰian,li pɤ tʰiɤ̃,li pai tʰian,ɕin t͡sʰɹ̩ tʰiɪ̃,ɕĩ t͡ɕʰi,ɕĩn t͡ɕʰi,sen kʰi ŋit,li pai,li pæ ʐʌʔ,li pa tʰi,t͡sʰẽ kʰi zik,le pai lit,li pai,li pai,lei pa ne,ɕin t͡ɕʰi tʰiɛn,ɕiŋ t͡ɕʰi tʰian,ɕiŋ t͡ɕʰi,siŋ kʰei jɐt,sin dʑi i,ɕiə̃ t͡ɕʰj ʐɻ̩
mai t͡sɹ̩,me t͡sɹ̩,mɛ t͡sɹ̩,mɑʔ t͡sɹ̩,mai t͡sɹ̩,mɐʔ t͡sə,mə t͡sɹ̩,mə t͡sɹ̩,mak e,mɑʔ t͡sɹ̩,miʌʔ t͡sʌʔ,maʔ t͡sɹ̩,beʔ,beʔ a,mieʔ t͡səʔ,mai t͡sɹ̩,ma,mɤ t͡sɹ̩,mei t͡sɹ̩,mei,mɐk,mai t͡sɹ̩,mɨ t͡sɹ̩
ta mi,mi,ta mi,mɤ̃ mi,ta mi,mɹ̩,mi,ta mi,mi,mi,tɑ mi,du mi,tiu,bi,tʰau t͡səʔ,tɑ mi,mei,mi,ta mi,ta mi,wɔ,dai mi,ta mj
