beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
ʂei a uo ʂʅ lau san,na ko ŋo sɿ nau san,la ko ŋo sɿ lao san,nɑ koʔ ŋo zɿ lɔ sẼ,ʂei ia uo ʂʅ ɕiau sar,xa kə ʊ ʂʅ lɔ sæ̃,nA kə o ʂʅ lɔ sÃ,fei ʂa və ʂʅ lɔ sɛ̃n,man ŋin na ŋai he a sam,lɑ ko o ŋo sɿ lɑu san lo,suei liʌʔ ŋiE sɿ lɔ sɑŋ,sa ȵiŋ ŋu zɿ aʔ se,ti tiaŋ ua kai a alu sã,siã bĩʔ laŋ gua si lau sã,suei lɤ ɣɤ sɿ lau sæ̃,sei iɑ uo sɿ lɑu san,a ȵi naŋ a ŋ̩ zɿ lɜ sa,na kuo ŋuo sɿ nau san,sei i kɤ vɤ sɿ lɔ san i kɤ,sei ŋɤ sɿ lau sã,pin kɔ a ŋɔ hɐi a sam,nɒ ko ŋo ʂʅ naɯ san,fɨ a nɔ sɿ lɔ sã na
lau sɿ nə tˈa tʂəŋ kən i pˈəŋ iou ʂuo tʂə xuar nə,nau sɿ nan tˈa tsən tsai kən i ko pˈoŋ iəu so xua ni,lao sɿ lɛ la tsen tsai xo i ko pˈoŋ iəu so tɕˈi xua lɛ lɛ,lɔ sɿ nə tˈɑ dʑi tɕˈiɔ doŋ ʔiəʔ koʔ boŋ ʔiø lɑʔ hɑ sɥəʔ ɦuɑ ʔɥ,lau sɿ nə tˈa tʂəŋ kən i kɤ pˈəŋ iou lau kˈɤr nə,lɔ sʅ tsE la kə tsə tˈa kən iəʔ kə pˈən iɯ tɕiɑ̃ tʂʅ xua tsE,lɔ sɿ næ tˈə tsæ æ i kə poŋ iəu tɕiÃ tʂə xuA,lɔ ʂʅ lɛ tˈa tʂə̃n liɛ̃n i kə pə̃n iou fə xua tʂə li,a si a ki tsaŋ tˈuŋ it tsak pˈen iu hok ke e liau,lɑu sɿ li tɕie tsɨn tsˈai kiɛn iʔ kɔ pˈuŋ iu tˈan tˈo,lɔ sɿ liʌʔ uʌʔ tɕiɑ tʂʅ xu xuæ pˈəŋ iəu tɔ ɕiʌʔ liʌʔ,sɿ ne i tsəŋ laʔ he taʔ iɪʔ ɦəʔ bɑ̃ ɦiɤ kɑ̃ ɦe ɦo,a lau si nẽ i tsiã kaʔ kai pˈeŋ iu lo tã ue,lau si e le i tŋ̩ te kaʔ tsit le piŋ iu kɔŋ ue,lau sɿ lɤ tˈa tsəŋ kəŋ iəʔ kɤ pˈəŋ iəu tau ɕiəʔ lɤ,lɑu sɿ nə tˈɑ tʂəŋ kən i kə pˈəŋ iou ʂuo tʂə xuɑ nə,lɜ sɿ nei gi tseŋ zɿ ta tˈuɔ ji kai boŋ jau kuɔ ɕy ɦo,nau sɿ nie tˈa tai kən i kuo pˈoŋ iəu suo xua,lɔ sɿ na ȵia tʂɤŋ lian i kɤ pˈɤŋ iɤu ɕyan xuɑŋ ti ȵi,lau sɿ ni uo tʂəŋ kẽ tˈa i kɤ xuo tɕˈi pˈiã ni,a sei nɛ kˈøy hɐi tou tˈuŋ kɔ pˈɐŋ jɐu kˈiŋ kɐn kɐi lɛ,naɯ sʅ nie tɒ tʂən dzai ɦo i tʂo pˈən iəɯ tɒ tˈai bian kɔn,lɔ sɿ lɛ tɕia tʂə̃ j kɔ pˈə̃ iɯ lia ɕyã tʂɛ
tˈa xai mei ʂuo uan ma,tˈa xai mei iəu so uan a,la xai mei tɛ so uan a,tˈɑ ɦɑ mi ʔi sɥəʔ hɔ ʔɑ,tˈa xai mei lau uan na,tˈa kˈə ʂʅ xE me tɕiɑ̃ ʊ̃,tˈə xæ məu ʂo uÃ kæ,tˈa xɛ̃n m̩ iou fə pa ma,ki m̩ tˈien koŋ pˈei he m̩ me,tɕie haʔ mɑu tˈan uɵn nɑ,uʌʔ tɕiɑ xɑŋ mʌʔ lɑ suʌʔ uɑŋ liʌʔ,ɦi ɦɛ ɦm̩ məʔ kɑ̃ hɔ ɦa,i huã tã bue liau a,i ia bueʔ kɔŋ suaʔ hio,tˈa xai məʔ tau ɕiəʔ væ̃ lɤ,tˈɑ xai mei ʂuo van mɑ,gi va mei kuɔ jy a,tˈa xai mau suo uan,tˈa xan mɤ pˈian van ma,tˈa tei sɿ xai mo ʂɤ uã,kˈøy tsuŋ mei kɔŋ jyn mɛ,tɒ ɦai maɯ kɔn yẽ po,tɕia xɛ mɔ fɔ uã mɔ
xai mei nə ku mə tʂə tsai xuər tɕiou ʂuo uan lə,xai mei iəu ta yo xai iəu i xər tɕiəu so uanno,xai mei tɛ to pan xai iəu i xa xa təu so uan ləu,ɦɑ mi lE dɑ kE tsE ku ʔiəʔ ɕiəʔ əl dʑiø sɥəʔ ɦuõ tə,xai mei iou ta kai tsai tai i xuər tɕiou lau uan lə,xE me ta yeʔ mɐʔ tsE iɯ iəʔ ʂɐʔ tɕiɯ tʂəŋ lə,xæ məu tA kˈæ tsæ tɕiÃ i ɕiɔ xA tɕiəu uÃ lə,xɛ̃n m̩ iou xa pa xɛ̃n tə i xuei ɯ tɕiou fə vɛ̃n lɔ,han maŋ tˈien ten it ha tˈiam ki tsˈu voi koŋ pˈet le,haʔ mɑu tsˈɑ pɨʔ to tsai iu tɛʔ iʔ hɑ tsɿ tɕiu tˈan uɵn liɛu,mɑ liʌʔ xɑŋ tiʌʔ tʂəŋ tʂəŋ,ɦɛ ɦm̩ məʔ da ke tse kɑ̃ iɪʔ ɕiɪʔ ʑiɤ kɑ̃ hɔ ləʔ,huã bue tsˈa m to keʔ ke kˈuŋ kiã tsiu tã tik,ia bue tai iɔʔ tsit tiam a tioʔ kɔŋ suaʔ,xai məʔ la ta kai tsai iəu iəʔ tsəŋ tsəŋ tɕiəu tau ɕiəʔ væ̃ lie,xai mei iou tɑ kai tsai tai xuər tɕiou ʂuo van lə,va mei da ke tse ku ji o ŋ̩ jɤu kuɔ hɜ ba,xai mau ta kˈai xai iəu i xar tɕiəu suo uan niau,mɤ iɤu ȵi xa pa tsai tɤŋ i tʂɤ̃r tɕiɤu fɤ van liɤ,xai mo iou ta mər xai tei i xuər,tsuŋ mei tai kˈɔi tsɔi kɔ jɐt tsɐn tsɐu kɔŋ jyn lak,ɦai maɯ dai kˈai tsai kɔn i tsən tsɿ dʑiəɯ kɔn yẽ tɒ,xɛ mɔ ta kˈuɔ̃ mv̩ ɛ tsɛ j kua kua ɛ xɔ tɕiɯ fɔ uã liɔ
tˈa ʂuo li mar tɕiou tsou tsəm səm pan tˈian lə xai tsai tɕia li,tˈa tɕiaŋ ma saŋ tɕiəu tsəu tsa ko tse mən tɕiəu no xai tsai u tˈəu ne,la so lɛ li ma təu tsəu tsa ko tsɿ iaŋ ta pan tˈian ao xai tsai u tˈəu lɛ,tˈɑ sɥəʔ tɑŋ mɑŋ dʑiø tsø tɕiəʔ kəʔ kəʔ zɿ kuɑŋ ɦɑ lɑʔ hɑ ʔoʔ li,tˈa ʂuo ma ʂaŋ tɕiou tsou tsa tʂɤ lau pan tˈian lə xai tsai tɕia nə,tˈa tɕiɑ̃ ma ʂɑ̃ tɕiɯ tsɯ tɕiɑ̃ kɔ ti pʊ̃ tˈiɪ̃ xE tɕia zɿ tˈɯ,tˈə ʂo mA ʂÃ tsəu tsA kə tʂʅ pÃ tˈiɛ̃ lə xæ tsæ tɕiA ʂəu,tˈa fə ma ʂɑ̃ tɕiou tsou li tʂʅ mə̃n pɛ̃ tˈiɛ̃n lɔ tsə̃n mə xɛ̃n tsɛ vu li li ʂa,ki va lik lak tsˈiu tseu ŋioŋ an kiu ve han tsˈoi vuk kˈa,tɕie uɑ mɑ sɔŋ tɕˈiu tsɛu lɔŋ lo pɵn ȵiʔ liɛu haʔ tsˈai uɨʔ li mɑ,uʌʔ tɕiɑ suʌʔ tsˈəu tsɥ tɕiəu tsəu tsɑ ti tsʌʔ iŋ tsɑŋ xuɑŋ xɑŋ tsæ tɕyE ʂʅE liʌʔ,ɦi kɑ̃ mo zɑ̃ ʑiɤ tsɤ na nəŋ ka ɕy du zəŋ kuɑ̃ ɦɛ laʔ laʔ o li ɕiã,i tã tsiak si tsiu kiã tso nĩ kau kua huã to lai,i kɔŋ sui beʔ kiã nã e kui puã kaŋ a ia ti tsˈu lai,tˈa suəʔ liəʔ ma tɕiəu tsaʔ ti tsəʔ pæ̃ tˈie lie xai tsai tɕia lɤ,tˈɑ suo mɑ sɑŋ tɕiou tsou nən mə nən mə pan tˈian lə xai tai tɕiɑ li,gi kuɔ jɤu tsau dɜ ke tsɿ na pø ne ba va zɿ vu lei a,tˈa suo tɕiəu ti mo iaŋ tsɤ pan tˈiɛn xai mau tsəu,tˈa fɤ a tsɿr tɕiɤu tsɤu ȵi mu tsa pan ʂʅ tˈian liɤ xan tsai tɑŋ tsɿ li tˈɤu ȵi,tˈa ʂɤ ma ʂaŋ tsou tsou tsa tau tʂər xai tsai u ni,kˈøy wa tsik hak tsɐu tsɐu tim kai kɐm nɔi tsuŋ hɐi uk kˈei tou,tɒ kɔn səi tɕi dʑiəɯ tsəɯ i ti kai ko mo pɔn tˈiẽ tɒ ɦai dzai u ni,tɕia fɔ tɕiɯ tsɯ lia a mə̃ tʂʅ mə̃ pã tˈiã liɔ tʂɔ xɛ tɛ tɕia l̩ lia
ni ʂɑŋ nar tɕˈy uo tɕin tʂˈəŋ tɕˈi,ȵi tsəu nər tɕˈie ŋo tau tsˈən xəu tˈəu tɕˈie,li tsəu la tai kˈi ei ŋo tsəu tsˈen tˈəu kˈi,ni tɔ nɑ li tɕˈi ŋo tɔ dzen li tɕˈi,ni ʂaŋ nar tɕˈy uo ʂaŋ kai li,li tɔ la kˈiE tsˈɥ ʊ tɔ tɕiE ʂɑ̃ tsˈɥ,ni kˈə nA tiə o kˈə tʂˈə̃ ʂəu kˈə,ȵi la li tɕˈi li və tɕĩn tʂˈə̃n tɕˈi li,n̩ hi nai ie ŋai hi tsˈut ke,n̩ tɑu lɑ li tɕˈie ɑ ŋo tɕin sɑŋ tɕˈie,n̩ tɔ lɑ ʐʌʔ tiʌʔ læ ŋiE tɔ tʂˈəŋ xʌʔ lei tiʌʔ læ,noŋ tɔ sa di fɑ̃ tɕˈi ŋo tɔ zɑ̃ he tɕˈi,lɯ ãi kˈɯ ti ko ua ãi lai kˈɯ siã lai,li kˈi to ui gua kˈi siã lai,ni tɕˈy na kəʔ ia ɣɤ tɕˈy tsˈəŋ li kəʔ ia,ni ʂɑŋ nɑ xər tɕˈy uo ʂaŋ tʂˈəŋ li tɕˈy,ȵi tsau ȵau duɔ kˈei a ŋ̩ tsau zeŋ tei kˈei,ni tau na ni kˈɯ ŋuo tau tsˈən ni kˈɯ,ȵi tɔ na ta tɕˈi ȵi vɤ tɔ tʂˈɤŋ xɑŋ tɕˈi ȵi,ni tau a ta tɕˈi ia ŋɤ tɕiẽ tʂˈəŋ ia,nei høy pin ŋɔ jɐp sɛŋ,ȵi taɯ nɒ tɔn tɕˈie ŋo taɯ dʐən ni tɕˈie,ȵi a tʂa tɕˈj lia nɔ tʂˈə̃ l̩ tɕˈj kɔ lia
tsai nar pu tsai tʂər,tsai nər pu tsai tsər,tsai a tiɛ pu tsai tsɿ tiɛ,lɑʔ hɑ nɑ dei pəʔ lɑʔ hɑ kəʔ li,tsai nei kar pu tsai tʂei kar,tsE la ɔ tsə pəʔ tsE ti ɔ tsə,tsæ nə tiə pu tsæ tʂʅ tiə,tsɛ lɛ ta li m̩ iou tsɜ tʂʅ ta,hoi ke ie m̩ me e ie,tsˈai he li pɨʔ tsˈai ko li,tsæ uæ ʐʌʔ pʌʔ tsæ tsæ ʐʌʔ,laʔ ɛ mi vəʔ laʔ gəʔ taʔ,to hɯ ko bo to tsi ko,ti hia bo ti tsia,tsai var tɕia pəʔ tsai tsar tɕia,tai nɑ xər pu tai tɕie xər,zɿ hau duɔ fu zɿ kau duɔ,tai na ni pu tai tsɤ ni,tsai nei ta ȵi pu tsai tsa tsa,tsai uor pu tsai tʂɤr,hɐi kɔ tou m hɐi nei tou,dzai nɒ tɔn maɯ dzai ko tɔn,tɛ nɛ tʂa lia mɔ tɛ tʂʅ tʂa tʂɔ
pu nam tʂə tei tʂəm tʂə,pu sɿ na iaŋ tsɿ tsu iau tse iaŋ tsɿ tsu,pu sɿ a iaŋ tsəu sɿ iao ɕiaŋ tsɿ iaŋ tsəu lɛ,pəʔ zɿ zəʔ kɑ tˈoɸ tso ʔiɔ kɑ tso,pu ʂʅ na mɤ tsuo tei tʂɤ mɤ tsuo,pəʔ ʂʅ la iɑ̃ kɔ iɔ ti iɑ̃ kɔ,pu fÃ nə tʂoŋ tʂə̃ iɔ fÃ tʂʅ tʂoŋ tʂə̃,pu ʂʅ lɛ mə̃n ti kə tsu fa tʂʅ mə̃n tsu tʂə li,m̩ me ke an ne tso oi e ŋioŋ ŋe tso,pɨʔ sɿ hɛn tsu ko iɛu kɔŋ tsu,pʌʔ sɿ uʌʔ ti xuæ tsuʌʔ iɔ tsʌʔ ti xuæ tsuʌʔ,vəʔ iɔ ɛ nəŋ tsu zɿ iɔ gəʔ nəŋ ka tsu,m mĩ hĩ hẽ tso tioʔ tsĩ sẽ tso,m̩ si a nẽ tso si tioʔ a nĩ tso,pəʔ sɿ vai təʔ tsuəʔ sɿ tsai təʔ tsuəʔ,pu sɿ nɑ mə tsuo sɿ tsən mə tsuo,fu zɿ he naŋ tɕyɔ dʑa ke naŋ tɕyɔ,pu sɿ na iaŋ pan sɿ tsɤ iaŋ pan,pu sɿ nei mu tɕia tsu tei tsɿ mu tɕia tsu,pu sɿ u iaŋr tsou sɿ tʂʅ iaŋr tsou,m hɐi kɐm tsou hɐi jiu kɐm tsou kɛ,pu ʂʅ iaɯ nɒ ian tsəɯ ʂʅ iaɯ ko ian tsəɯ,nɛ mə̃ tɕia tɕy xɔ mɔ tuɨ tʂɔ iɔ tʂʅ mə̃ tɕia tɕy lia
tˈei tuo lə yŋ pu tʂau nam tuo tʂʅ iau tʂəm tuo tɕiou kou lə,tˈai to no yoŋ pu tau na mən to tsɿ iau tse mən to tɕiəu kəu no,tˈai to la iao pu tao a iaŋ to tsɿ iao tsɿ iaŋ to təu kəu la,tˈəʔ kɑ to tə ɦioŋ pəʔ dzɑʔ kɑ sɥ to tsəʔ ɦiɔ zəʔ kɑ to dʑiø kø tə,tˈai tuo lə yŋ pu tʂau na lau tuo tʂʅ iau tʂɤ ɕiɛ tɕiou kou lə,tˈE tʊ tʂə iŋ pəʔ tʂuɐʔ la iɑ̃ tʊ tʂəʔ iɔ ti iəʔ xɔ tɕiɯ kɯ tʂə,tˈæ to lə  pu ɕiɔ nə to tʂʅ iɔ tʂʅ ɕiɛ tɕiəu kəu lə,tˈɛ tuə lɔ ỹn pu ʂɑ̃ lɛ mə̃n ɕiə tsɿ tsʅ mə̃n ɕiə tɕiou kou lɔ,tˈiet to e m̩ sɿ an to oi an to e tsˈiu keu ve,tˈai to sɔŋ liɛu pɨʔ iɛu he to tsɨʔ iɛu ko to tsɿ tɕˈiu kiɛu liɛu,tˈæ tei lɑ yŋ pʌʔ tsuʌʔ uʌʔ ɕiE ɕiE tsʌʔ ɕiE ɕiE tɕiəu ɕiɑ liɑ,tˈəʔ du ləʔ vəʔ iɔ ka ɕy du tsəʔ iɔ gəʔ ti ʑiɤ kɤ ləʔ,kˈaʔ tsoi ou miaŋ hiõ tsoi tsiõ tsoi tsiu la ou,siũ tse a m̩ bian hia nĩ tse,tˈau tɤ lie yəŋ pəʔ lau vəʔ lai tɤ kuɒ̃ tsəʔ ɕiar tɕiəu kəu lie,tˈai tuo lə ʐuŋ pu liɑu nɑ mə tuo tɕiou iɑu tsən mə tuo tɕiou hou lə,tˈɤu tɤu ba fu jyɔ he naŋ tɤu tsɿ jyɔ naŋ tɤu jɤu liɛ tei ba,tˈai tuo niau ioŋ pu tau na iaŋ tuo kuaŋ iau tsɤ mo tuo tçiəu kəu niau,tˈai tuɤ liɤ iɔ pu xɑŋ nɤ mu tuɤ tsɿ iɔ tsei ɕiɤ tɕiɤu kɤu  liɤ,tˈai tuo liɛ tsɿ iau tʂei i tiãr tsou kou liɛ,tɔ tɐk tsɐi la m sɐi kɐm tɔ jiu kɐm tɔ tsɐu kɐu la,tˈai to tɒ iaɯ pu niaɯ nɒ ian to tʂʅ iaɯ ko ian to dziəɯ iəɯ tɒ,tˈɛ tu liɔ nɛ mə̃ tu xɔ yə̃ pv̩ uã na tʂʅ mə̃ ɕi xɔ tɕiɯ kɯ liɔ
tʂei kə ta nei kə ɕiau tʂei lia nei kə xɑu tiar,tse ko ta na ko ɕiau tse niaŋ ko na i ko xau i tiər,tsɿ ko ta a ko ɕiao tsɿ liaŋ ko tao ti la ko iao xao i tɛ lɛ,tɕiəʔ koʔ do nɑ koʔ ɕiɔ kəʔ liɑŋ koʔ nɑ koʔ hɔ ʔiəʔ tiẼ əl,tʂei kɤ ta nei kɤ ɕiau tʂɤ liaŋ kɤ nei kɤ xau tiar nə,ti kə ta la kə ɕiɔ ti liɑ̃ kə xa kə xɔ xɔ tsə,tʂʅ kə tA nə kə xiɔ tʂʅ liÃ kə nA kə xɔ tiə,tʂʅ kə ta lɛ kə ka tʂʅ liɑ̃ kə la kə xɔ ɕiə ʂa,e tsak kuo tˈai ke tsak kuo se e lioŋ tsak na ŋai tsak kˈo hau,kei tsɑʔ tˈai he tsɑʔ ɕiɛu ko liɔŋ tsɑʔ lɑ tsɑʔ hɑu tiɑʔ tsɿ le,tsʌʔ xuæ tei uʌʔ xuæ ɕiɔ tsʌʔ liɑŋ xuæ lɑ iʌʔ xuæ xɔ ɕiE ʐʌʔ liʌʔ,gəʔ tsaʔ du e tsaʔ ɕiau liã tsaʔ li ɕiã ɦa li iɪʔ tsãʔ hɔ iɪʔ ŋe ne,tsi kai tua hɯ kai soi tsi nõ kai muẽʔ ti kai oi iau ho nẽ,tsit le tua hit le se tsit lŋ̩ e to tsit le kˈaʔ ho,tsai ta vai ɕiau tsəʔ lia kɤ  na kɤ xau ɕiar,tsei kə tɑ nei kə ɕiɑu tsei liɑ nei kə xɑu i tiar nə,ki kai dɤu he kai sai ki liɛ kai ȵau kai hɜ le nei ,tsɤ kuo ta na kuo ɕiau tsɤ niaŋ kuo na kuo xau i tier,tsei kɤ ta nei kɤ ɕiɔ tsei liɑŋ kɤ na kɤ xɔ ɕiɤr,tʂʅ kɤ ta u kɤ ɕiau tʂʅ lia a i kɤ xau,nei kɔ tai kɔ kɔ sɐi nei lœŋ kɔ pin kɔ hou ti nɛ,ko tʂɒ dai nɒ tʂɒ siaɯ ko nian tʂo nɒ i tʂo haɯ i tiẽ,tʂʅ kɔ ta nɛ kɔ ka tʂʅ liɔ̃ kɔ a j kɔ xɔ ɛ ɕi
