beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tˈai iɑŋ,t‘ai iaŋ,tˈai iaŋ,tˈE ɦiɑŋ,tˈai iaŋ,tˈE iɑ̃,tˈæ iÃ,ʐʅ tˈou,ŋit tˈeu,tˈai iɔŋ,ʐʌʔ təu iE,tˈa ɦiã,zik tˈau,tˈai iɔŋ,tai iɒ̃,tˈai iɑŋ,tˈa ji,tˈai iaŋ,tˈai iɑŋ,ər tˈou,jɐt tˈɐu,tˈai ian,ʐɛ tˈɯ ɛ
yɛ liɑŋ,ye niaŋ,iɛ liaŋ,ɦyəʔ liɑŋ,yɛ liaŋ,yɐʔ liɑ̃,iɛ liÃ,yə liɑ̃,ŋiat kuoŋ,ȵyɵʔ kuɔŋ,yʌʔ mi iE,ɦyɪʔ liã,gueʔ,geʔ liũ,yəʔ liɒ̃,ye liɑŋ,ȵy kuɔ,ye niaŋ,yɤ liɑŋ,yɛ liaŋ,jyt lœŋ,yæ nian,yu liɔ̃
ɕiŋ ɕiŋ,ɕin ɕiər,ɕin ɕiəu,ɕin,ɕiŋ ɕiŋ,ɕin,ɕĩ ɕiəu,ɕĩn ɕiou,sen ne,siɑŋ tsɿ,sei ɕiəu,ɕiŋ,tsˈẽ,tˈĩ tsˈĩ,ɕi ɕiəu,ɕiŋ ɕiŋ,seŋ,ɕin,ɕiŋ ɕiɤu,ɕiŋ ɕiŋ,siŋ,sian tsɿ,ɕiə̃ ɕiə̃
ta lei,ta nuei,ta luei,tɑ lei,ta lei,ta le,ʂə̃ luei,ta luei,hioŋ lui kuŋ,tɑ lui,ɕiɑŋ luæ,le ɕiã,hiaŋ lui,tan lui,xiɒ̃ xuəʔ luei,tɑ lei,tiɛ lai,ta nei,ta luei,ɕiaŋ luei,haŋ løy,tɒ nəi,luɨ ɕiɔ̃ tʂɛ
ʂan tian,xo san,xo san,huoʔ sɥõ,ta ʂan,ta ʂən,tʂˈə ʂÃ,ta ʂɛ̃n,ŋiap fo sa,tɑ fɔʔ sɛn,tɑ ʂɑŋ,hoʔ ɕi,a koŋ nĩʔ mak,siam tian,ta sæ̃,tɑ san,ɕa di,tsˈɤ xuo,ʂan tian,ʂã tiã,sim tin,tʂˈɒ ɸɒ ɕyẽ,ʂã tiã tʂɛ
ɕia y,no y,ɕia i,loʔ ʔɥ,ɕia y,ɕia zɥ,ɕiA i,ɕia y,lok i,lɔʔ y,xɑ y,loʔ ɦy,loʔ hou,lɔʔ hɔ,xa y,ɕiɑ y,lo vu,ɕia y,xa y,ɕia y,lɔk jy,no y,ɕia y
ɕia ɕyɛ,no ɕye,ɕia ɕiɛ,loʔ çiəʔ,ɕia ɕyɛ,ɕia ɕyɐʔ,ɕiA ɕiɛ,ɕia ɕyə,lok siet,lɔʔ ɕyɵʔ,xɑ ɕyʌʔ,loʔ ɕiɪʔ,loʔ soʔ,lɔʔ seʔ,xa ɕyəʔ,ɕiɑ ɕye,lo ɕy,ɕia ɕie,xa ɕyɤ,ɕia ɕyɛ,lɔk syt,no sie,ɕia ɕyu
pɑu tsɿ,pin pau tsɿ,pin pao,pin bɔ,pau tsɿ,iɪ̃ tɯ tsə,pĩ pɔ,tɛ̃n tɛ̃n tsɿ,pˈok,pˈɔʔ tsɿ,ləŋ tɑŋ tsʌʔ,piŋ bɔ,pˈak,piŋ pˈauʔ,ləŋ tæ̃ tsəʔ,pɑu tsə,liɛ bu,pin pau,piŋ pɔ,ləŋ tsɿ,pɔk,sie tsɿ tsɿ,pɔ tsɿ
tɕiɛ piŋ,tɕie pin,tɕiɛ pin,tɕiəʔ pin,tuŋ piŋ,tɕiɐʔ pin,tɕiɛ pĩ,tũn pɪ̃n,kiat pen,tɕiɛʔ pin,tuŋ xɑ tuŋ li lɑ,tɕiɪʔ piŋ,kak piã,kiet piŋ,tuəŋ piəŋ,ʂɑŋ tuŋ,tɕi peŋ,tɕie pin,tɕiɤ piŋ,tuŋ piŋ,kit piŋ,tɕie kəɯ,piə̃ tuə̃ xa liɔ
kua fəŋ,kua foŋ,tsˈuei foŋ,tɕˈi foŋ,kua fəŋ,tsˈɿ fəŋ,kuA foŋ,kua fə̃n,hi fuŋ,tɕˈi fuŋ,kuʌʔ xuŋ,tɕˈi foŋ,tˈau huaŋ,ki hɔŋ,kuaʔ fəŋ,kuɑ fəŋ,tiɛ hoŋ,kua foŋ,kua fɤŋ,kua fəŋ,fan fuŋ,tɕˈi ɸən,kua fə̃
xuŋ,xoŋ,kaŋ,hei,kaŋ,tɕiɑ,kÃ,kɑ̃,tˈien kiuŋ,kɔŋ,tɕyə,hɤ,kˈeŋ,hɔŋ,tɕiɒ̃,tɕiɑŋ,hau,kaŋ,kɑŋ,tɕiaŋ,tsˈɔi huŋ,kɔn,kɔ̃
u yɛ tɕiɛ,tuan iaŋ,tuan u,tuõ ʔu,u yɛ tɕiɛ,tʊ̃ u tɕiɐʔ,u iɛ tuÃ u,tuɛ̃n iɑ̃,n̩ ŋiat tsiet,tɵn u,u yʊʔ tuɑŋ u,tø ɦŋ̩,ŋõu gueʔ tsoiʔ,gɔ lit tsieʔ,vu yəʔ tuæ̃ vu,u ye tɕie,dʑyɔ ŋ̩,tan u,tuan vu,u yɛ tɕiɛ,tyn ŋ,tɔn u i,tɔ̃ v̩
pa yɛ tɕiɛ,tsoŋ tɕˈieu tɕie,pa iɛ sɿ u,pɑʔ ɦyəʔ puõ,pa yɛ tɕiɛ,tʂəŋ tɕˈiɯ tɕiɐʔ,tʂoŋ tɕˈiəu tɕiɛ,pa yə ʂʅ vu,tsuŋ tsˈiu tsiet,tsuŋ tɕˈiu,pʌʔ yʌʔ ʂʌʔ u,tsoŋ tɕˈiɤ,toŋ tsˈiu,tiɔŋ tsˈiu tsieʔ,paʔ yəʔ səʔ vu,pɑ ye tɕie,po ȵy zai ŋ,tsoŋ tɕˈiəu,tʂuŋ tɕˈiɤu,pa yɛ tɕiɛ,tsuŋ tsˈɐu,tʂən tsˈiəɯ i,pa yu ʂʅ v̩
san ʂər,san sɿ uan saŋ,san sɿ iɛ,ȵiẼ sẼ zəʔ vẼ zɑŋ,san ʂər uan ʂaŋ,liɪ̃ sæ̃ ʂəʔ,sÃ ʂʅ uÃ ʂə̃,sɛ̃n ʂʅ vɛ̃n ɕi,ŋian sam səp ŋit,san sɨʔ iɑ uan,ȵiE tsɥ xɑ,du ȵi ɦia,ziʔ kau mẽ,li kau am,nie sæ̃ səʔ,san ʃər van ʂɑŋ,sa zai ȵai ɦa ɕy,tɕˈy ɕi,ȵian san ʂʅ,sã ʂər xei liɛ,ȵin sa man,dai ȵiẽ san ʂʅ,sã ʂʅ uã ɕj
tɕin nian,tɕin ȵian,tɕin lian,ken ȵiẼ,tɕin nian,tɕin liɪ̃,tɕĩ niɛ̃,tɕĩn ȵiɛ̃n,kin ŋian,tɕin ȵiɛn,tɕiŋ ȵiE,tɕiŋ ȵi,kim nĩ,kin lĩ,tɕiəŋ nie,tɕin nian,ke ȵi,tɕin niɛn,tɕiŋ ȵian,tɕiẽ niã,kɐm ȵin,tɕin ȵiẽ tsɿ,tɕiə̃ ȵiã
miŋ nian,min ȵian,min lian,men ȵiẼ,lai nian,min liɪ̃,mĩ ə niɛ̃,mĩn ȵiɛ̃n,kuo e ŋian,miɑŋ ȵiɛn,læ ȵiE,kˈe ȵi,mẽ nĩ,buã lĩ,miəŋ nie,lai nian,maŋ ȵi,min niɛn,miŋ ȵian,miŋ niã,tsˈøt ȵin,min ȵiẽ tsɿ,miə̃ ȵiã
tɕˈy nian,tɕˈy ȵian,tɕˈi lian,dʑiø ȵiẼ tsɿ,tɕˈy nian,tsˈɥ liɪ̃,tɕˈi niɛ̃,ȵiɛ̃n ʂʅ,kˈiu ŋian ne,tɕˈiu ȵiɛn,ȵiE sɿ,dʑiɤ ȵi,ku nĩ,ku lĩ,nie sɿ,tɕˈy nian,dʑau ȵi,tɕˈy niɛn,ȵian sɿ kɤ,niã sɿ kɤ,kɐu ȵin,tɕˈy ȵiẽ tsɿ,ȵiã sɿ
miə̃r,min tˈian,min tˈian,men tsɔ,miŋ tˈian,ma kə,mĩ ə ʐʅ,mĩn kə,sən tsau ŋit,miɑŋ ȵiʔ,ti mi,miŋ tsɔ,mã zik,bĩ a tsai,tsau tɕˈi,mier kə,maŋ tɕiɛ,min tˈiɛn,miŋ tˈian,miər,tˈiŋ jɐt,mai i tsɿ,miə̃ tˈiã
tsuor,tso tˈian,tso tˈian,zɑŋ ŋɑʔ tsɿ,tsuo tˈian,tsʊ kə,tso ʐʅ,tsuə kə,tsˈiu pu ŋit,tsˈɔʔ ȵiʔ,iE læ,zoʔ ȵiɪʔ,tsa zik,tsa hŋ,ie tˈie,tsuor kə,zo ji,tsuo ɯ,tsuɤ tˈian,iɛ kɤ,kˈɐm jɐt,dzo i tsɿ,iɛ lɛ
