dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TB,Taibei,1,有一回,有一摆,,u tsit pai,u33-11 tsit44-32 pai53,u tsit pai,u33-11 tsit44-32 pai53
TB,Taibei,2,北风跟太阳在那儿争论谁的本事大,北风甲太阳在遐相争讲看啥人恰有本事,,pak hɔŋ kaʔ tˈai iɔŋ ti hia sio tsĩ kɔŋ kˈuã siã laŋ kˈaʔ u pun su,pak32-44 hɔŋ44 kaʔ32-44 tˈai11-53 iɔŋ24 ti33-11 hia44 sio44-33 tsĩ44 kɔŋ53-44 kˈuã11-53 siã53-44 laŋ24 kˈaʔ32-44 u33-11 pun53-44 su33,pak hɔŋ kaʔ tˈai iɔŋ ti hia sio tsĩ kɔŋ kˈuã siã laŋ kˈaʔ u pun su,pak32-44 hɔŋ44 kaʔ32-44 tˈai11-53 iɔŋ24 ti33-11 hia44 sio44-33 tsĩ44 kɔŋ53-44 kˈuã11-53 siã53-44 laŋ24 kˈaʔ32-44 u33-11 pun53-44 su33
TB,Taibei,3,争来争去就是分不出高低来,争来争去也争无一个输赢,,tsĩ lai tsĩ kˈi ia tsĩ bo tsit le su iã,tsĩ44-33 lai24-11 tsĩ44-33 kˈi11 ia33-11 tsĩ44-33 bo24-33 tsit44-32 le24-11 su44-33 iã24,tsĩ lai tsĩ kˈi ia tsĩ bo tsit le su iã,tsĩ44-33 lai24-11 tsĩ44-33 kˈi11 ia33-11 tsĩ44-33 bo24-33 tsit44-32 le24-11 su44-33 iã24
TB,Taibei,4,这时候路上来了个走道儿的,这个时候路边仔有一个人行过来,,tsit le si tsun lɔ pĩ a u tsit le laŋ kiã kue lai,tsit44-32 le24-33 si24-11 tsun33 lɔ33-11 pĩ44-33 a53 u33-11 tsit44-32 le24-11 laŋ24 kiã24-11 kue11-53 lai24,tsit le si tsun lɔ pĩ a u tsit le laŋ kiã kue lai,tsit44-32 le24-33 si24-11 tsun33 lɔ33-11 pĩ44-33 a53 u33-11 tsit44-32 le24-11 laŋ24 kiã24-11 kue11-53 lai24
TB,Taibei,5,他身上穿着件厚大衣,他身躯穿著一领厚大衣,,i sin kˈu tsˈiŋ tioʔ tsit liã kau tua i,i44-33 sin44-33 kˈu44 tsˈiŋ33-11 tioʔ44-32 tsit44-32 liã53-44 kau33-11 tua33-11 i44,i sin kˈu tsˈiŋ tioʔ tsit liã kau tua i,i44-33 sin44-33 kˈu44 tsˈiŋ33-11 tioʔ44-32 tsit44-32 liã53-44 kau33-11 tua33-11 i44
TB,Taibei,6,他们俩就说好了,他两个著讲好,,in lŋ e tioʔ kɔŋ ho,in44-33 lŋ33-11 e24 tioʔ44-32 kɔŋ53-44 ho53,in lŋ e tioʔ kɔŋ ho,in44-33 lŋ33-11 e24 tioʔ44-32 kɔŋ53-44 ho53
TB,Taibei,7,谁能先叫这个走道儿的脱下他的厚大衣,看啥人先有法度叫许个人褪去伊的大衣,,kˈuã siã laŋ siŋ u huat to kio hit le laŋ tˈŋ kˈi i e tua i,kˈuã11-53 siã53-44 laŋ24 siŋ44-33 u33-11 huat32-44 to33-11 kio11-53 hit32-44 le24-11 laŋ24 tˈŋ11-53 kˈi11-53 i44-33 e24-11 tua33-11 i44,kˈuã siã laŋ siŋ u huat to kio hit le laŋ tˈŋ kˈi i e tua i,kˈuã11-53 siã53-44 laŋ24 siŋ44-33 u33-11 huat32-44 to33-11 kio11-53 hit32-44 le24-11 laŋ24 tˈŋ11-53 kˈi11-53 i44-33 e24-11 tua33-11 i44
TB,Taibei,8,就算谁的本事大,著算讲啥人本事大,,tioʔ sŋ̩ kɔŋ siã laŋ pun su tua,tioʔ44-32 sŋ̩11-53 kɔŋ53-44 siã53-44 laŋ24 pun53-44 su33-11 tua33,tioʔ sŋ̩ kɔŋ siã laŋ pun su tua,tioʔ44-32 sŋ̩11-53 kɔŋ53-44 siã53-44 laŋ24 pun53-44 su33-11 tua33
TB,Taibei,9,北风就使劲儿地刮起来了,北风著拍拼吹起来,,pak hɔŋ tioʔ pˈaʔ piã tsˈe kˈi lai,pak32-44 hɔŋ44 tioʔ44-32 pˈaʔ32-44 piã11 tsˈe44 kˈi11 lai24,pak hɔŋ tioʔ pˈaʔ piã tsˈe kˈi lai,pak32-44 hɔŋ44 tioʔ44-32 pˈaʔ32-44 piã11 tsˈe44 kˈi11 lai24
TB,Taibei,10,不过他越是刮得厉害,□过伊愈吹,,m̩ ko i lu tsˈe,m̩33-11 ko44 i44-33 lu53-44 tsˈe44,m̩ ko i lu tsˈe,m̩33-11 ko44 i44-33 lu53-44 tsˈe44
TB,Taibei,11,那个走道儿的把大衣裹得越紧,许个人将大衣揪愈紧,,hit le laŋ tsioŋ tua i gui lu an,hit32-44 le24-11 laŋ24 tsioŋ33-11 tua33-11 i44 gui53-44 lu53-44 an24,hit le laŋ tsioŋ tua i gui lu an,hit32-44 le24-11 laŋ24 tsioŋ33-11 tua33-11 i44 gui53-44 lu53-44 an24
TB,Taibei,12,后来北风没法儿了,后来北风无法度,,au lai pak hɔŋ bo huat to,au33 lai24-11 pak32-44 hɔŋ44 bo24-11 huat32-44 to33,au lai pak hɔŋ bo huat to,au33 lai24-11 pak32-44 hɔŋ44 bo24-11 huat32-44 to33
