dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TB,Taibei,1,太阳,太阳 ,,tˈai iɔŋ,tˈai11-53 iɔŋ24,tˈai iɔŋ,tˈai11-53 iɔŋ24
TB,Taibei,2,月亮,月娘 ,,geʔ liũ,geʔ44-32 liũ24,geʔ liũ,geʔ44-32 liũ24
TB,Taibei,3,星星,天星,,tˈĩ tsˈĩ,tˈĩ44-33 tsˈĩ44,tˈĩ tsˈĩ,tˈĩ44-33 tsˈĩ44
TB,Taibei,4,打雷,陈雷 ,,tan lui,tan24-11 lui24,tan lui,tan24-11 lui24
TB,Taibei,5,闪电,闪电 ,,siam tian,siam53-55 tian33,siam tian,siam53-55 tian33
TB,Taibei,6,下雨,落雨,,lɔʔ hɔ,lɔʔ44-32 hɔ33,lɔʔ hɔ,lɔʔ44-32 hɔ33
TB,Taibei,7,下雪,落雪 ,,lɔʔ seʔ,lɔʔ44-32 seʔ32,lɔʔ seʔ,lɔʔ44-32 seʔ32
TB,Taibei,8,冰雹,冰雹 ,,piŋ pˈauʔ,piŋ44-33 pˈauʔ44,piŋ pˈauʔ,piŋ44-33 pˈauʔ44
TB,Taibei,9,结冰,结冰 ,,kiet piŋ,kiet32-44 piŋ44,kiet piŋ,kiet32-44 piŋ44
TB,Taibei,10,刮风,起风 ,,ki hɔŋ,ki53-44 hɔŋ44,ki hɔŋ,ki53-44 hɔŋ44
TB,Taibei,11,虹,虹,,hɔŋ,hɔŋ24,hɔŋ,hɔŋ24
TB,Taibei,12,端午节,五日节 ,,gɔ lit tsieʔ,gɔ33-11 lit44-32 tsieʔ32,gɔ lit tsieʔ,gɔ33-11 lit44-32 tsieʔ32
TB,Taibei,13,中秋节,中秋节 ,,tiɔŋ tsˈiu tsieʔ,tiɔŋ44-33 tsˈiu44-33 tsieʔ32,tiɔŋ tsˈiu tsieʔ,tiɔŋ44-33 tsˈiu44-33 tsieʔ32
TB,Taibei,14,除夕,二九暗 ,,li kau am,li33-11 kau53-55 am11,li kau am,li33-11 kau53-55 am11
TB,Taibei,15,今年,今年 ,,kin lĩ,kin44-33 lĩ24,kin lĩ,kin44-33 lĩ24
TB,Taibei,16,明年,明年 ,,buã lĩ,buã24-11 lĩ24,buã lĩ,buã24-11 lĩ24
TB,Taibei,17,去年,旧年,,ku lĩ,ku33-11 lĩ24,ku lĩ,ku33-11 lĩ24
TB,Taibei,18,明天,明仔再 ,,bĩ a tsai,bĩ24-33 a53-44 tsai11,bĩ a tsai,bĩ24-33 a53-44 tsai11
TB,Taibei,19,昨天,昨荒 ,,tsa hŋ,tsa24-11 hŋ44,tsa hŋ,tsa24-11 hŋ44
TB,Taibei,20,今天,今仔日,,kin lã lit,kin44-33 lã44 lit44,kin lã lit,kin44-33 lã44 lit44
TB,Taibei,21,星期天,礼拜日 ,,le pai lit,le53-44 pai11-53 lit44,le pai lit,le53-44 pai11-53 lit44
TB,Taibei,22,麦子,麦仔 ,,beʔ a,beʔ44-32 a53,beʔ a,beʔ44-32 a53
TB,Taibei,23,大米,米,,bi,bi53,bi,bi53
TB,Taibei,24,蚕豆,蚕豆 ,,tsˈan tau,tsˈan24-11 tau33,tsˈan tau,tsˈan24-11 tau33
TB,Taibei,25,向日葵,向阳花 ,,hiɔŋ iɔŋ hue,hiɔŋ11-53 iɔŋ24-33 hue44,hiɔŋ iɔŋ hue,hiɔŋ11-53 iɔŋ24-33 hue44
TB,Taibei,26,菠菜,菠邻仔菜 ,,po lin a tsˈai,po44-33 lin24-11 a53-44 tsˈai11,po lin a tsˈai,po44-33 lin24-11 a53-44 tsˈai11
TB,Taibei,27,卷心菜,卷心菜 ,,kŋ̩ sim tsˈai,kŋ̩53-44 sim44-33 tsˈai11,kŋ̩ sim tsˈai,kŋ̩53-44 sim44-33 tsˈai11
TB,Taibei,28,西红柿,塔麻道 ,,tˈa bã to,tˈa33-11 bã53-44 to11,tˈa bã to,tˈa33-11 bã53-44 to11
TB,Taibei,29,茄子,茄 ,,kio,kio24,kio,kio24
TB,Taibei,30,白薯,蕃薯 ,,han tsi,han44-33 tsi24,han tsi,han44-33 tsi24
TB,Taibei,31,马铃薯,马铃薯 ,,bã liŋ tsi,bã53-44 liŋ24-11 tsi24,bã liŋ tsi,bã53-44 liŋ24-11 tsi24
TB,Taibei,32,南瓜,金瓜 ,,kim kue,kim44-33 kue44,kim kue,kim44-33 kue44
TB,Taibei,33,猪,猪,,ti,ti44,ti,ti44
TB,Taibei,34,公猪,猪公 ,,ti kaŋ,ti44-33 kaŋ44,ti kaŋ,ti44-33 kaŋ44
TB,Taibei,35,母猪,猪母 ,,ti bu,ti44-33 bu53,ti bu,ti44-33 bu53
TB,Taibei,36,公鸡,鸡公 ,,ke kaŋ,ke44-33 kaŋ44,ke kaŋ,ke44-33 kaŋ44
TB,Taibei,37,母鸡,鸡母 ,,ke bu,ke44-33 bu53,ke bu,ke44-33 bu53
