dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XG,Xianggang,1,谁啊?我是老三。,边个啊?我系阿三,,pin kɔ a ŋɔ hɐi a sam,pin55 kɔ33 a33 ŋɔ13 hɐi22 a33 sam55,pin kɔ a ŋɔ hɐi a sam,pin55 kɔ33 a33 ŋɔ13 hɐi22 a33 sam55
XG,Xianggang,2,老四呢?她正跟一个朋友说着话呢。,阿四呢?佢系度同个朋友倾紧解喇,,a sei nɛ kˈøy hɐi tou tˈuŋ kɔ pˈɐŋ jɐu kˈiŋ kɐn kɐi lɛ,a33 sei33 nɛ55 kˈøy13 hɐi35 tou22 tˈuŋ21 kɔ33 pˈɐŋ21 jɐu13 kˈiŋ35 kɐn35 kɐi lɛ21,a sei nɛ kˈøy hɐi tou tˈuŋ kɔ pˈɐŋ jɐu kˈiŋ kɐn kɐi lɛ,a33 sei33 nɛ55 kˈøy13 hɐi35 tou22 tˈuŋ21 kɔ33 pˈɐŋ21 jɐu13 kˈiŋ35 kɐn35 kɐi lɛ21
XG,Xianggang,3,她还没说完吗?,佢重未讲完咩,,kˈøy tsuŋ mei kɔŋ jyn mɛ,kˈøy13 tsuŋ mei22 kɔŋ35 jyn21 mɛ55,kˈøy tsuŋ mei kɔŋ jyn mɛ,kˈøy13 tsuŋ mei22 kɔŋ35 jyn21 mɛ55
XG,Xianggang,4,还没有。大概再有一会儿就说完了。,重未，大概再过一阵就讲完勒,,tsuŋ mei tai kˈɔi tsɔi kɔ jɐt tsɐn tsɐu kɔŋ jyn lak,tsuŋ22 mei22 tai22 kˈɔi33-35 tsɔi33 kɔ33 jɐt5 tsɐn22-35 tsɐu22 kɔŋ35 jyn21 lak3,tsuŋ mei tai kˈɔi tsɔi kɔ jɐt tsɐn tsɐu kɔŋ jyn lak,tsuŋ22 mei22 tai22 kˈɔi33-35 tsɔi33 kɔ33 jɐt5 tsɐn22-35 tsɐu22 kɔŋ35 jyn21 lak3
XG,Xianggang,5,他说马上就走，怎么这半天了还在家里?,佢话即刻就走，点解咁耐重系屋企度,,kˈøy wa tsik hak tsɐu tsɐu tim kai kɐm nɔi tsuŋ hɐi uk kˈei tou,kˈøy13 wa22 tsik5 hak5 tsɐu22 tsɐu35 tim35 kai35 kɐm33 nɔi22 tsuŋ22 hɐi35 uk5 kˈei35 tou22,kˈøy wa tsik hak tsɐu tsɐu tim kai kɐm nɔi tsuŋ hɐi uk kˈei tou,kˈøy13 wa22 tsik5 hak5 tsɐu22 tsɐu35 tim35 kai35 kɐm33 nɔi22 tsuŋ22 hɐi35 uk5 kˈei35 tou22
XG,Xianggang,6,你到哪儿去?我到城里去。,你去边?我入城,,nei høy pin ŋɔ jɐp sɛŋ,nei13 høy33 pin55 ŋɔ13 jɐp2 sɛŋ21-35,nei høy pin ŋɔ jɐp sɛŋ,nei13 høy33 pin55 ŋɔ13 jɐp2 sɛŋ21-35
XG,Xianggang,7,在那儿，不在这儿。,系嗰度，唔系呢度,,hɐi kɔ tou m hɐi nei tou,hɐi35 kɔ35 tou22 m21 hɐi35 nei55 tou22,hɐi kɔ tou m hɐi nei tou,hɐi35 kɔ35 tou22 m21 hɐi35 nei55 tou22
XG,Xianggang,8,不是那么做，要这么做。,唔系咁做，系要咁做嘅,,m hɐi kɐm tsou hɐi jiu kɐm tsou kɛ,m21 hɐi22 kɐm35 tsou22 hɐi22 jiu33 kɐm35 tsou22 kɛ33,m hɐi kɐm tsou hɐi jiu kɐm tsou kɛ,m21 hɐi22 kɐm35 tsou22 hɐi22 jiu33 kɐm35 tsou22 kɛ33
XG,Xianggang,9,太多了，用不着那么多，只要这么多就够了。,多得滞喇，唔使咁多，要咁多就够喇,,tɔ tɐk tsɐi la m sɐi kɐm tɔ jiu kɐm tɔ tsɐu kɐu la,tɔ55 tɐk5 tsɐi22 la33 m21 sɐi35 kɐm33 tɔ55 jiu33 kɐm33 tɔ55 tsɐu22 kɐu33 la33,tɔ tɐk tsɐi la m sɐi kɐm tɔ jiu kɐm tɔ tsɐu kɐu la,tɔ55 tɐk5 tsɐi22 la33 m21 sɐi35 kɐm33 tɔ55 jiu33 kɐm33 tɔ55 tsɐu22 kɐu33 la33
XG,Xianggang,10,这个大，那个小，这两个哪一个好一点呢?,呢个大，嗰个细，呢两个边个好啲呢,,nei kɔ tai kɔ kɔ sɐi nei lœŋ kɔ pin kɔ hou ti nɛ,nei55 kɔ33 tai33 kɔ35 kɔ33 sɐi33 nei55 lœŋ13 kɔ33 pin55 kɔ33 hou35 ti55 nɛ55,nei kɔ tai kɔ kɔ sɐi nei lœŋ kɔ pin kɔ hou ti nɛ,nei55 kɔ33 tai33 kɔ35 kɔ33 sɐi33 nei55 lœŋ13 kɔ33 pin55 kɔ33 hou35 ti55 nɛ55
XG,Xianggang,11,这个比那个好。,呢个好过嗰个,,nei kɔ hou kwɔ kɔ kɔ,nei55 kɔ33 hou35 kwɔ33 kɔ35 kɔ33,nei kɔ hou kwɔ kɔ kɔ,nei55 kɔ33 hou35 kwɔ33 kɔ35 kɔ33
XG,Xianggang,12,这些房子不如那些房子好。,呢啲屋不如嗰啲屋好,,nei ti uk pɐt jy kɔ ti uk hou,nei55 ti55 uk5 pɐt5 jy21 kɔ35 ti55 uk5 hou35,nei ti uk pɐt jy kɔ ti uk hou,nei55 ti55 uk5 pɐt5 jy21 kɔ35 ti55 uk5 hou35
XG,Xianggang,13,这句话用成都话怎么说?,,,,,,
XG,Xianggang,14,他今年多大岁数了?,佢今年几大喇,,kˈøy kɐm nin kei tai la,kˈøy13 kɐm35 nin21 kei35 tai22 la33,kˈøy kɐm nin kei tai la,kˈøy13 kɐm35 nin21 kei35 tai22 la33
XG,Xianggang,15,大概三十来岁吧。,约莫三十零岁啦,,jœk mɔk sam sɐp lɛŋ søy la,jœk3 mɔk2-35 sam55 sɐp2 lɛŋ21 søy33 la55,jœk mɔk sam sɐp lɛŋ søy la,jœk3 mɔk2-35 sam55 sɐp2 lɛŋ21 søy33 la55
XG,Xianggang,16,这个东西有多重呢?,呢个嘢有几重呢,,nei kɔ jɛ jɐu kei tsˈuŋ nɛ,nei55 kɔ33 jɛ13 jɐu13 kei35 tsˈuŋ13 nɛ55,nei kɔ jɛ jɐu kei tsˈuŋ nɛ,nei55 kɔ33 jɛ13 jɐu13 kei35 tsˈuŋ13 nɛ55
XG,Xianggang,17,有五十斤重呢。,成五十斤重,,siŋ ŋ sɐp kɐn tsˈuŋ,siŋ21 ŋ13 sɐp2 kɐn55 tsˈuŋ13,siŋ ŋ sɐp kɐn tsˈuŋ,siŋ21 ŋ13 sɐp2 kɐn55 tsˈuŋ13
XG,Xianggang,18,拿得动吗?,搦得郁吗?,,nik tɐk juk ma,nik5 tɐk5 juk5 ma33,nik tɐk juk ma,nik5 tɐk5 juk5 ma33
XG,Xianggang,19,我拿得动，他拿不动。,我搦得郁，佢搦唔郁,,ŋɔ nik tɐk juk kˈøy nik m juk,ŋɔ13 nik5 tɐk5 juk5 kˈøy13 nik5 m21 juk5,ŋɔ nik tɐk juk kˈøy nik m juk,ŋɔ13 nik5 tɐk5 juk5 kˈøy13 nik5 m21 juk5
XG,Xianggang,20,真不轻，重得连我也拿不动。,真系唔轻，重到连我都搦唔郁,,tsɐn hɐi m hɛŋ tsˈuŋ tou lin ŋɔ tou nik m juk,tsɐn35 hɐi22 m21 hɛŋ35 tsˈuŋ13 tou33 lin21 ŋɔ13 tou55 nik5 m21 juk5,tsɐn hɐi m hɛŋ tsˈuŋ tou lin ŋɔ tou nik m juk,tsɐn35 hɐi22 m21 hɛŋ35 tsˈuŋ13 tou33 lin21 ŋɔ13 tou55 nik5 m21 juk5
XG,Xianggang,21,你说得很好，你还会说点什么呢?,你讲得好好，你重识讲啲乜嘢呢,,nei kɔŋ tɐk hou hou nei tsuŋ sik kɔŋ ti mɐt jɛ nɛ,nei13 kɔŋ35 tɐk5 hou35 hou35 nei13 tsuŋ22 sik5 kɔŋ35 ti55 mɐt5 jɛ13 nɛ55,nei kɔŋ tɐk hou hou nei tsuŋ sik kɔŋ ti mɐt jɛ nɛ,nei13 kɔŋ35 tɐk5 hou35 hou35 nei13 tsuŋ22 sik5 kɔŋ35 ti55 mɐt5 jɛ13 nɛ55
XG,Xianggang,22,我嘴笨，我说不过他。,我唔识讲嘢，我讲唔过佢,,ŋɔ m sik kɔŋ jɛ ŋɔ kɔŋ m kwɔ kˈøy,ŋɔ13 m21 sik5 kɔŋ35 jɛ13 ŋɔ13 kɔŋ35 m21 kwɔ33 kˈøy13,ŋɔ m sik kɔŋ jɛ ŋɔ kɔŋ m kwɔ kˈøy,ŋɔ13 m21 sik5 kɔŋ35 jɛ13 ŋɔ13 kɔŋ35 m21 kwɔ33 kˈøy13
XG,Xianggang,23,说了一遍，又说一遍。,讲咗一次，又讲一次,,kɔŋ tsɔ jɐt tsˈi jɐu kɔŋ jɐt tsˈi,kɔŋ35 tsɔ35 jɐt5 tsˈi33 jɐu22 kɔŋ35 jɐt5 tsˈi33,kɔŋ tsɔ jɐt tsˈi jɐu kɔŋ jɐt tsˈi,kɔŋ35 tsɔ35 jɐt5 tsˈi33 jɐu22 kɔŋ35 jɐt5 tsˈi33
XG,Xianggang,24,请你再说一遍。,请你再讲一次,,tsˈɛŋ nei tsɔi kɔŋ jɐt tsˈi,tsˈɛŋ35 nei13 tsɔi33 kɔŋ35 jɐt5 tsˈi33,tsˈɛŋ nei tsɔi kɔŋ jɐt tsˈi,tsˈɛŋ35 nei13 tsɔi33 kɔŋ35 jɐt5 tsˈi33
XG,Xianggang,25,不早了，快去吧。,好晏喇，快啲去啦,,hou an la fai ti høy la,hou35 an33 la33 fai33 ti55 høy33 la55,hou an la fai ti høy la,hou35 an33 la33 fai33 ti55 høy33 la55
XG,Xianggang,26,现在还早着呢，等一会儿再去吧。,而家重好早嘛，等一阵先至去啦,,ji ka tsuŋ hou tsɛ tɐŋ jɐt tsɐn sin tsi høy la,ji21 ka55 tsuŋ22 hou35 tsɛ55 tɐŋ35 jɐt5 tsɐn22-35 sin55 tsi33 høy33 la55,ji ka tsuŋ hou tsɛ tɐŋ jɐt tsɐn sin tsi høy la,ji21 ka55 tsuŋ22 hou35 tsɛ55 tɐŋ35 jɐt5 tsɐn22-35 sin55 tsi33 høy33 la55
XG,Xianggang,27,吃了饭再去好吗?,食咗饭先至去好吗,,sik tsɔ fan sin tsi høy hou ma,sik2 tsɔ35 fan22 sin55 tsi33 høy33 hou35 ma33,sik tsɔ fan sin tsi høy hou ma,sik2 tsɔ35 fan22 sin55 tsi33 høy33 hou35 ma33
XG,Xianggang,28,慢慢儿吃啊，不要着急。,慢慢食啊，唔好急,,man man sik a m hou kɐp,man22 man22-35 sik2 a33 m21 hou35 kɐp5,man man sik a m hou kɐp,man22 man22-35 sik2 a33 m21 hou35 kɐp5
XG,Xianggang,29,坐着吃比站着吃好些。,坐住食好过企住食,,tsˈɔ tsy sik hou kwɔ kˈei tsy sik,tsˈɔ13 tsy22 sik2 hou35 kwɔ33 kˈei13 tsy22 sik2,tsˈɔ tsy sik hou kwɔ kˈei tsy sik,tsˈɔ13 tsy22 sik2 hou35 kwɔ33 kˈei13 tsy22 sik2
XG,Xianggang,30,他吃了饭了，你吃了饭没有呢?,佢食咗饭勒，你食咗饭未呢,,kˈøy sik tsɔ fan lak nei sik tsɔ fan mei nɛ,kˈøy13 sik2 tsɔ35 fan22 lak3 nei13 sik2 tsɔ35 fan22 mei22 nɛ55,kˈøy sik tsɔ fan lak nei sik tsɔ fan mei nɛ,kˈøy13 sik2 tsɔ35 fan22 lak3 nei13 sik2 tsɔ35 fan22 mei22 nɛ55
XG,Xianggang,31,他去过上海，我没有去过。,佢去过上海，我未去过,,kˈøy høy kwɔ sœŋ hɔi ŋɔ mei høy kwɔ,kˈøy13 høy33 kwɔ33 sœŋ21 hɔi35 ŋɔ13 mei22 høy33 kwɔ33,kˈøy høy kwɔ sœŋ hɔi ŋɔ mei høy kwɔ,kˈøy13 høy33 kwɔ33 sœŋ21 hɔi35 ŋɔ13 mei22 høy33 kwɔ33
XG,Xianggang,32,来闻闻这朵花香不香。,㰀闻下呢朵花香唔香,,lɐi mɐn ha nei tœ fa hœŋ m hœŋ,lɐi21 mɐn21 ha13 nei55 tœ35 fa55 hœŋ55 m21 hœŋ55,lɐi mɐn ha nei tœ fa hœŋ m hœŋ,lɐi21 mɐn21 ha13 nei55 tœ35 fa55 hœŋ55 m21 hœŋ55
