dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XG,Xianggang,1,有一回,有一次,,jɐu jɐt tsˈi,jɐu13 jɐt5 tsˈi33,jɐu jɐt tsˈi,jɐu13 jɐt5 tsˈi33
XG,Xianggang,2,北风跟太阳在那儿争论谁的本事大,北风同日头系度拗边个嘅本事大,,pɐk fuŋ tˈuŋ jɐt tˈɐu hɐi tou au pin kɔ kɛ pun si tai,pɐk5 fuŋ55 tˈuŋ21 jɐt2 tˈɐu21-35 hɐi35 tou22 au33 pin55 kɔ33 kɛ33 pun35 si22 tai22,pɐk fuŋ tˈuŋ jɐt tˈɐu hɐi tou au pin kɔ kɛ pun si tai,pɐk5 fuŋ55 tˈuŋ21 jɐt2 tˈɐu21-35 hɐi35 tou22 au33 pin55 kɔ33 kɛ33 pun35 si22 tai22
XG,Xianggang,3,争来争去就是分不出高低来,拗嚟拗去就系分唔出高低,,au lɐi au høy tsɐu hɐi fɐn m tsˈøt kou tɐi,au33 lɐi21 au33 høy33 tsɐu22 hɐi22 fɐn35 m21 tsˈøt5 kou55 tɐi55,au lɐi au høy tsɐu hɐi fɐn m tsˈøt kou tɐi,au33 lɐi21 au33 høy33 tsɐu22 hɐi22 fɐn35 m21 tsˈøt5 kou55 tɐi55
XG,Xianggang,4,这时候路上来了个走道儿的,呢阵时条路嚟咗个行路嘅人,,nei tsɐn si tˈiu lou lɐi tsɔ kɔ haŋ lou kɛ jɐn,nei55 tsɐn22 si21-35 tˈiu21 lou22 lɐi21 tsɔ35 kɔ33 haŋ21 lou22 kɛ33 jɐn21,nei tsɐn si tˈiu lou lɐi tsɔ kɔ haŋ lou kɛ jɐn,nei55 tsɐn22 si21-35 tˈiu21 lou22 lɐi21 tsɔ35 kɔ33 haŋ21 lou22 kɛ33 jɐn21
XG,Xianggang,5,他身上穿着件厚大衣,佢著住件厚大褛,,kˈøy tsœk tsy kin hɐu tai lɐu,kˈøy13 tsœk3 tsy22 kin22 hɐu13 tai22 lɐu55,kˈøy tsœk tsy kin hɐu tai lɐu,kˈøy13 tsœk3 tsy22 kin22 hɐu13 tai22 lɐu55
XG,Xianggang,6,他们俩就说好了,佢哋两个就讲定咗,,kˈøy tei lœŋ kɔ tsɐu kɔŋ tiŋ tsɔ,kˈøy13 tei22 lœŋ13 kɔ33 tsɐu22 kɔŋ35 tiŋ22 tsɔ35,kˈøy tei lœŋ kɔ tsɐu kɔŋ tiŋ tsɔ,kˈøy13 tei22 lœŋ13 kɔ33 tsɐu22 kɔŋ35 tiŋ22 tsɔ35
XG,Xianggang,7,谁能先叫这个走道儿的脱下他的厚大衣,边个能够使得呢个行路嘅人除低佢件厚大褛,,pin kɔ nɐŋ kɐu sɐi tɐk nei kɔ haŋ lou kɛ jɐn tsˈøy tɐi kˈøy kin hau tai lɐu,pin55 kɔ33 nɐŋ21 kɐu33 sɐi35 tɐk5 nei55 kɔ33 haŋ21 lou21 kɛ33 jɐn21 tsˈøy21 tɐi55 kˈøy13 kin22 hau13 tai22 lɐu55,pin kɔ nɐŋ kɐu sɐi tɐk nei kɔ haŋ lou kɛ jɐn tsˈøy tɐi kˈøy kin hau tai lɐu,pin55 kɔ33 nɐŋ21 kɐu33 sɐi35 tɐk5 nei55 kɔ33 haŋ21 lou21 kɛ33 jɐn21 tsˈøy21 tɐi55 kˈøy13 kin22 hau13 tai22 lɐu55
XG,Xianggang,8,就算谁的本事大,就算边个嘅本事大,,tsɐu syn pin kɔ kɛ pun si tai,tsɐu22 syn33 pin55 kɔ33 kɛ33 pun35 si22 tai22,tsɐu syn pin kɔ kɛ pun si tai,tsɐu22 syn33 pin55 kɔ33 kɛ33 pun35 si22 tai22
XG,Xianggang,9,北风就使劲儿地刮起来了,北风就出力咁刮起上嚟勒,,pɐk fuŋ tsɐu tsˈøt lik kɐm kwat hei sœŋ lɐi lak,pɐk5 fuŋ55 tsɐu22 tsˈøt5 lik2 kɐm35 kwat3 hei35 sœŋ35 lɐi21 lak3,pɐk fuŋ tsɐu tsˈøt lik kɐm kwat hei sœŋ lɐi lak,pɐk5 fuŋ55 tsɐu22 tsˈøt5 lik2 kɐm35 kwat3 hei35 sœŋ35 lɐi21 lak3
XG,Xianggang,10,不过他越是刮得厉害,不过佢越系刮得犀利,,pɐt kwɔ kˈøy jyt hɐi kwat tɐk sɐi lei,pɐt5 kwɔ33 kˈøy13 jyt2 hɐi22 kwat3 tɐk5 sɐi35 lei22,pɐt kwɔ kˈøy jyt hɐi kwat tɐk sɐi lei,pɐt5 kwɔ33 kˈøy13 jyt2 hɐi22 kwat3 tɐk5 sɐi35 lei22
XG,Xianggang,11,那个走道儿的把大衣裹得越紧,嗰个行路嘅人将件褛揽到越实,,kɔ kɔ haŋ lou kɛ jɐn tsœŋ kin lɐu lam tou jyt sɐt,kɔ35 kɔ33 haŋ21 lou22 kɛ33 jɐn21 tsœŋ55 kin22 lɐu55 lam13-35 tou33 jyt2 sɐt2,kɔ kɔ haŋ lou kɛ jɐn tsœŋ kin lɐu lam tou jyt sɐt,kɔ35 kɔ33 haŋ21 lou22 kɛ33 jɐn21 tsœŋ55 kin22 lɐu55 lam13-35 tou33 jyt2 sɐt2
XG,Xianggang,12,后来北风没法儿了,后尾北风冇计勒,,hɐu mei pɐk fuŋ mou kɐi lak,hɐu55 mei13-55 pɐk5 fuŋ55 mou13 kɐi33-35 lak3,hɐu mei pɐk fuŋ mou kɐi lak,hɐu55 mei13-55 pɐk5 fuŋ55 mou13 kɐi33-35 lak3
XG,Xianggang,13,只好就算了,惟有就算数勒,,wɐi jɐu tsɐu syn sou lak,wɐi21 jɐu13 tsɐu22 syn33 sou33 lak3,wɐi jɐu tsɐu syn sou lak,wɐi21 jɐu13 tsɐu22 syn33 sou33 lak3
