dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,dialect_id,ipa_converted_no_tone,ipa_converted_with_tone
Xiangtan,1,有一回,有阵子,,iəɯ dʐən tsɿ,iəɯ42 dʐən21 tsɿ33,XT,iəɯ dʐən tsɹ̩,iəɯ42 dʐən21 tsɹ̩33
Xiangtan,2,北风跟太阳在那儿争论谁的本事大,北风搭太阳正好在争哪个的本事大,,pæ ɸən tɒ tˈai ian tʂən haɯ dzai tsən nɒ ko ti pən sɿ dai,pæ24 ɸən33 tɒ24 tˈai55 ian12 tʂən55 haɯ42 dzai21 tsən33 nɒ42 ko55 ti33 pən42 sɿ21 dai21,XT,pæ ɸən tɒ tˈai ian tʂən haɯ dzai tsən nɒ ko ti pən sɹ̩ dai,pæ24 ɸən33 tɒ24 tˈai55 ian12 tʂən55 haɯ42 dzai21 tsən33 nɒ42 ko55 ti33 pən42 sɹ̩21 dai21
Xiangtan,3,争来争去就是分不出高低来,争来争去就是分不清高低,,tsən nai tsən tɕˈie dziəɯ ʂʅ ɸən pu tsˈin kaɯ ti,tsən33 nai12 tsən33 tɕˈie55 dziəɯ21 ʂʅ21 ɸən33 pu24 tsˈin33 kaɯ33 ti33,XT,tsən nai tsən tɕˈie dziəɯ ʂɻ̩ ɸən pu tsˈin kaɯ ti,tsən33 nai12 tsən33 tɕˈie55 dziəɯ21 ʂɻ̩21 ɸən33 pu24 tsˈin33 kaɯ33 ti33
Xiangtan,4,这时候路上来了个走道儿的,咯时世路上来哒隻走路的人,,ko ʂʅ ʂʅ nəɯ ʂɔn nai tɒ tʂɒ tsəɯ nəɯ ti in,ko24 ʂʅ12 ʂʅ55 nəɯ21 ʂɔn21 nai12 tɒ42 tʂɒ24 tsəɯ42 nəɯ21 ti33 in12,XT,ko ʂɻ̩ ʂɻ̩ nəɯ ʂɔn nai tɒ tʂɒ tsəɯ nəɯ ti in,ko24 ʂɻ̩12 ʂɻ̩55 nəɯ21 ʂɔn21 nai12 tɒ42 tʂɒ24 tsəɯ42 nəɯ21 ti33 in12
Xiangtan,5,他身上穿着件厚大衣,他身上穿哒一件厚衣服,,tˈɒ ʂən ʂɔn tɕˈyẽ tɒ i dʑiẽ ɦəɯ i ɸu,tˈɒ33 ʂən33 ʂɔn21 tɕˈyẽ33 tɒ42 i24 dʑiẽ21 ɦəɯ21 i33 ɸu24,XT,tˈɒ ʂən ʂɔn tɕˈyẽ tɒ i dʑiẽ ɦəɯ i ɸu,tˈɒ33 ʂən33 ʂɔn21 tɕˈyẽ33 tɒ42 i24 dʑiẽ21 ɦəɯ21 i33 ɸu24
Xiangtan,6,他们俩就说好了,他人一起就讲好哒,,tˈɒ in i tɕˈi dziəɯ kɔn haɯ tɒ,tˈɒ33 in12 i24 tɕˈi42 dziəɯ21 kɔn42 haɯ42 tɒ42,XT,tˈɒ in i tɕˈi dziəɯ kɔn haɯ tɒ,tˈɒ33 in12 i24 tɕˈi42 dziəɯ21 kɔn42 haɯ42 tɒ42
Xiangtan,7,谁能先叫这个走道儿的脱下他的厚大衣,哪个能先叫咯隻走路的人脱咖他的厚衣服,,nɒ ko nən siẽ tɕuaɯ ko tʂɒ tsəɯ nəɯ ti in tˈo kɒ tˈɒ ti ɦəɯ i ɸu,nɒ42 ko55 nən12 siẽ33 tɕuaɯ55 ko24 tʂɒ24 tsəɯ42 nəɯ21 ti33 in12 tˈo24 kɒ55 tˈɒ33 ti33 ɦəɯ21 i33 ɸu24,XT,nɒ ko nən siẽ tɕuaɯ ko tʂɒ tsəɯ nəɯ ti in tˈo kɒ tˈɒ ti ɦəɯ i ɸu,nɒ42 ko55 nən12 siẽ33 tɕuaɯ55 ko24 tʂɒ24 tsəɯ42 nəɯ21 ti33 in12 tˈo24 kɒ55 tˈɒ33 ti33 ɦəɯ21 i33 ɸu24
Xiangtan,8,就算谁的本事大,就算哪个的本事大,,dziəɯ sɔn nɒ ko ti pən sɿ dai,dziəɯ21 sɔn55 nɒ42 ko55 ti33 pən42 sɿ21 dai21,XT,dziəɯ sɔn nɒ ko ti pən sɹ̩ dai,dziəɯ21 sɔn55 nɒ42 ko55 ti33 pən42 sɹ̩21 dai21
Xiangtan,9,北风就使劲儿地刮起来了,北风流使攒劲发起风来,,pæ ɸən niəɯ ʂʅ tsan tɕin ɸɒ tɕˈi ɸən nai,pæ24 ɸən33 niəɯ12 ʂʅ21 tsan42 tɕin55 ɸɒ24 tɕˈi42 ɸən33 nai12,XT,pæ ɸən niəɯ ʂɻ̩ tsan tɕin ɸɒ tɕˈi ɸən nai,pæ24 ɸən33 niəɯ12 ʂɻ̩21 tsan42 tɕin55 ɸɒ24 tɕˈi42 ɸən33 nai12
Xiangtan,10,不过他越是刮得厉害,只是他越攒劲吹,,tʂʅ ʂʅ tˈɒ yæ tsan tɕin tɕˈyei,tʂʅ24 ʂʅ21 tˈɒ33 yæ24 tsan42 tɕin55 tɕˈyei,XT,tʂɻ̩ ʂɻ̩ tˈɒ yæ tsan tɕin tɕˈyei,tʂɻ̩24 ʂɻ̩21 tˈɒ33 yæ24 tsan42 tɕin55 tɕˈyei
Xiangtan,11,那个走道儿的把大衣裹得越紧,那隻走路的把大衣箍得越紧,,nɒ tʂɒ tsəɯ nəɯ ti pɒ dai i ku tæ yæ tɕin,nɒ24 tʂɒ24 tsəɯ42 nəɯ21 ti33 pɒ42 dai21 i33 ku33 tæ24 yæ24 tɕin42,XT,nɒ tʂɒ tsəɯ nəɯ ti pɒ dai i ku tæ yæ tɕin,nɒ24 tʂɒ24 tsəɯ42 nəɯ21 ti33 pɒ42 dai21 i33 ku33 tæ24 yæ24 tɕin42
Xiangtan,12,后来北风没法儿了,后背头北风冒得办法哒,,ɦəɯ pəi dəɯ pæ ɸən maɯ tæ ban ɸɒ tɒ,ɦəɯ21 pəi55 dəɯ12 pæ24 ɸən33 maɯ21 tæ24 ban21 ɸɒ24 tɒ42,XT,ɦəɯ pəi dəɯ pæ ɸən maɯ tæ ban ɸɒ tɒ,ɦəɯ21 pəi55 dəɯ12 pæ24 ɸən33 maɯ21 tæ24 ban21 ɸɒ24 tɒ42
Xiangtan,13,只好就算了,只好就算哒,,tʂʅ haɯ dziəɯ sɔn tɒ,tʂʅ24 haɯ42 dziəɯ21 sɔn55 tɒ42,XT,tʂɻ̩ haɯ dziəɯ sɔn tɒ,tʂɻ̩24 haɯ42 dziəɯ21 sɔn55 tɒ42
Xiangtan,14,过了一会儿,过哒一刻唧,,ku tɒ i kˈæ dʑi,ku55 tɒ42 i24 kˈæ24 dʑi21,XT,ku tɒ i kˈæ dʑi,ku55 tɒ42 i24 kˈæ24 dʑi21
Xiangtan,15,太阳出来了,太阳出来哒,,tˈai ian tɕˈy nai tɒ,tˈai55 ian12 tɕˈy24 nai12 tɒ42,XT,tˈai ian tɕˈy nai tɒ,tˈai55 ian12 tɕˈy24 nai12 tɒ42
